,price
2019-02-19,388.2699890136719
2019-02-20,383.5799865722656
2019-02-21,382.3900146484375
2019-02-22,382.4100036621094
2019-02-23,382.4100036621094
2019-02-24,382.4100036621094
2019-02-25,384.3800048828125
2019-02-26,381.0
2019-02-27,378.2799987792969
2019-02-28,364.2799987792969
2019-03-01,373.1000061035156
2019-03-02,373.1000061035156
2019-03-03,373.1000061035156
2019-03-04,371.4599914550781
2019-03-05,371.9800109863281
2019-03-06,376.0199890136719
2019-03-07,371.5899963378906
2019-03-08,368.0
2019-03-09,368.0
2019-03-10,368.0
2019-03-11,365.0
2019-03-12,367.3500061035156
2019-03-13,366.95001220703125
2019-03-14,366.0299987792969
2019-03-15,368.8599853515625
2019-03-16,368.8599853515625
2019-03-17,368.8599853515625
2019-03-18,369.260009765625
2019-03-19,375.82000732421875
2019-03-20,372.9700012207031
2019-03-21,375.19000244140625
2019-03-22,383.44000244140625
2019-03-23,383.44000244140625
2019-03-24,383.44000244140625
2019-03-25,381.5
2019-03-26,387.1099853515625
2019-03-27,385.3800048828125
2019-03-28,388.7699890136719
2019-03-29,389.6400146484375
2019-03-30,389.6400146484375
2019-03-31,389.6400146484375
2019-04-01,391.3999938964844
2019-04-02,393.0
2019-04-03,396.3699951171875
2019-04-04,397.0
2019-04-05,399.6300048828125
2019-04-06,399.6300048828125
2019-04-07,399.6300048828125
2019-04-08,400.760009765625
2019-04-09,400.6700134277344
2019-04-10,401.4599914550781
2019-04-11,406.260009765625
2019-04-12,407.8500061035156
2019-04-13,407.8500061035156
2019-04-14,407.8500061035156
2019-04-15,405.3399963378906
2019-04-16,410.0799865722656
2019-04-17,407.4200134277344
2019-04-18,401.0
2019-04-19,401.0
2019-04-20,401.0
2019-04-21,401.0
2019-04-22,397.42999267578125
2019-04-23,393.1199951171875
2019-04-24,396.75
2019-04-25,380.42999267578125
2019-04-26,380.6300048828125
2019-04-27,380.6300048828125
2019-04-28,380.6300048828125
2019-04-29,380.95001220703125
2019-04-30,373.7200012207031
2019-05-01,377.69000244140625
2019-05-02,373.0
2019-05-03,382.3699951171875
