,price
2019-02-19,75.12999725341797
2019-02-20,76.24666595458984
2019-02-21,75.25333404541016
2019-02-22,75.76000213623047
2019-02-23,75.76000213623047
2019-02-24,75.76000213623047
2019-02-25,78.66999816894531
2019-02-26,77.5199966430664
2019-02-27,86.01333618164062
2019-02-28,84.66000366210938
2019-03-01,82.02333068847656
2019-03-02,82.02333068847656
2019-03-03,82.02333068847656
2019-03-04,82.34333038330078
2019-03-05,79.48666381835938
2019-03-06,77.87000274658203
2019-03-07,78.18000030517578
2019-03-08,77.51333618164062
2019-03-09,77.51333618164062
2019-03-10,77.51333618164062
2019-03-11,78.6500015258789
2019-03-12,80.63333129882812
2019-03-13,80.54000091552734
2019-03-14,81.0
2019-03-15,81.07666778564453
2019-03-16,81.07666778564453
2019-03-17,81.07666778564453
2019-03-18,79.71333312988281
2019-03-19,80.93333435058594
2019-03-20,81.08333587646484
2019-03-21,81.66666412353516
2019-03-22,83.0
2019-03-23,83.0
2019-03-24,83.0
2019-03-25,80.19000244140625
2019-03-26,81.5633316040039
2019-03-27,81.5
2019-03-28,80.0
2019-03-29,79.73332977294922
2019-03-30,79.73332977294922
2019-03-31,79.73332977294922
2019-04-01,82.0
2019-04-02,80.33333587646484
2019-04-03,80.3133316040039
2019-04-04,80.61666870117188
2019-04-05,79.78333282470703
2019-04-06,79.78333282470703
2019-04-07,79.78333282470703
2019-04-08,79.163330078125
2019-04-09,79.28333282470703
2019-04-10,80.22000122070312
2019-04-11,81.2699966430664
2019-04-12,82.31666564941406
2019-04-13,82.31666564941406
2019-04-14,82.31666564941406
2019-04-15,81.98999786376953
2019-04-16,82.91666412353516
2019-04-17,81.9366683959961
2019-04-18,79.3499984741211
2019-04-19,79.3499984741211
2019-04-20,79.3499984741211
2019-04-21,79.3499984741211
2019-04-22,78.14666748046875
2019-04-23,79.89666748046875
2019-04-24,81.0
2019-04-25,81.36000061035156
2019-04-26,81.76333618164062
2019-04-27,81.76333618164062
2019-04-28,81.76333618164062
2019-04-29,81.66000366210938
2019-04-30,83.19999694824219
2019-05-01,83.163330078125
2019-05-02,81.97333526611328
2019-05-03,82.33333587646484
2019-05-04,82.33333587646484
2019-05-05,82.33333587646484
2019-05-06,82.23999786376953
2019-05-07,82.14666748046875
2019-05-08,79.40333557128906
2019-05-09,78.38666534423828
2019-05-10,78.33333587646484
2019-05-11,78.33333587646484
2019-05-12,78.33333587646484
2019-05-13,76.21333312988281
2019-05-14,75.33333587646484
2019-05-15,75.0
2019-05-16,73.5199966430664
2019-05-17,73.97000122070312
2019-05-18,73.97000122070312
2019-05-19,73.97000122070312
2019-05-20,74.33333587646484
2019-05-21,75.19000244140625
2019-05-22,75.66666412353516
2019-05-23,74.4000015258789
2019-05-24,72.5199966430664
2019-05-25,72.5199966430664
2019-05-26,72.5199966430664
2019-05-27,72.5199966430664
2019-05-28,72.33333587646484
2019-05-29,71.22666931152344
2019-05-30,67.69999694824219
2019-05-31,66.66666412353516
2019-06-01,66.66666412353516
2019-06-02,66.66666412353516
