,price
2019-02-19,65.49618597310722
2019-02-20,64.92402064598608
2019-02-21,65.19277483371758
2019-02-22,65.56554457684247
2019-02-23,65.56554457684247
2019-02-24,65.56554457684247
2019-02-25,66.24176577323614
2019-02-26,65.660915199644
2019-02-27,65.71293184771291
2019-02-28,66.24176575517887
2019-03-01,67.06533783596178
2019-03-02,67.06533783596178
2019-03-03,67.06533783596178
2019-03-04,67.42077054683685
2019-03-05,66.43246609404586
2019-03-06,66.84860760647021
2019-03-07,66.50182605188398
2019-03-08,65.73894889679173
2019-03-09,65.73894889679173
2019-03-10,65.73894889679173
2019-03-11,66.41515709165385
2019-03-12,67.43811666981259
2019-03-13,67.68084278307994
2019-03-14,68.0016115739911
2019-03-15,68.4697692050052
2019-03-16,68.4697692050052
2019-03-17,68.4697692050052
2019-03-18,68.72981805333677
2019-03-19,69.05927003924737
2019-03-20,68.43507650821998
2019-03-21,67.76754890002728
2019-03-22,68.73848713314833
2019-03-23,68.73848713314833
2019-03-24,68.73848713314833
2019-03-25,67.74154200775016
2019-03-26,68.74716818265074
2019-03-27,68.72116601676593
2019-03-28,68.84253489249762
2019-03-29,69.05059984979805
2019-03-30,69.05059984979805
2019-03-31,69.05059984979805
2019-04-01,70.00420863438552
2019-04-02,70.12556811362495
2019-04-03,70.59371330392217
2019-04-04,70.44633892751584
2019-04-05,69.93485230649068
2019-04-06,69.93485230649068
2019-04-07,69.93485230649068
2019-04-08,69.98686791438867
2019-04-09,69.81350964519135
2019-04-10,69.94353843062517
2019-04-11,70.55903845693697
2019-04-12,70.77578053102972
2019-04-13,70.77578053102972
2019-04-14,70.77578053102972
2019-04-15,71.23524897527675
2019-04-16,71.64270368225189
2019-04-17,70.90581661509034
2019-04-18,71.19190545270062
2019-04-19,71.19190545270062
2019-04-20,71.19190545270062
2019-04-21,71.19190545270062
2019-04-22,70.49836960092581
2019-04-23,70.57638495412353
2019-04-24,72.51830161479265
2019-04-25,72.33624356873975
2019-04-26,72.44027559744744
2019-04-27,72.44027559744744
2019-04-28,72.44027559744744
2019-04-29,72.58766838028889
2019-04-30,72.57028520680603
2019-05-01,73.25518667584018
2019-05-02,71.07053239646588
2019-05-03,72.15418579133147
2019-05-04,72.15418579133147
2019-05-05,72.15418579133147
2019-05-06,72.05881975011393
2019-05-07,72.60499282071079
2019-05-08,72.30157079045641
2019-05-09,72.27553390493236
2019-05-10,72.85639262819718
2019-05-11,72.85639262819718
2019-05-12,72.85639262819718
2019-05-13,72.24088037295877
