,price
2019-02-19,37.50407989501707
2019-02-20,37.686126925260524
2019-02-21,37.967494644420356
2019-02-22,38.32058744835986
2019-02-23,38.32058744835986
2019-02-24,38.32058744835986
2019-02-25,38.795028736576135
2019-02-26,38.16058864961189
2019-02-27,38.0833542486247
2019-02-28,37.73577981214081
2019-03-01,37.65303019352285
2019-03-02,37.65303019352285
2019-03-03,37.65303019352285
2019-03-04,37.58131256450116
2019-03-05,37.31097547123545
2019-03-06,37.32753420605313
2019-03-07,36.96892696104798
2019-03-08,36.68757322728449
2019-03-09,36.68757322728449
2019-03-10,36.68757322728449
2019-03-11,37.17856702534018
2019-03-12,37.64750671386719
2019-03-13,37.840610726982355
2019-03-14,37.80752051014847
2019-03-15,37.76888960743441
2019-03-16,37.76888960743441
2019-03-17,37.76888960743441
2019-03-18,37.283405067886044
2019-03-19,37.93439810404605
2019-03-20,37.47648786947007
2019-03-21,37.145477901894886
2019-03-22,37.39924584952986
2019-03-23,37.39924584952986
2019-03-24,37.39924584952986
2019-03-25,37.206163403613466
2019-03-26,37.36063403767685
2019-03-27,37.22822364014385
2019-03-28,37.47648793678795
2019-03-29,37.95094734498205
2019-03-30,37.95094734498205
2019-03-31,37.95094734498205
2019-04-01,37.96197710854487
2019-04-02,38.12197152387512
2019-04-03,37.88474101414842
2019-04-04,37.65302866768268
2019-04-05,38.24333971799226
2019-04-06,38.24333971799226
2019-04-07,38.24333971799226
2019-04-08,37.978530600128025
2019-04-09,37.80198726818499
2019-04-10,37.82957577073555
2019-04-11,38.05024090503553
2019-04-12,38.618498968417775
2019-04-13,38.618498968417775
2019-04-14,38.618498968417775
2019-04-15,38.943987880107585
2019-04-16,38.899861964786695
2019-04-17,39.53430375265416
2019-04-18,39.572916051721556
2019-04-19,39.572916051721556
2019-04-20,39.572916051721556
2019-04-21,39.572916051721556
2019-04-22,39.21432099481223
2019-04-23,39.17570043095249
2019-04-24,39.214320662929154
2019-04-25,39.05985494266205
2019-04-26,38.85572437521956
2019-04-27,38.85572437521956
2019-04-28,38.85572437521956
2019-04-29,39.17017635816912
2019-04-30,39.721873592841334
2019-05-01,39.61154246461727
