,price
2019-02-19,27.8700008392334
2019-02-20,29.450000762939453
2019-02-21,29.489999771118164
2019-02-22,29.0
2019-02-23,29.0
2019-02-24,29.0
2019-02-25,30.700000762939453
2019-02-26,28.68000030517578
2019-02-27,29.0
2019-02-28,29.0
2019-03-01,30.270000457763672
2019-03-02,30.270000457763672
2019-03-03,30.270000457763672
2019-03-04,30.139999389648438
2019-03-05,31.530000686645508
2019-03-06,31.09000015258789
2019-03-07,29.940000534057617
2019-03-08,28.010000228881836
2019-03-09,28.010000228881836
2019-03-10,28.010000228881836
2019-03-11,29.43000030517578
2019-03-12,30.469999313354492
2019-03-13,27.309999465942383
2019-03-14,25.290000915527344
2019-03-15,24.950000762939453
2019-03-16,24.950000762939453
2019-03-17,24.950000762939453
2019-03-18,24.989999771118164
2019-03-19,26.0
2019-03-20,25.170000076293945
2019-03-21,24.43000030517578
2019-03-22,24.729999542236328
2019-03-23,24.729999542236328
2019-03-24,24.729999542236328
2019-03-25,23.299999237060547
2019-03-26,23.65999984741211
2019-03-27,23.3700008392334
2019-03-28,23.760000228881836
2019-03-29,23.790000915527344
2019-03-30,23.790000915527344
2019-03-31,23.790000915527344
2019-04-01,25.530000686645508
2019-04-02,24.59000015258789
2019-04-03,24.75
2019-04-04,23.110000610351562
2019-04-05,22.729999542236328
2019-04-06,22.729999542236328
2019-04-07,22.729999542236328
2019-04-08,21.790000915527344
2019-04-09,21.860000610351562
2019-04-10,22.43000030517578
2019-04-11,21.84000015258789
2019-04-12,22.059999465942383
2019-04-13,22.059999465942383
2019-04-14,22.059999465942383
2019-04-15,21.899999618530273
2019-04-16,22.350000381469727
2019-04-17,23.100000381469727
2019-04-18,23.1299991607666
2019-04-19,23.1299991607666
2019-04-20,23.1299991607666
2019-04-21,23.1299991607666
2019-04-22,23.459999084472656
2019-04-23,24.280000686645508
2019-04-24,24.299999237060547
2019-04-25,23.6200008392334
2019-04-26,22.850000381469727
2019-04-27,22.850000381469727
2019-04-28,22.850000381469727
2019-04-29,22.0
2019-04-30,22.010000228881836
2019-05-01,22.18000030517578
2019-05-02,23.270000457763672
2019-05-03,23.450000762939453
2019-05-04,23.450000762939453
2019-05-05,23.450000762939453
2019-05-06,22.5
2019-05-07,23.399999618530273
2019-05-08,22.770000457763672
2019-05-09,22.6299991607666
2019-05-10,22.600000381469727
2019-05-11,22.600000381469727
2019-05-12,22.600000381469727
2019-05-13,21.510000228881836
2019-05-14,21.260000228881836
2019-05-15,22.209999084472656
2019-05-16,22.200000762939453
2019-05-17,22.200000762939453
2019-05-18,22.200000762939453
2019-05-19,22.200000762939453
2019-05-20,21.510000228881836
2019-05-21,21.239999771118164
2019-05-22,21.299999237060547
2019-05-23,20.1299991607666
2019-05-24,20.799999237060547
2019-05-25,20.799999237060547
2019-05-26,20.799999237060547
2019-05-27,20.799999237060547
2019-05-28,20.510000228881836
2019-05-29,20.0
2019-05-30,20.049999237060547
2019-05-31,19.290000915527344
2019-06-01,19.290000915527344
2019-06-02,19.290000915527344
2019-06-03,19.3799991607666
2019-06-04,19.18000030517578
2019-06-05,19.290000915527344
2019-06-06,19.09000015258789
2019-06-07,19.489999771118164
2019-06-08,19.489999771118164
2019-06-09,19.489999771118164
2019-06-10,20.25
2019-06-11,20.559999465942383
2019-06-12,19.899999618530273
2019-06-13,20.690000534057617
2019-06-14,20.290000915527344
2019-06-15,20.290000915527344
2019-06-16,20.290000915527344
2019-06-17,20.5
2019-06-18,20.950000762939453
2019-06-19,21.290000915527344
2019-06-20,21.5
2019-06-21,20.8799991607666
2019-06-22,20.8799991607666
2019-06-23,20.8799991607666
2019-06-24,21.040000915527344
2019-06-25,20.459999084472656
2019-06-26,20.540000915527344
2019-06-27,20.700000762939453
2019-06-28,20.799999237060547
2019-06-29,20.799999237060547
2019-06-30,20.799999237060547
2019-07-01,21.299999237060547
2019-07-02,20.729999542236328
2019-07-03,20.25
2019-07-04,20.25
2019-07-05,19.8799991607666
2019-07-06,19.8799991607666
2019-07-07,19.8799991607666
2019-07-08,19.899999618530273
2019-07-09,19.989999771118164
2019-07-10,20.450000762939453
2019-07-11,19.860000610351562
2019-07-12,19.5
2019-07-13,19.5
2019-07-14,19.5
2019-07-15,19.43000030517578
2019-07-16,19.440000534057617
2019-07-17,19.93000030517578
2019-07-18,19.81999969482422
2019-07-19,20.3799991607666
2019-07-20,20.3799991607666
2019-07-21,20.3799991607666
2019-07-22,20.020000457763672
2019-07-23,20.290000915527344
2019-07-24,20.979999542236328
2019-07-25,20.969999313354492
2019-07-26,21.6200008392334
2019-07-27,21.6200008392334
2019-07-28,21.6200008392334
2019-07-29,21.729999542236328
2019-07-30,21.68000030517578
2019-07-31,21.950000762939453
2019-08-01,22.200000762939453
2019-08-02,22.290000915527344
2019-08-03,22.290000915527344
2019-08-04,22.290000915527344
2019-08-05,22.40999984741211
2019-08-06,22.25
2019-08-07,21.59000015258789
2019-08-08,22.239999771118164
2019-08-09,22.459999084472656
2019-08-10,22.459999084472656
2019-08-11,22.459999084472656
2019-08-12,22.399999618530273
2019-08-13,22.56999969482422
2019-08-14,23.229999542236328
2019-08-15,23.899999618530273
2019-08-16,24.18000030517578
2019-08-17,24.18000030517578
2019-08-18,24.18000030517578
2019-08-19,25.5
2019-08-20,25.610000610351562
2019-08-21,29.399999618530273
2019-08-22,29.639999389648438
2019-08-23,29.639999389648438
2019-08-24,29.639999389648438
2019-08-25,29.639999389648438
2019-08-26,29.950000762939453
2019-08-27,30.899999618530273
2019-08-28,30.6200008392334
2019-08-29,31.5
2019-08-30,33.75
2019-08-31,33.75
2019-09-01,33.75
2019-09-02,33.75
2019-09-03,32.68000030517578
2019-09-04,33.65999984741211
2019-09-05,34.400001525878906
2019-09-06,35.06999969482422
2019-09-07,35.06999969482422
2019-09-08,35.06999969482422
2019-09-09,35.130001068115234
2019-09-10,34.459999084472656
2019-09-11,34.88999938964844
2019-09-12,36.29999923706055
2019-09-13,36.06999969482422
2019-09-14,36.06999969482422
2019-09-15,36.06999969482422
2019-09-16,35.5099983215332
2019-09-17,34.29999923706055
2019-09-18,35.27000045776367
2019-09-19,34.33000183105469
2019-09-20,34.66999816894531
2019-09-21,34.66999816894531
2019-09-22,34.66999816894531
2019-09-23,33.849998474121094
2019-09-24,32.79999923706055
2019-09-25,31.010000228881836
2019-09-26,32.40999984741211
2019-09-27,32.86000061035156
2019-09-28,32.86000061035156
2019-09-29,32.86000061035156
2019-09-30,31.959999084472656
2019-10-01,32.349998474121094
2019-10-02,32.2599983215332
2019-10-03,32.599998474121094
2019-10-04,32.970001220703125
2019-10-05,32.970001220703125
2019-10-06,32.970001220703125
2019-10-07,33.2400016784668
2019-10-08,31.0
2019-10-09,31.719999313354492
2019-10-10,31.90999984741211
2019-10-11,32.20000076293945
2019-10-12,32.20000076293945
