,price
2019-02-19,101.3921674920123
2019-02-20,100.48066922033689
2019-02-21,100.26365130998545
2019-02-22,100.79317391488065
2019-02-23,100.79317391488065
2019-02-24,100.79317391488065
2019-02-25,101.71334435430413
2019-02-26,101.01886553672774
2019-02-27,100.29836758722837
2019-02-28,100.41157646912538
2019-03-01,101.3917063315989
2019-03-02,101.3917063315989
2019-03-03,101.3917063315989
2019-03-04,101.99556056612407
2019-03-05,101.49673706631302
2019-03-06,101.32170749619766
2019-03-07,101.6980172746179
2019-03-08,101.3654576892842
2019-03-09,101.3654576892842
2019-03-10,101.3654576892842
2019-03-11,100.90164573565448
2019-03-12,102.1705762486875
2019-03-13,102.28434525962176
2019-03-14,102.26685830160928
2019-03-15,101.23418957894845
2019-03-16,101.23418957894845
2019-03-17,101.23418957894845
2019-03-18,101.66301474748566
2019-03-19,102.70440298370512
2019-03-20,103.32575206880709
2019-03-21,103.27324000378827
2019-03-22,104.57716277406603
2019-03-23,104.57716277406603
2019-03-24,104.57716277406603
2019-03-25,105.24226385081735
2019-03-26,106.29239652507421
2019-03-27,107.16750549403773
2019-03-28,106.66871303243919
2019-03-29,107.01874311094971
2019-03-30,107.01874311094971
2019-03-31,107.01874311094971
2019-04-01,107.28128805772218
2019-04-02,106.67748294042124
2019-04-03,106.48493045772832
2019-04-04,106.59869360256592
2019-04-05,106.19614719433527
2019-04-06,106.19614719433527
2019-04-07,106.19614719433527
2019-04-08,106.51993558554696
2019-04-09,106.53743902536543
2019-04-10,107.07127372565715
2019-04-11,107.08002552358234
2019-04-12,106.35366526548296
2019-04-13,106.35366526548296
2019-04-14,106.35366526548296
2019-04-15,107.15003862139699
2019-04-16,107.8326342694745
2019-04-17,109.39034675270184
2019-04-18,112.2169921735318
2019-04-19,112.2169921735318
2019-04-20,112.2169921735318
2019-04-21,112.2169921735318
2019-04-22,110.93929810258183
2019-04-23,110.86055584836865
2019-04-24,111.49937917237003
2019-04-25,109.95914871523912
2019-04-26,110.72052711927844
2019-04-27,110.72052711927844
2019-04-28,110.72052711927844
2019-04-29,110.38798066993995
2019-04-30,111.18434080804165
2019-05-01,111.88444953083331
2019-05-02,111.35061049485927
2019-05-03,111.22810897112197
2019-05-04,111.22810897112197
2019-05-05,111.22810897112197
2019-05-06,111.40312086129882
2019-05-07,110.82554814304444
2019-05-08,110.09042998396814
2019-05-09,110.06418700761898
2019-05-10,110.38799206664773
2019-05-11,110.38799206664773
2019-05-12,110.38799206664773
2019-05-13,111.15807818560424
2019-05-14,111.63065271592278
2019-05-15,111.22808801782121
2019-05-16,113.21461698757342
2019-05-17,113.69595339311677
2019-05-18,113.69595339311677
2019-05-19,113.69595339311677
2019-05-20,113.80094759985222
2019-05-21,114.2735299356803
2019-05-22,112.97836215155283
2019-05-23,113.41590157827288
2019-05-24,114.05475316574602
2019-05-25,114.05475316574602
2019-05-26,114.05475316574602
2019-05-27,114.05475316574602
2019-05-28,113.32839167183094
2019-05-29,111.64814770652504
2019-05-30,112.14697531734981
2019-05-31,112.0157241821289
2019-06-01,112.0157241821289
2019-06-02,112.0157241821289
2019-06-03,111.89318082410152
2019-06-04,113.54717973686836
2019-06-05,113.08335385474471
2019-06-06,115.55096576314243
2019-06-07,117.10246099012598
2019-06-08,117.10246099012598
2019-06-09,117.10246099012598
2019-06-10,117.40218024600321
2019-06-11,118.17790082735796
2019-06-12,118.13383201818793
2019-06-13,117.64018063964316
2019-06-14,117.25232817571988
