,price
2019-02-19,94.44999694824219
2019-02-20,95.0
2019-02-21,94.72000122070312
2019-02-22,95.23999786376953
2019-02-23,95.23999786376953
2019-02-24,95.23999786376953
2019-02-25,96.06999969482422
2019-02-26,96.33999633789062
2019-02-27,96.11000061035156
2019-02-28,97.66000366210938
2019-03-01,98.91999816894531
2019-03-02,98.91999816894531
2019-03-03,98.91999816894531
2019-03-04,98.02999877929688
2019-03-05,96.6500015258789
2019-03-06,96.5199966430664
2019-03-07,96.16999816894531
2019-03-08,95.04000091552734
2019-03-09,95.04000091552734
2019-03-10,95.04000091552734
2019-03-11,96.01000213623047
2019-03-12,98.0
2019-03-13,98.19999694824219
2019-03-14,99.45999908447266
2019-03-15,99.4000015258789
2019-03-16,99.4000015258789
2019-03-17,99.4000015258789
2019-03-18,101.20999908447266
2019-03-19,100.5999984741211
2019-03-20,101.44999694824219
2019-03-21,102.1500015258789
2019-03-22,103.87000274658203
2019-03-23,103.87000274658203
2019-03-24,103.87000274658203
2019-03-25,100.94000244140625
2019-03-26,102.33999633789062
2019-03-27,103.19999694824219
2019-03-28,103.44999694824219
2019-03-29,104.5199966430664
2019-03-30,104.5199966430664
2019-03-31,104.5199966430664
2019-04-01,104.98999786376953
2019-04-02,105.76000213623047
2019-04-03,105.91000366210938
2019-04-04,104.69999694824219
2019-04-05,104.83999633789062
2019-04-06,104.83999633789062
2019-04-07,104.83999633789062
2019-04-08,105.66000366210938
2019-04-09,106.05999755859375
2019-04-10,107.1500015258789
2019-04-11,107.51000213623047
2019-04-12,107.02999877929688
2019-04-13,107.02999877929688
2019-04-14,107.02999877929688
2019-04-15,108.58000183105469
2019-04-16,108.80000305175781
2019-04-17,107.80500030517578
2019-04-18,108.36000061035156
2019-04-19,108.36000061035156
2019-04-20,108.36000061035156
2019-04-21,108.36000061035156
2019-04-22,106.79000091552734
2019-04-23,107.0999984741211
2019-04-24,107.11000061035156
2019-04-25,108.5199966430664
2019-04-26,109.72000122070312
2019-04-27,109.72000122070312
2019-04-28,109.72000122070312
2019-04-29,110.69999694824219
2019-04-30,112.44000244140625
2019-05-01,113.20999908447266
2019-05-02,110.5999984741211
2019-05-03,110.56999969482422
2019-05-04,110.56999969482422
2019-05-05,110.56999969482422
2019-05-06,109.44000244140625
2019-05-07,110.16999816894531
2019-05-08,108.58000183105469
2019-05-09,108.0999984741211
2019-05-10,109.22000122070312
2019-05-11,109.22000122070312
2019-05-12,109.22000122070312
2019-05-13,107.5999984741211
2019-05-14,107.55999755859375
2019-05-15,108.58999633789062
2019-05-16,111.19999694824219
2019-05-17,113.06999969482422
2019-05-18,113.06999969482422
2019-05-19,113.06999969482422
2019-05-20,111.97000122070312
2019-05-21,112.66999816894531
2019-05-22,112.27999877929688
2019-05-23,111.47000122070312
2019-05-24,110.83999633789062
2019-05-25,110.83999633789062
2019-05-26,110.83999633789062
2019-05-27,110.83999633789062
2019-05-28,110.56999969482422
2019-05-29,110.75
2019-05-30,110.63999938964844
2019-05-31,110.33000183105469
2019-06-01,110.33000183105469
2019-06-02,110.33000183105469
2019-06-03,111.08999633789062
2019-06-04,106.83000183105469
2019-06-05,110.04000091552734
2019-06-06,111.11000061035156
2019-06-07,112.30000305175781
2019-06-08,112.30000305175781
2019-06-09,112.30000305175781
2019-06-10,115.0999984741211
2019-06-11,116.97000122070312
2019-06-12,114.58999633789062
2019-06-13,114.81999969482422
2019-06-14,115.91000366210938
2019-06-15,115.91000366210938
