,price
2019-02-19,45.770309449631064
2019-02-20,45.990360580162715
2019-02-21,46.21041550106469
2019-02-22,46.377656052883324
2019-02-23,46.377656052883324
2019-02-24,46.377656052883324
2019-02-25,47.33706633553541
2019-02-26,46.720930634006635
2019-02-27,46.606496747017175
2019-02-28,46.65050906453247
2019-03-01,47.53071242989526
2019-03-02,47.53071242989526
2019-03-03,47.53071242989526
2019-03-04,48.041228023413076
2019-03-05,47.44269607386458
2019-03-06,47.985444151730135
2019-03-07,48.822456739429384
2019-03-08,47.593657396349556
2019-03-09,47.593657396349556
2019-03-10,47.593657396349556
2019-03-11,47.83406441556317
2019-03-12,48.6710816055664
2019-03-13,49.00053422685342
2019-03-14,49.4457595278533
2019-03-15,48.973822144790006
2019-03-16,48.973822144790006
2019-03-17,48.973822144790006
2019-03-18,50.416327519376225
2019-03-19,50.906061665686195
2019-03-20,50.78140611990013
2019-03-21,50.959491944475445
2019-03-22,51.36018684682393
2019-03-23,51.36018684682393
2019-03-24,51.36018684682393
2019-03-25,50.38071924072899
2019-03-26,50.8882557117889
2019-03-27,51.06635383245524
2019-03-28,50.78140380097123
2019-03-29,50.7546868670599
2019-03-30,50.7546868670599
2019-03-31,50.7546868670599
2019-04-01,51.32456910872936
2019-04-02,51.627317305977144
2019-04-03,51.82321705376265
2019-04-04,51.42251384723226
2019-04-05,51.627320419210996
2019-04-06,51.627320419210996
2019-04-07,51.627320419210996
2019-04-08,51.458138494618545
2019-04-09,51.26224164794669
2019-04-10,51.386899317055786
2019-04-11,50.256050326768815
2019-04-12,50.1135862831086
2019-04-13,50.1135862831086
2019-04-14,50.1135862831086
2019-04-15,50.87934463085072
2019-04-16,51.16428302664637
2019-04-17,70.18395935498825
2019-04-18,70.09490585847294
2019-04-19,70.09490585847294
2019-04-20,70.09490585847294
2019-04-21,70.09490585847294
2019-04-22,71.08328867734538
2019-04-23,74.70734716697797
2019-04-24,77.50328955427184
2019-04-25,76.7286283125427
2019-04-26,75.25050513753033
2019-04-27,75.25050513753033
2019-04-28,75.25050513753033
2019-04-29,76.93344064952439
2019-04-30,77.44988207123441
2019-05-01,77.61907325361422
2019-05-02,77.91291033824116
2019-05-03,78.14442080061383
2019-05-04,78.14442080061383
2019-05-05,78.14442080061383
2019-05-06,76.8711040446577
2019-05-07,77.64574929468812
2019-05-08,75.55326144831555
2019-05-09,74.2354354798162
2019-05-10,74.24431163051479
2019-05-11,74.24431163051479
2019-05-12,74.24431163051479
2019-05-13,74.11966518375341
2019-05-14,75.03680214135723
2019-05-15,76.17655490687466
2019-05-16,74.6093981492303
2019-05-17,71.67097298279862
2019-05-18,71.67097298279862
2019-05-19,71.67097298279862
2019-05-20,69.40927730259168
2019-05-21,70.26409175477538
2019-05-22,61.55565267015222
2019-05-23,59.67684071503134
2019-05-24,61.37757298288862
2019-05-25,61.37757298288862
2019-05-26,61.37757298288862
2019-05-27,61.37757298288862
2019-05-28,59.338461960273555
2019-05-29,58.198703662467786
2019-05-30,58.74188861805552
2019-05-31,58.5726898845442
2019-06-01,58.5726898845442
2019-06-02,58.5726898845442
2019-06-03,59.739161040644895
2019-06-04,60.20218137674313
2019-06-05,61.138848900149775
2019-06-06,60.132443957835655
2019-06-07,60.82434736816822
2019-06-08,60.82434736816822
2019-06-09,60.82434736816822
2019-06-10,62.00147493694177
2019-06-11,64.31980800821172
2019-06-12,62.47774220395506
2019-06-13,62.873101916070695
2019-06-14,61.41741515574113
2019-06-15,61.41741515574113
2019-06-16,61.41741515574113
2019-06-17,62.0823474410171
2019-06-18,62.62149899915633
2019-06-19,65.02968783093567
2019-06-20,65.76649842517962
2019-06-21,64.97575173454007
2019-06-22,64.97575173454007
2019-06-23,64.97575173454007
2019-06-24,65.56881681177335
2019-06-25,65.80243553022225
2019-06-26,66.27868804716968
2019-06-27,67.698429437703
2019-06-28,67.98598952406121
2019-06-29,67.98598952406121
2019-06-30,67.98598952406121
2019-07-01,72.48783002592458
2019-07-02,69.44166239441242
2019-07-03,69.25297905572283
2019-07-04,69.25297905572283
2019-07-05,66.67405823321495
2019-07-06,66.67405823321495
2019-07-07,66.67405823321495
2019-07-08,68.27353836728823
2019-07-09,68.6868696930789
2019-07-10,69.03729961463947
2019-07-11,66.96159060479542
2019-07-12,66.71898910931965
2019-07-13,66.71898910931965
2019-07-14,66.71898910931965
2019-07-15,67.52770537346467
2019-07-16,67.49175115727401
2019-07-17,70.60081412031772
2019-07-18,67.36596234978482
2019-07-19,66.8717403061626
2019-07-20,66.8717403061626
2019-07-21,66.8717403061626
2019-07-22,67.44682285490484
2019-07-23,67.6984174041347
2019-07-24,66.5033227122056
2019-07-25,68.14770349149305
2019-07-26,67.49175557388503
2019-07-27,67.49175557388503
2019-07-28,67.49175557388503
2019-07-29,67.53668243112955
2019-07-30,67.01551546329976
2019-07-31,67.24016171035787
2019-08-01,61.89364915539801
2019-08-02,63.295425232706336
2019-08-03,63.295425232706336
2019-08-04,63.295425232706336
2019-08-05,62.873089777286225
2019-08-06,62.46873202610056
2019-08-07,60.43796465799089
2019-08-08,62.504665327473774
2019-08-09,63.35834759686035
2019-08-10,63.35834759686035
2019-08-11,63.35834759686035
2019-08-12,63.798628479763416
2019-08-13,62.80122378756877
2019-08-14,63.47512528005977
2019-08-15,64.19400483812194
2019-08-16,64.56241535937544
2019-08-17,64.56241535937544
2019-08-18,64.56241535937544
2019-08-19,67.01550580950423
2019-08-20,67.00654206550728
2019-08-21,68.74075952963139
2019-08-22,69.10918895887943
2019-08-23,68.3993196786698
2019-08-24,68.3993196786698
2019-08-25,68.3993196786698
2019-08-26,67.30303339342973
2019-08-27,66.20678998760805
2019-08-28,66.30563968108828
2019-08-29,67.5905915032725
2019-08-30,69.3518036926662
2019-08-31,69.3518036926662
2019-09-01,69.3518036926662
2019-09-02,69.3518036926662
2019-09-03,68.98338636023061
2019-09-04,68.28249938285335
2019-09-05,69.98979752613491
2019-09-06,70.95125305735027
2019-09-07,70.95125305735027
2019-09-08,70.95125305735027
2019-09-09,71.02316045728776
2019-09-10,70.1155789818507
2019-09-11,70.7990687710338
2019-09-12,72.50180449448386
2019-09-13,71.7138476336383
2019-09-14,71.7138476336383
2019-09-15,71.7138476336383
2019-09-16,70.26469612334249
2019-09-17,70.29188532441592
2019-09-18,71.27004569197668
2019-09-19,71.76819040980752
2019-09-20,70.82624674394506
2019-09-21,70.82624674394506
2019-09-22,70.82624674394506
2019-09-23,69.4405042483084
2019-09-24,70.71755321005112
2019-09-25,67.95515555817755
2019-09-26,69.88430172663637
2019-09-27,69.74844681662647
2019-09-28,69.74844681662647
2019-09-29,69.74844681662647
2019-09-30,69.63976939814768
2019-10-01,69.79372259926613
2019-10-02,68.16348062121403
2019-10-03,66.95889006908028
2019-10-04,69.1235070121879
2019-10-05,69.1235070121879
2019-10-06,69.1235070121879
2019-10-07,69.74842991167016
2019-10-08,68.3989474313746
2019-10-09,66.94078058434059
2019-10-10,67.3392849159876
2019-10-11,69.00577657090017
2019-10-12,69.00577657090017
2019-10-13,69.00577657090017
2019-10-14,69.42238827447885
2019-10-15,69.63071224314413
2019-10-16,70.1832038297588
2019-10-17,71.2790836621546
2019-10-18,71.20663657612037
2019-10-19,71.20663657612037
2019-10-20,71.20663657612037
2019-10-21,70.98926260699731
2019-10-22,71.48740965607264
2019-10-23,69.92958650687503
2019-10-24,70.69944834102324
2019-10-25,71.55080642045397
2019-10-26,71.55080642045397
2019-10-27,71.55080642045397
2019-10-28,72.9546518899463
2019-10-29,74.94720816119082
2019-10-30,74.35851259673049
2019-10-31,73.76073266025791
2019-11-01,73.89657589663736
2019-11-02,73.89657589663736
2019-11-03,73.89657589663736
2019-11-04,76.5684168542098
2019-11-05,77.16619435774112
2019-11-06,77.29299898572455
2019-11-07,81.35961840894606
2019-11-08,81.49546003488679
2019-11-09,81.49546003488679
2019-11-10,81.49546003488679
2019-11-11,83.0623524860487
2019-11-12,83.48800892142522
2019-11-13,82.14756335208101
2019-11-14,81.79435837127721
2019-11-15,83.86843093659134
2019-11-16,83.86843093659134
2019-11-17,83.86843093659134
2019-11-18,82.24721165763795
2019-11-19,82.6457223261188
2019-11-20,79.53915206599453
2019-11-21,76.79485285426497
2019-11-22,77.24769805790159
2019-11-23,77.24769805790159
2019-11-24,77.24769805790159
2019-11-25,77.6733790157173
2019-11-26,77.21148870740491
2019-11-27,77.1299871601152
2019-11-28,77.1299871601152
2019-11-29,76.54126088803586
2019-11-30,76.54126088803586
2019-12-01,76.54126088803586
2019-12-02,76.06123572666719
2019-12-03,73.7063954952431
2019-12-04,73.8580549859191
2019-12-05,75.43706218288993
2019-12-06,76.16723920937366
2019-12-07,76.16723920937366
2019-12-08,76.16723920937366
2019-12-09,76.66924022477066
2019-12-10,77.61850264280288
2019-12-11,77.4359387105711
2019-12-12,79.26140381765293
2019-12-13,81.1507732138167
2019-12-14,81.1507732138167
2019-12-15,81.1507732138167
2019-12-16,81.48844183278885
2019-12-17,81.23290748262028
2019-12-18,80.81304415312295
2019-12-19,80.6487732177633
2019-12-20,81.06859702483327
2019-12-21,81.06859702483327
2019-12-22,81.06859702483327
2019-12-23,81.24202908991634
