,price
2019-02-19,423.739990234375
2019-02-20,420.0
2019-02-21,421.80999755859375
2019-02-22,418.2099914550781
2019-02-23,418.2099914550781
2019-02-24,418.2099914550781
2019-02-25,424.94000244140625
2019-02-26,418.57000732421875
2019-02-27,424.0
2019-02-28,430.19000244140625
2019-03-01,434.79998779296875
2019-03-02,434.79998779296875
2019-03-03,434.79998779296875
2019-03-04,441.17999267578125
2019-03-05,432.1199951171875
2019-03-06,436.92999267578125
2019-03-07,422.8999938964844
2019-03-08,407.510009765625
2019-03-09,407.510009765625
2019-03-10,407.510009765625
2019-03-11,404.1499938964844
2019-03-12,413.55999755859375
2019-03-13,419.3800048828125
2019-03-14,409.8900146484375
2019-03-15,408.4700012207031
2019-03-16,408.4700012207031
2019-03-17,408.4700012207031
2019-03-18,410.0
2019-03-19,407.739990234375
2019-03-20,407.7900085449219
2019-03-21,401.0
2019-03-22,401.4800109863281
2019-03-23,401.4800109863281
2019-03-24,401.4800109863281
2019-03-25,391.4200134277344
2019-03-26,398.7799987792969
2019-03-27,405.07000732421875
2019-03-28,405.6700134277344
2019-03-29,406.739990234375
2019-03-30,406.739990234375
2019-03-31,406.739990234375
2019-04-01,412.510009765625
2019-04-02,411.3500061035156
2019-04-03,414.3399963378906
2019-04-04,408.0
2019-04-05,408.1700134277344
2019-04-06,408.1700134277344
2019-04-07,408.1700134277344
2019-04-08,408.0799865722656
2019-04-09,400.0
2019-04-10,397.17999267578125
2019-04-11,410.0
2019-04-12,393.1700134277344
2019-04-13,393.1700134277344
2019-04-14,393.1700134277344
2019-04-15,382.80999755859375
2019-04-16,377.8999938964844
2019-04-17,366.9599914550781
2019-04-18,346.3999938964844
2019-04-19,346.3999938964844
2019-04-20,346.3999938964844
2019-04-21,346.3999938964844
2019-04-22,332.5
2019-04-23,335.510009765625
2019-04-24,344.42999267578125
2019-04-25,340.3800048828125
2019-04-26,351.25
2019-04-27,351.25
2019-04-28,351.25
2019-04-29,343.1300048828125
2019-04-30,343.79998779296875
2019-05-01,343.0400085449219
2019-05-02,342.69000244140625
2019-05-03,336.9800109863281
2019-05-04,336.9800109863281
2019-05-05,336.9800109863281
2019-05-06,332.20001220703125
2019-05-07,333.0
2019-05-08,319.3299865722656
2019-05-09,325.7900085449219
2019-05-10,323.55999755859375
2019-05-11,323.55999755859375
2019-05-12,323.55999755859375
2019-05-13,306.6700134277344
2019-05-14,306.3500061035156
2019-05-15,301.95001220703125
2019-05-16,306.2200012207031
2019-05-17,305.79998779296875
2019-05-18,305.79998779296875
2019-05-19,305.79998779296875
2019-05-20,301.5199890136719
2019-05-21,304.8800048828125
2019-05-22,308.010009765625
2019-05-23,316.760009765625
2019-05-24,316.6600036621094
2019-05-25,316.6600036621094
2019-05-26,316.6600036621094
2019-05-27,316.6600036621094
2019-05-28,313.3800048828125
2019-05-29,307.0899963378906
2019-05-30,308.6099853515625
2019-05-31,305.9800109863281
2019-06-01,305.9800109863281
2019-06-02,305.9800109863281
2019-06-03,301.1300048828125
2019-06-04,306.0299987792969
2019-06-05,304.8399963378906
2019-06-06,300.1199951171875
2019-06-07,302.0799865722656
2019-06-08,302.0799865722656
2019-06-09,302.0799865722656
2019-06-10,306.5400085449219
2019-06-11,306.8800048828125
2019-06-12,306.8299865722656
2019-06-13,307.17999267578125
2019-06-14,306.80999755859375
2019-06-15,306.80999755859375
2019-06-16,306.80999755859375
2019-06-17,307.3399963378906
2019-06-18,311.1000061035156
2019-06-19,306.3399963378906
2019-06-20,315.70001220703125
2019-06-21,324.260009765625
2019-06-22,324.260009765625
2019-06-23,324.260009765625
2019-06-24,318.760009765625
2019-06-25,313.1300048828125
2019-06-26,313.25
2019-06-27,306.239990234375
2019-06-28,312.1199951171875
2019-06-29,312.1199951171875
2019-06-30,312.1199951171875
2019-07-01,317.6099853515625
2019-07-02,317.6199951171875
2019-07-03,317.4200134277344
2019-07-04,317.4200134277344
2019-07-05,316.1499938964844
2019-07-06,316.1499938964844
2019-07-07,316.1499938964844
2019-07-08,305.1000061035156
2019-07-09,300.9200134277344
2019-07-10,308.1499938964844
2019-07-11,296.989990234375
2019-07-12,292.1199951171875
2019-07-13,292.1199951171875
2019-07-14,292.1199951171875
2019-07-15,292.9800109863281
2019-07-16,299.19000244140625
2019-07-17,297.260009765625
2019-07-18,299.7900085449219
2019-07-19,303.5199890136719
2019-07-20,303.5199890136719
2019-07-21,303.5199890136719
2019-07-22,298.20001220703125
2019-07-23,298.3399963378906
2019-07-24,310.8699951171875
2019-07-25,311.1199951171875
2019-07-26,304.3500061035156
2019-07-27,304.3500061035156
2019-07-28,304.3500061035156
2019-07-29,314.5
2019-07-30,304.30999755859375
2019-07-31,309.79998779296875
2019-08-01,306.67999267578125
2019-08-02,308.95001220703125
2019-08-03,308.95001220703125
2019-08-04,308.95001220703125
2019-08-05,302.1499938964844
2019-08-06,304.4800109863281
2019-08-07,297.6600036621094
2019-08-08,303.1199951171875
2019-08-09,308.8399963378906
2019-08-10,308.8399963378906
2019-08-11,308.8399963378906
2019-08-12,298.6400146484375
2019-08-13,298.1300048828125
2019-08-14,301.8299865722656
2019-08-15,295.3699951171875
2019-08-16,295.32000732421875
2019-08-17,295.32000732421875
2019-08-18,295.32000732421875
2019-08-19,299.3399963378906
2019-08-20,299.2099914550781
2019-08-21,297.9800109863281
2019-08-22,297.5
2019-08-23,293.9599914550781
2019-08-24,293.9599914550781
2019-08-25,293.9599914550781
2019-08-26,288.239990234375
2019-08-27,285.8699951171875
2019-08-28,280.0400085449219
2019-08-29,289.7900085449219
2019-08-30,292.0199890136719
2019-08-31,292.0199890136719
2019-09-01,292.0199890136719
2019-09-02,292.0199890136719
2019-09-03,289.20001220703125
2019-09-04,288.2099914550781
2019-09-05,287.94000244140625
2019-09-06,290.45001220703125
2019-09-07,290.45001220703125
2019-09-08,290.45001220703125
2019-09-09,291.5299987792969
2019-09-10,279.0299987792969
2019-09-11,284.0
2019-09-12,284.6400146484375
2019-09-13,283.8399963378906
2019-09-14,283.8399963378906
2019-09-15,283.8399963378906
2019-09-16,280.5
2019-09-17,284.7699890136719
2019-09-18,288.54998779296875
