,price
2019-02-19,302.1018398064412
2019-02-20,303.3173757708939
2019-02-21,303.7938203883553
2019-02-22,307.38205155674353
2019-02-23,307.38205155674353
2019-02-24,307.38205155674353
2019-02-25,310.8340725519956
2019-02-26,310.318719541317
2019-02-27,310.45489632866753
2019-02-28,313.5957744302
2019-03-01,317.1159594938304
2019-03-02,317.1159594938304
2019-03-03,317.1159594938304
2019-03-04,316.6881810527144
2019-03-05,311.670438567958
2019-03-06,310.7951600698838
2019-03-07,310.0270263334283
2019-03-08,307.45012207317507
2019-03-09,307.45012207317507
2019-03-10,307.45012207317507
2019-03-11,309.44358496976
2019-03-12,315.4434066927357
2019-03-13,314.56822639802505
2019-03-14,317.5827263510033
2019-03-15,318.51623535149395
2019-03-16,318.51623535149395
2019-03-17,318.51623535149395
2019-03-18,318.5162549138657
2019-03-19,324.19520604536706
2019-03-20,322.8824790076477
2019-03-21,320.06241385557814
2019-03-22,323.96183103553795
2019-03-23,323.96183103553795
2019-03-24,323.96183103553795
2019-03-25,320.63618958633253
2019-03-26,323.9520549718
2019-03-27,325.7218107809978
2019-03-28,325.33287693379845
2019-03-29,332.0134284733054
2019-03-30,332.0134284733054
2019-03-31,332.0134284733054
2019-04-01,335.3877353359553
2019-04-02,339.3746418169259
2019-04-03,339.56914588175607
2019-04-04,337.1867085409519
2019-04-05,337.22095985899676
2019-04-06,337.22095985899676
2019-04-07,337.22095985899676
2019-04-08,335.1468520804688
2019-04-09,332.4204623099326
2019-04-10,334.7087114038318
2019-04-11,335.3903105504533
2019-04-12,338.963926635924
2019-04-13,338.963926635924
2019-04-14,338.963926635924
2019-04-15,343.3651694398592
2019-04-16,343.6085307675275
2019-04-17,341.15470486675366
2019-04-18,340.7944505731996
2019-04-19,340.7944505731996
2019-04-20,340.7944505731996
2019-04-21,340.7944505731996
2019-04-22,339.01255199680384
2019-04-23,341.0574267415531
2019-04-24,343.2093304946012
2019-04-25,345.86762911789697
2019-04-26,339.5870755922153
2019-04-27,339.5870755922153
2019-04-28,339.5870755922153
2019-04-29,344.7185958683825
2019-04-30,350.49291285902206
2019-05-01,350.54149600897705
2019-05-02,347.02642591534504
2019-05-03,350.5512988557455
2019-05-04,350.5512988557455
2019-05-05,350.5512988557455
2019-05-06,344.21229226194544
2019-05-07,345.19574443780965
2019-05-08,343.6475206642897
2019-05-09,342.86860665411757
2019-05-10,342.41086637205746
