,price
2019-02-19,89.57330114241744
2019-02-20,89.35405823784615
2019-02-21,89.52563178498757
2019-02-22,89.23969300922893
2019-02-23,89.23969300922893
2019-02-24,89.23969300922893
2019-02-25,90.25952471428249
2019-02-26,89.50655916637474
2019-02-27,89.42079242722365
2019-02-28,90.41203025165296
2019-03-01,91.28888500606635
2019-03-02,91.28888500606635
2019-03-03,91.28888500606635
2019-03-04,90.9457654658332
2019-03-05,90.6502897112423
2019-03-06,89.59235199051412
2019-03-07,89.19204132392792
2019-03-08,87.19051167392922
2019-03-09,87.19051167392922
2019-03-10,87.19051167392922
2019-03-11,85.1317920359
2019-03-12,86.57099285422409
2019-03-13,86.98081817009896
2019-03-14,86.21833745993777
2019-03-15,85.15588607129226
2019-03-16,85.15588607129226
2019-03-17,85.15588607129226
2019-03-18,85.69119359726649
2019-03-19,87.17273529029873
2019-03-20,87.6506600966316
2019-03-21,87.31611786373125
2019-03-22,87.04847364189796
2019-03-23,87.04847364189796
2019-03-24,87.04847364189796
2019-03-25,85.29926529836526
2019-03-26,86.27425597986966
2019-03-27,86.98156035511725
2019-03-28,88.02343147601462
2019-03-29,88.37708509277263
2019-03-30,88.37708509277263
2019-03-31,88.37708509277263
2019-04-01,89.62922776761688
2019-04-02,89.9637934220306
2019-04-03,90.19319570993694
2019-04-04,90.86227350344299
2019-04-05,93.47172966048323
2019-04-06,93.47172966048323
2019-04-07,93.47172966048323
2019-04-08,93.86362719337176
2019-04-09,93.64378410048099
2019-04-10,93.72980971516755
2019-04-11,94.26507479039977
2019-04-12,93.50040004111966
2019-04-13,93.50040004111966
2019-04-14,93.50040004111966
2019-04-15,92.98424705840007
2019-04-16,94.11213634382472
2019-04-17,94.93414901323293
2019-04-18,96.01427798968041
2019-04-19,96.01427798968041
2019-04-20,96.01427798968041
2019-04-21,96.01427798968041
2019-04-22,95.20178902262667
2019-04-23,93.89227620458358
2019-04-24,93.61512369020546
2019-04-25,93.26143317989218
2019-04-26,93.9783191791804
2019-04-27,93.9783191791804
2019-04-28,93.9783191791804
2019-04-29,94.08344956693813
2019-04-30,93.93052968019603
2019-05-01,93.19454586600672
2019-05-02,91.77031543772347
2019-05-03,92.66879912664203
2019-05-04,92.66879912664203
2019-05-05,92.66879912664203
2019-05-06,91.50269318015084
2019-05-07,92.47764528096543
2019-05-08,91.34976826968004
2019-05-09,91.68431005853317
2019-05-10,92.22912573336444
2019-05-11,92.22912573336444
2019-05-12,92.22912573336444
2019-05-13,91.55047617940987
2019-05-14,89.84908643936089
2019-05-15,89.56234264629647
2019-05-16,90.73803351282807
2019-05-17,91.18727332036416
2019-05-18,91.18727332036416
2019-05-19,91.18727332036416
2019-05-20,92.49675148657462
2019-05-21,92.18134638380138
2019-05-22,92.55412041266717
2019-05-23,89.79172627884365
2019-05-24,88.49178754166307
2019-05-25,88.49178754166307
2019-05-26,88.49178754166307
2019-05-27,88.49178754166307
2019-05-28,89.55279119092243
2019-05-29,86.76171642213262
2019-05-30,86.64702528430037
2019-05-31,87.78446327514536
2019-06-01,87.78446327514536
2019-06-02,87.78446327514536
2019-06-03,88.82632986413273
2019-06-04,88.70208599001087
2019-06-05,90.73801623463666
2019-06-06,91.04390749708581
2019-06-07,92.57322874285452
2019-06-08,92.57322874285452
2019-06-09,92.57322874285452
2019-06-10,94.96809817856827
2019-06-11,94.51768973606097
2019-06-12,94.67102666270705
2019-06-13,94.85310598333376
2019-06-14,96.56845868668519
2019-06-15,96.56845868668519
2019-06-16,96.56845868668519
2019-06-17,96.76972098954673
2019-06-18,98.06342453484336
2019-06-19,98.54257736250642
2019-06-20,99.73087673844505
2019-06-21,100.28669870350144
2019-06-22,100.28669870350144
2019-06-23,100.28669870350144
2019-06-24,98.70547673331353
2019-06-25,98.55216722426455
2019-06-26,97.81427338137662
2019-06-27,95.4472508667974
2019-06-28,96.45346538970155
2019-06-29,96.45346538970155
2019-06-30,96.45346538970155
2019-07-01,96.33846537204664
2019-07-02,94.67101569872439
2019-07-03,94.29728631333273
2019-07-04,94.29728631333273
2019-07-05,94.73810713067151
2019-07-06,94.73810713067151
2019-07-07,94.73810713067151
2019-07-08,96.57805611959954
2019-07-09,97.26802975568506
2019-07-10,98.3125787539811
2019-07-11,98.70547112103682
2019-07-12,99.19422908735757
2019-07-13,99.19422908735757
2019-07-14,99.19422908735757
2019-07-15,101.743306696586
2019-07-16,102.10747420267799
2019-07-17,102.45246633754418
2019-07-18,102.9028467429186
2019-07-19,103.27660119867677
2019-07-20,103.27660119867677
2019-07-21,103.27660119867677
2019-07-22,102.59620880693589
2019-07-23,101.68582153320312
2019-07-24,101.52290816904718
2019-07-25,99.93211770732736
2019-07-26,101.43665071120134
2019-07-27,101.43665071120134
2019-07-28,101.43665071120134
2019-07-29,102.10749357365633
2019-07-30,101.72413876453182
2019-07-31,101.76248617131242
2019-08-01,102.24165647367842
2019-08-02,99.21338956349754
2019-08-03,99.21338956349754
2019-08-04,99.21338956349754
2019-08-05,98.0538449555104
2019-08-06,97.32552502329408
2019-08-07,97.81428142331687
2019-08-08,100.31542469711974
2019-08-09,102.44288684575602
2019-08-10,102.44288684575602
2019-08-11,102.44288684575602
2019-08-12,100.79460606077048
2019-08-13,98.93548474317677
2019-08-14,100.1812824394298
2019-08-15,98.88756857789261
2019-08-16,98.30300871662521
2019-08-17,98.30300871662521
2019-08-18,98.30300871662521
2019-08-19,100.51667795378279
2019-08-20,98.72464777137452
2019-08-21,101.30250044894694
2019-08-22,102.41413435831946
2019-08-23,101.23543024134923
2019-08-24,101.23543024134923
2019-08-25,101.23543024134923
2019-08-26,99.04089800003551
2019-08-27,100.72750586069873
2019-08-28,98.03468134728126
2019-08-29,101.57082939657069
2019-08-30,102.95078877139689
2019-08-31,102.95078877139689
2019-09-01,102.95078877139689
2019-09-02,102.95078877139689
2019-09-03,100.78501319278665
2019-09-04,101.0820832791728
2019-09-05,102.53872120018691
2019-09-06,105.07821242724536
2019-09-07,105.07821242724536
2019-09-08,105.07821242724536
2019-09-09,104.75240131985159
2019-09-10,104.02409113219343
2019-09-11,103.1460445604145
2019-09-12,104.95193330875571
2019-09-13,105.28811862720694
2019-09-14,105.28811862720694
2019-09-15,105.28811862720694
2019-09-16,104.29872530912992
2019-09-17,103.5590933804069
2019-09-18,103.82803541697305
2019-09-19,104.5196563024998
2019-09-20,104.289137576535
2019-09-21,104.289137576535
2019-09-22,104.289137576535
2019-09-23,101.20568671001136
2019-09-24,104.02977771402523
2019-09-25,103.44381295007132
2019-09-26,104.42360238285404
2019-09-27,104.32754507009709
2019-09-28,104.32754507009709
2019-09-29,104.32754507009709
2019-09-30,104.83664978512387
2019-10-01,106.01816656625799
2019-10-02,104.57729099619647
2019-10-03,102.82906197729079
2019-10-04,103.0884145486875
2019-10-05,103.0884145486875
2019-10-06,103.0884145486875
2019-10-07,103.94332300946598
2019-10-08,103.22289732310223
2019-10-09,104.2218828817685
2019-10-10,104.57729181432498
2019-10-11,107.58386489553814
2019-10-12,107.58386489553814
2019-10-13,107.58386489553814
2019-10-14,107.99693952392046
2019-10-15,107.2476864516058
2019-10-16,107.53585922853567
2019-10-17,108.52523332948815
2019-10-18,108.36193788420199
2019-10-19,108.36193788420199
2019-10-20,108.36193788420199
2019-10-21,107.09398103697845
2019-10-22,106.89226723184287
2019-10-23,107.56468689802799
2019-10-24,105.87407676961776
2019-10-25,105.75879070652326
2019-10-26,105.75879070652326
2019-10-27,105.75879070652326
2019-10-28,106.25828689422487
