,price
2019-02-19,5.409181118011475
2019-02-20,5.400164776945532
2019-02-21,5.454257076916116
2019-02-22,5.499332782637216
2019-02-23,5.499332782637216
2019-02-24,5.499332782637216
2019-02-25,5.4813030400464955
2019-02-26,5.4091808872070715
2019-02-27,5.300997372634868
2019-02-28,5.34607458114624
2019-03-01,5.3641048587983695
2019-03-02,5.3641048587983695
2019-03-03,5.3641048587983695
2019-03-04,5.445242291074237
2019-03-05,5.39114922080217
2019-03-06,5.418196626218711
2019-03-07,5.400166034698486
2019-03-08,5.35508918762207
2019-03-09,5.35508918762207
2019-03-10,5.35508918762207
2019-03-11,5.337059136766699
2019-03-12,5.391149526383095
2019-03-13,5.499334330797521
2019-03-14,5.472287831154583
2019-03-15,5.571456905013185
2019-03-16,5.571456905013185
2019-03-17,5.571456905013185
2019-03-18,5.535393947385028
2019-03-19,5.481302375598319
2019-03-20,5.472287962419851
2019-03-21,5.409180104025454
2019-03-22,5.346073637776215
2019-03-23,5.346073637776215
2019-03-24,5.346073637776215
2019-03-25,5.183798789978027
2019-03-26,5.201829211350726
2019-03-27,5.16576695755192
2019-03-28,5.093644739220038
2019-03-29,5.138721880932461
2019-03-30,5.138721880932461
2019-03-31,5.138721880932461
2019-04-01,5.138721278554134
2019-04-02,5.219858885981775
2019-04-03,5.310012450574348
2019-04-04,5.346073262482776
2019-04-05,5.364104265658688
2019-04-06,5.364104265658688
2019-04-07,5.364104265658688
2019-04-08,5.355088354571161
2019-04-09,5.355089724530784
2019-04-10,5.382135446748428
2019-04-11,5.409180336654905
2019-04-12,5.472288194579596
2019-04-13,5.472288194579596
2019-04-14,5.472288194579596
2019-04-15,5.499334483365372
2019-04-16,5.400165016130273
2019-04-17,5.373119996459483
2019-04-18,5.445241451263428
2019-04-19,5.445241451263428
2019-04-20,5.445241451263428
2019-04-21,5.445241451263428
2019-04-22,5.427212040551837
2019-04-23,5.499334024510814
2019-04-24,5.400165719624596
2019-04-25,5.201829320705881
2019-04-26,5.183798422791034
2019-04-27,5.183798422791034
2019-04-28,5.183798422791034
2019-04-29,5.255920053113568
2019-04-30,5.291982002220891
2019-05-01,5.237889522337338
2019-05-02,5.310013445112747
2019-05-03,5.237889522337338
2019-05-04,5.237889522337338
2019-05-05,5.237889522337338
2019-05-06,5.219858820181215
2019-05-07,5.219859372835723
2019-05-08,5.1387211085755835
2019-05-09,5.140453292508162
2019-05-10,5.1494874021736425
2019-05-11,5.1494874021736425
2019-05-12,5.1494874021736425
2019-05-13,5.113350381024231
2019-05-14,5.050111203640236
2019-05-15,5.07721261604309
2019-05-16,5.059143705056478
2019-05-17,5.086247119364633
2019-05-18,5.086247119364633
2019-05-19,5.086247119364633
2019-05-20,5.077214336950349
2019-05-21,5.068178805541382
2019-05-22,5.07721293948054
2019-05-23,4.995905167662898
2019-05-24,4.932666629559713
2019-05-25,4.932666629559713
2019-05-26,4.932666629559713
2019-05-27,4.932666629559713
2019-05-28,4.8874956541726435
2019-05-29,4.815221549620624
2019-05-30,4.833291006684789
2019-05-31,4.815222309159428
2019-06-01,4.815222309159428
2019-06-02,4.815222309159428
2019-06-03,4.797153081166827
2019-06-04,4.79715282964544
2019-06-05,4.914597611536416
2019-06-06,4.7790855903156695
2019-06-07,4.815222309159428
2019-06-08,4.815222309159428
2019-06-09,4.815222309159428
2019-06-10,4.860393150698138
2019-06-11,4.941700414205765
2019-06-12,4.959768059034766
2019-06-13,4.995906925322698
2019-06-14,5.032042263405606
2019-06-15,5.032042263405606
2019-06-16,5.032042263405606
2019-06-17,5.01397448629048
2019-06-18,5.140453054538498
2019-06-19,5.167555423059574
2019-06-20,5.158521797676983
2019-06-21,5.158521158051135
2019-06-22,5.158521158051135
2019-06-23,5.158521158051135
2019-06-24,5.077214096293225
2019-06-25,5.041076269605597
2019-06-26,5.023009156263944
2019-06-27,5.023008585222041
2019-06-28,5.013975286882589
2019-06-29,5.013975286882589
2019-06-30,5.013975286882589
2019-07-01,5.0862482133676075
2019-07-02,5.140453022463184
2019-07-03,5.2759651289214045
2019-07-04,5.2759651289214045
2019-07-05,5.303068545511948
2019-07-06,5.303068545511948
2019-07-07,5.303068545511948
2019-07-08,5.312102422191756
2019-07-09,5.321136578352162
2019-07-10,5.411478474689279
2019-07-11,5.447615623474121
2019-07-12,5.483752250671387
2019-07-13,5.483752250671387
2019-07-14,5.483752250671387
2019-07-15,5.4747176614959905
2019-07-16,5.447614152439735
2019-07-17,5.465683697857953
2019-07-18,5.429546981738532
2019-07-19,5.456649734385377
2019-07-20,5.456649734385377
2019-07-21,5.456649734385377
2019-07-22,5.50182080253041
2019-07-23,5.5018204139773745
2019-07-24,5.447615679310909
2019-07-25,5.501820193482279
2019-07-26,5.565060472217145
2019-07-27,5.565060472217145
2019-07-28,5.565060472217145
2019-07-29,5.619264738090508
2019-07-30,5.565059141574206
2019-07-31,5.565059485073128
2019-08-01,5.673468825485521
2019-08-02,5.646368076610431
2019-08-03,5.646368076610431
2019-08-04,5.646368076610431
2019-08-05,5.664434401898261
2019-08-06,5.5018205642700195
2019-08-07,5.456650350803768
2019-08-08,5.548855151898145
2019-08-09,5.548854723574893
2019-08-10,5.548854723574893
2019-08-11,5.548854723574893
2019-08-12,5.50359502734772
2019-08-13,5.467387995790056
2019-08-14,5.44928391637427
2019-08-15,5.4583363061325505
2019-08-16,5.458336253300777
2019-08-17,5.458336253300777
2019-08-18,5.458336253300777
2019-08-19,5.557906477543477
2019-08-20,5.585063773407591
2019-08-21,5.539801928477959
2019-08-22,5.576009750366211
2019-08-23,5.557906818676444
2019-08-24,5.557906818676444
2019-08-25,5.557906818676444
2019-08-26,5.476440169910754
2019-08-27,5.521698144836058
2019-08-28,5.458335730340762
2019-08-29,5.5850637763478215
2019-08-30,5.639374723782421
2019-08-31,5.639374723782421
2019-09-01,5.639374723782421
2019-09-02,5.639374723782421
2019-09-03,5.548854099765665
2019-09-04,5.630323352922343
2019-09-05,5.657478123767333
2019-09-06,5.684634418433416
2019-09-07,5.684634418433416
2019-09-08,5.684634418433416
2019-09-09,5.666531304016193
2019-09-10,5.6755822117639765
2019-09-11,5.784205304565751
2019-09-12,5.883777186187543
2019-09-13,5.856622052289948
2019-09-14,5.856622052289948
2019-09-15,5.856622052289948
2019-09-16,5.747997923683269
2019-09-17,5.74799965911488
2019-09-18,5.856622052289948
2019-09-19,5.775155226086044
2019-09-20,5.757051146696496
2019-09-21,5.757051146696496
2019-09-22,5.757051146696496
2019-09-23,5.6936869621276855
2019-09-24,5.757050392428172
2019-09-25,5.639375003731606
2019-09-26,5.702739396361705
2019-09-27,5.6936872780843855
2019-09-28,5.6936872780843855
2019-09-29,5.6936872780843855
2019-09-30,5.657479388600333
2019-10-01,5.684634300333678
2019-10-02,5.594114731139625
2019-10-03,5.639375218653866
2019-10-04,5.747997552657192
2019-10-05,5.747997552657192
2019-10-06,5.747997552657192
2019-10-07,5.757050247968159
2019-10-08,5.711789967451955
2019-10-09,5.666530505034607
2019-10-10,5.639374419120722
2019-10-11,5.711790561676025
2019-10-12,5.711790561676025
2019-10-13,5.711790561676025
2019-10-14,5.711790247272289
2019-10-15,5.738946766346554
2019-10-16,5.802309675965608
2019-10-17,5.856621845624959
2019-10-18,5.8837775025849695
2019-10-19,5.8837775025849695
2019-10-20,5.8837775025849695
2019-10-21,5.829466659677279
2019-10-22,5.811361626136967
2019-10-23,5.802309363949076
2019-10-24,5.8023099408129655
2019-10-25,5.829466342926025
2019-10-26,5.829466342926025
2019-10-27,5.829466342926025
2019-10-28,5.838517769489539
2019-10-29,5.829465750136143
2019-10-30,5.793259672282755
2019-10-31,5.865674048961162
2019-11-01,6.10102531430162
2019-11-02,6.10102531430162
2019-11-03,6.10102531430162
2019-11-04,6.200596639809803
2019-11-05,6.137232688457957
2019-11-06,6.182492829195224
2019-11-07,6.158091902269358
2019-11-08,6.1671626319632
2019-11-09,6.1671626319632
2019-11-10,6.1671626319632
2019-11-11,6.185300736426877
2019-11-12,6.3032019606316005
2019-11-13,6.275993916331066
2019-11-14,6.248786609120455
2019-11-15,6.339479514850082
2019-11-16,6.339479514850082
2019-11-17,6.339479514850082
2019-11-18,6.275993852060291
2019-11-19,6.312271906491977
2019-11-20,6.285063239813501
2019-11-21,6.2941329009191715
2019-11-22,6.34854969031842
2019-11-23,6.34854969031842
2019-11-24,6.34854969031842
2019-11-25,6.194370459457218
2019-11-26,6.22157802774484
2019-11-27,6.239716748290813
2019-11-28,6.239716748290813
2019-11-29,6.312272261339613
2019-11-30,6.312272261339613
2019-12-01,6.312272261339613
2019-12-02,6.321340266818035
2019-12-03,6.266924831710069
2019-12-04,6.167162819712325
2019-12-05,6.248785946063194
2019-12-06,6.266924568396159
2019-12-07,6.266924568396159
2019-12-08,6.266924568396159
2019-12-09,6.19437064803464
2019-12-10,6.2306468029930615
2019-12-11,6.257856301554434
2019-12-12,6.2306468029930615
2019-12-13,6.248786043081382
2019-12-14,6.248786043081382
2019-12-15,6.248786043081382
2019-12-16,6.2850629823583555
2019-12-17,6.312271621404543
2019-12-18,6.3304105754485125
2019-12-19,6.3848265650504015
2019-12-20,6.430173518507437
2019-12-21,6.430173518507437
2019-12-22,6.430173518507437
2019-12-23,6.4936576477646915
2019-12-24,6.457380488068579
2019-12-25,6.457380488068579
2019-12-26,6.493659019470215
2019-12-27,6.502727434872028
2019-12-28,6.502727434872028
2019-12-29,6.502727434872028
2019-12-30,6.475518956163246
2019-12-31,6.430173493034121
2020-01-01,6.430173493034121
2020-01-02,6.466449737548828
2020-01-03,6.393895060187003
2020-01-04,6.393895060187003
2020-01-05,6.393895060187003
2020-01-06,6.393896978724415
2020-01-07,6.421103642211248
2020-01-08,6.402965545654297
2020-01-09,6.402965233954732
2020-01-10,6.402965451524875
2020-01-11,6.402965451524875
2020-01-12,6.402965451524875
2020-01-13,6.348549150276207
2020-01-14,6.366687939599253
2020-01-15,6.457381034739633
2020-01-16,6.5208676584521585
2020-01-17,6.539005372911808
2020-01-18,6.539005372911808
2020-01-19,6.539005372911808
2020-01-20,6.539005372911808
2020-01-21,6.484589576721191
2020-01-22,6.493659397488434
2020-01-23,6.5027285834170305
2020-01-24,6.484589672221235
2020-01-25,6.484589672221235
2020-01-26,6.484589672221235
2020-01-27,6.4029661110161395
2020-01-28,6.466449737548828
2020-01-29,6.4573813435799705
2020-01-30,6.393895543240313
2020-01-31,6.493658417214223
2020-02-01,6.493658417214223
2020-02-02,6.493658417214223
2020-02-03,6.439242340974769
2020-02-04,6.548075365060657
2020-02-05,6.575282760441536
2020-02-06,6.511796831326788
2020-02-07,6.475520108576191
2020-02-08,6.475520108576191
2020-02-09,6.475520108576191
2020-02-10,6.466451568985347
2020-02-11,6.541747959712189
2020-02-12,6.514490218630386
2020-02-13,6.550832081862473
2020-02-14,6.569004728560174
2020-02-15,6.569004728560174
2020-02-16,6.569004728560174
2020-02-17,6.569004728560174
2020-02-18,6.532661649736148
2020-02-19,6.559920275565956
2020-02-20,6.614434136858329
2020-02-21,6.65986217149973
2020-02-22,6.65986217149973
2020-02-23,6.65986217149973
2020-02-24,6.5054041982775574
2020-02-25,6.432718772122611
2020-02-26,6.360031930533182
2020-02-27,6.087459504068648
2020-02-28,5.7240301030261
2020-02-29,5.7240301030261
2020-03-01,5.7240301030261
2020-03-02,5.705857789146855
2020-03-03,5.887572765350342
2020-03-04,5.969345267823743
2020-03-05,5.887572654028839
2020-03-06,5.7785450675412955
2020-03-07,5.7785450675412955
2020-03-08,5.7785450675412955
2020-03-09,5.596828673189871
2020-03-10,5.596828504014043
2020-03-11,5.5604853461835715
2020-03-12,5.142539984936886
2020-03-13,5.251569079411178
2020-03-14,5.251569079411178
2020-03-15,5.251569079411178
2020-03-16,4.760938774532987
2020-03-17,4.679166486576199
2020-03-18,4.679165771197979
2020-03-19,4.243049900892793
2020-03-20,4.361164622509921
2020-03-21,4.361164622509921
2020-03-22,4.361164622509921
2020-03-23,3.9795628485221486
2020-03-24,4.361165214775738
2020-03-25,4.524709277922439
2020-03-26,4.6064809829864855
2020-03-27,4.579223486780207
2020-03-28,4.579223486780207
2020-03-29,4.579223486780207
2020-03-30,4.506537194599433
2020-03-31,4.397508600807974
2020-04-01,4.3248216195898115
2020-04-02,4.1703633409836725
2020-04-03,4.2975647556903365
2020-04-04,4.2975647556903365
2020-04-05,4.2975647556903365
2020-04-06,4.288478440000374
2020-04-07,4.470193698230365
2020-04-08,4.533793682735796
2020-04-09,4.760937855165443
2020-04-10,4.760937855165443
2020-04-11,4.760937855165443
2020-04-12,4.760937855165443
2020-04-13,4.742765412798544
2020-04-14,4.697337874305472
2020-04-15,4.833624555489997
2020-04-16,4.833624555489997
2020-04-17,4.915396422221588
2020-04-18,4.915396422221588
2020-04-19,4.915396422221588
2020-04-20,4.7245953532210905
2020-04-21,4.6609940653124795
2020-04-22,4.660995788082843
2020-04-23,4.642823576297842
2020-04-24,4.960824748288864
2020-04-25,4.960824748288864
2020-04-26,4.960824748288864
2020-04-27,5.006254653018005
2020-04-28,5.351512023634624
2020-04-29,5.3787713050842285
2020-04-30,5.3787701876519245
2020-05-01,5.269741535186768
2020-05-02,5.269741535186768
2020-05-03,5.269741535186768
2020-05-04,5.224311828613281
2020-05-05,5.260655628920147
2020-05-06,5.233397438594068
2020-05-07,5.136166012625639
2020-05-08,5.117951259055664
2020-05-09,5.117951259055664
2020-05-10,5.117951259055664
2020-05-11,5.190805082970395
2020-05-12,5.154378890394094
2020-05-13,4.9358187902339
2020-05-14,4.69904502572503
2020-05-15,4.78100441547624
2020-05-16,4.78100441547624
2020-05-17,4.78100441547624
2020-05-18,4.999564153674363
2020-05-19,5.04509929350657
2020-05-20,4.990458536867733
2020-05-21,4.762791467128849
2020-05-22,4.7445785201158035
2020-05-23,4.7445785201158035
2020-05-24,4.7445785201158035
2020-05-25,4.7445785201158035
2020-05-26,4.954033239104787
2020-05-27,5.145272106349846
2020-05-28,5.272766213550402
2020-05-29,5.1543788982335705
2020-05-30,5.1543788982335705
2020-05-31,5.1543788982335705
2020-06-01,5.300085764973171
2020-06-02,5.500432683019676
2020-06-03,5.5004321002705545
2020-06-04,5.682564841396089
2020-06-05,6.083260398914114
2020-06-06,6.083260398914114
2020-06-07,6.083260398914114
2020-06-08,5.983086484110613
2020-06-09,5.864699448838243
2020-06-10,5.7736338337128545
2020-06-11,5.518645686324069
2020-06-12,5.48221851003364
2020-06-13,5.48221851003364
2020-06-14,5.48221851003364
2020-06-15,5.290979744005466
2020-06-16,5.6279273025309
2020-06-17,5.500432554783597
2020-06-18,5.473112169722378
2020-06-19,5.573286092642814
2020-06-20,5.573286092642814
2020-06-21,5.573286092642814
2020-06-22,5.4184725176960375
