,price
2019-02-19,101.23999786376953
2019-02-20,102.36000061035156
2019-02-21,104.05999755859375
2019-02-22,101.70999908447266
2019-02-23,101.70999908447266
2019-02-24,101.70999908447266
2019-02-25,103.0
2019-02-26,102.43000030517578
2019-02-27,102.13999938964844
2019-02-28,102.56999969482422
2019-03-01,102.16999816894531
2019-03-02,102.16999816894531
2019-03-03,102.16999816894531
2019-03-04,103.31999969482422
2019-03-05,102.94999694824219
2019-03-06,103.37999725341797
2019-03-07,103.54000091552734
2019-03-08,100.6500015258789
2019-03-09,100.6500015258789
2019-03-10,100.6500015258789
2019-03-11,103.5199966430664
2019-03-12,105.81999969482422
2019-03-13,107.3499984741211
2019-03-14,107.5
2019-03-15,108.05000305175781
2019-03-16,108.05000305175781
2019-03-17,108.05000305175781
2019-03-18,109.02999877929688
2019-03-19,109.97000122070312
2019-03-20,109.16999816894531
2019-03-21,109.12999725341797
2019-03-22,112.4000015258789
2019-03-23,112.4000015258789
2019-03-24,112.4000015258789
2019-03-25,109.94000244140625
2019-03-26,112.36000061035156
2019-03-27,112.5199966430664
2019-03-28,112.73999786376953
2019-03-29,114.70999908447266
2019-03-30,114.70999908447266
2019-03-31,114.70999908447266
2019-04-01,116.48999786376953
2019-04-02,117.56999969482422
2019-04-03,118.44999694824219
2019-04-04,117.48999786376953
2019-04-05,115.87999725341797
2019-04-06,115.87999725341797
2019-04-07,115.87999725341797
2019-04-08,116.22000122070312
2019-04-09,116.12000274658203
2019-04-10,116.80000305175781
2019-04-11,117.58000183105469
2019-04-12,118.69000244140625
2019-04-13,118.69000244140625
2019-04-14,118.69000244140625
2019-04-15,118.30999755859375
2019-04-16,118.08000183105469
2019-04-17,117.44999694824219
2019-04-18,116.55000305175781
2019-04-19,116.55000305175781
2019-04-20,116.55000305175781
2019-04-21,116.55000305175781
2019-04-22,115.69999694824219
2019-04-23,118.41999816894531
2019-04-24,120.25
2019-04-25,119.94999694824219
2019-04-26,119.61000061035156
2019-04-27,119.61000061035156
2019-04-28,119.61000061035156
2019-04-29,120.18000030517578
2019-04-30,119.87999725341797
2019-05-01,121.31999969482422
2019-05-02,120.0
2019-05-03,120.5
2019-05-04,120.5
2019-05-05,120.5
2019-05-06,119.18000030517578
2019-05-07,120.2699966430664
2019-05-08,119.31999969482422
2019-05-09,117.7300033569336
2019-05-10,118.18000030517578
2019-05-11,118.18000030517578
2019-05-12,118.18000030517578
2019-05-13,117.05999755859375
2019-05-14,116.48999786376953
2019-05-15,117.51000213623047
2019-05-16,120.52999877929688
2019-05-17,123.5
2019-05-18,123.5
2019-05-19,123.5
2019-05-20,121.51000213623047
2019-05-21,116.38999938964844
2019-05-22,114.8499984741211
2019-05-23,116.4000015258789
2019-05-24,117.36000061035156
2019-05-25,117.36000061035156
2019-05-26,117.36000061035156
2019-05-27,117.36000061035156
2019-05-28,117.0999984741211
2019-05-29,116.91000366210938
2019-05-30,116.61000061035156
2019-05-31,115.72000122070312
2019-06-01,115.72000122070312
2019-06-02,115.72000122070312
2019-06-03,116.55000305175781
2019-06-04,114.04000091552734
2019-06-05,119.3499984741211
2019-06-06,121.5999984741211
2019-06-07,122.9000015258789
2019-06-08,122.9000015258789
2019-06-09,122.9000015258789
2019-06-10,124.86000061035156
2019-06-11,127.44999694824219
2019-06-12,125.87999725341797
2019-06-13,127.22000122070312
2019-06-14,126.06999969482422
2019-06-15,126.06999969482422
2019-06-16,126.06999969482422
2019-06-17,124.81999969482422
2019-06-18,126.11000061035156
2019-06-19,126.38999938964844
2019-06-20,128.5800018310547
2019-06-21,130.39999389648438
2019-06-22,130.39999389648438
2019-06-23,130.39999389648438
2019-06-24,129.2100067138672
2019-06-25,128.36000061035156
2019-06-26,125.97000122070312
2019-06-27,124.02999877929688
2019-06-28,126.44000244140625
2019-06-29,126.44000244140625
2019-06-30,126.44000244140625
2019-07-01,131.39999389648438
2019-07-02,131.99000549316406
2019-07-03,133.07000732421875
2019-07-04,133.07000732421875
2019-07-05,133.77999877929688
2019-07-06,133.77999877929688
2019-07-07,133.77999877929688
2019-07-08,134.66000366210938
2019-07-09,134.91000366210938
2019-07-10,136.35000610351562
2019-07-11,137.63999938964844
2019-07-12,137.61000061035156
2019-07-13,137.61000061035156
2019-07-14,137.61000061035156
2019-07-15,137.63999938964844
2019-07-16,137.44000244140625
2019-07-17,136.52999877929688
2019-07-18,135.27000427246094
2019-07-19,136.69000244140625
2019-07-20,136.69000244140625
2019-07-21,136.69000244140625
2019-07-22,135.5800018310547
2019-07-23,135.14999389648438
2019-07-24,135.97999572753906
2019-07-25,136.92999267578125
2019-07-26,138.27999877929688
2019-07-27,138.27999877929688
2019-07-28,138.27999877929688
2019-07-29,137.38999938964844
2019-07-30,135.1300048828125
2019-07-31,135.64999389648438
2019-08-01,133.35000610351562
2019-08-02,132.07000732421875
2019-08-03,132.07000732421875
2019-08-04,132.07000732421875
2019-08-05,126.25
2019-08-06,125.87000274658203
2019-08-07,126.70999908447266
2019-08-08,127.80999755859375
2019-08-09,131.0500030517578
2019-08-10,131.0500030517578
2019-08-11,131.0500030517578
2019-08-12,129.8800048828125
2019-08-13,127.97000122070312
2019-08-14,129.17999267578125
2019-08-15,127.41999816894531
2019-08-16,128.94000244140625
2019-08-17,128.94000244140625
2019-08-18,128.94000244140625
2019-08-19,130.5800018310547
2019-08-20,129.80999755859375
2019-08-21,131.32000732421875
2019-08-22,135.0
2019-08-23,137.47000122070312
2019-08-24,137.47000122070312
2019-08-25,137.47000122070312
2019-08-26,136.6300048828125
2019-08-27,137.2899932861328
2019-08-28,136.2100067138672
2019-08-29,138.5
2019-08-30,142.27999877929688
2019-08-31,142.27999877929688
2019-09-01,142.27999877929688
2019-09-02,142.27999877929688
2019-09-03,140.0800018310547
2019-09-04,141.1699981689453
2019-09-05,143.39999389648438
2019-09-06,146.0
