,price
2019-02-19,136.1199951171875
2019-02-20,136.14999389648438
2019-02-21,132.27999877929688
2019-02-22,132.49000549316406
2019-02-23,132.49000549316406
2019-02-24,132.49000549316406
2019-02-25,136.88999938964844
2019-02-26,135.6199951171875
2019-02-27,136.8699951171875
2019-02-28,138.9499969482422
2019-03-01,143.0
2019-03-02,143.0
2019-03-03,143.0
2019-03-04,134.44000244140625
2019-03-05,127.22000122070312
2019-03-06,125.0
2019-03-07,122.5
2019-03-08,121.20999908447266
2019-03-09,121.20999908447266
2019-03-10,121.20999908447266
2019-03-11,123.0
2019-03-12,126.75
2019-03-13,124.48999786376953
2019-03-14,125.4000015258789
2019-03-15,126.5
2019-03-16,126.5
2019-03-17,126.5
2019-03-18,127.33000183105469
2019-03-19,129.69000244140625
2019-03-20,129.5
2019-03-21,129.5
2019-03-22,132.22000122070312
2019-03-23,132.22000122070312
2019-03-24,132.22000122070312
2019-03-25,125.0
2019-03-26,125.91000366210938
2019-03-27,124.19999694824219
2019-03-28,120.5
2019-03-29,123.19999694824219
2019-03-30,123.19999694824219
2019-03-31,123.19999694824219
2019-04-01,126.30000305175781
2019-04-02,126.83999633789062
2019-04-03,128.61000061035156
2019-04-04,129.0
2019-04-05,126.08000183105469
2019-04-06,126.08000183105469
2019-04-07,126.08000183105469
2019-04-08,128.74000549316406
2019-04-09,128.69000244140625
2019-04-10,130.32000732421875
2019-04-11,133.6199951171875
2019-04-12,135.89999389648438
2019-04-13,135.89999389648438
2019-04-14,135.89999389648438
2019-04-15,135.02000427246094
2019-04-16,135.77999877929688
2019-04-17,134.58999633789062
2019-04-18,128.8000030517578
2019-04-19,128.8000030517578
2019-04-20,128.8000030517578
2019-04-21,128.8000030517578
2019-04-22,127.88999938964844
2019-04-23,130.5
2019-04-24,134.3300018310547
2019-04-25,135.02000427246094
2019-04-26,136.10000610351562
2019-04-27,136.10000610351562
2019-04-28,136.10000610351562
2019-04-29,138.11000061035156
2019-04-30,138.24000549316406
2019-05-01,138.52000427246094
2019-05-02,134.5
2019-05-03,135.60000610351562
2019-05-04,135.60000610351562
2019-05-05,135.60000610351562
2019-05-06,131.00999450683594
2019-05-07,133.5
2019-05-08,131.2899932861328
2019-05-09,130.05999755859375
2019-05-10,132.0399932861328
2019-05-11,132.0399932861328
2019-05-12,132.0399932861328
2019-05-13,128.86000061035156
2019-05-14,128.25999450683594
2019-05-15,130.2100067138672
2019-05-16,135.66000366210938
2019-05-17,138.0
2019-05-18,138.0
2019-05-19,138.0
2019-05-20,136.19000244140625
2019-05-21,135.52000427246094
2019-05-22,137.07000732421875
2019-05-23,134.02999877929688
2019-05-24,125.79000091552734
2019-05-25,125.79000091552734
2019-05-26,125.79000091552734
2019-05-27,125.79000091552734
2019-05-28,120.08999633789062
2019-05-29,120.5
2019-05-30,119.95999908447266
2019-05-31,114.95999908447266
2019-06-01,114.95999908447266
2019-06-02,114.95999908447266
2019-06-03,113.88999938964844
2019-06-04,111.25
2019-06-05,113.72000122070312
2019-06-06,110.73999786376953
2019-06-07,110.4000015258789
2019-06-08,110.4000015258789
2019-06-09,110.4000015258789
2019-06-10,115.51000213623047
2019-06-11,120.0
2019-06-12,115.2300033569336
2019-06-13,116.12999725341797
2019-06-14,117.9800033569336
2019-06-15,117.9800033569336
2019-06-16,117.9800033569336
2019-06-17,118.37000274658203
2019-06-18,120.2699966430664
2019-06-19,120.8499984741211
2019-06-20,124.0
2019-06-21,124.02999877929688
2019-06-22,124.02999877929688
2019-06-23,124.02999877929688
2019-06-24,125.80000305175781
2019-06-25,122.12000274658203
2019-06-26,119.86000061035156
2019-06-27,121.23999786376953
2019-06-28,124.81999969482422
2019-06-29,124.81999969482422
2019-06-30,124.81999969482422
2019-07-01,129.0
2019-07-02,125.33000183105469
2019-07-03,128.61000061035156
2019-07-04,128.61000061035156
2019-07-05,128.69000244140625
2019-07-06,128.69000244140625
2019-07-07,128.69000244140625
2019-07-08,129.8800048828125
2019-07-09,130.0
2019-07-10,132.6999969482422
2019-07-11,133.0399932861328
2019-07-12,136.60000610351562
2019-07-13,136.60000610351562
2019-07-14,136.60000610351562
2019-07-15,137.63999938964844
2019-07-16,138.0
2019-07-17,137.0399932861328
2019-07-18,137.5800018310547
2019-07-19,139.30999755859375
2019-07-20,139.30999755859375
2019-07-21,139.30999755859375
2019-07-22,139.05999755859375
2019-07-23,139.0800018310547
2019-07-24,137.35000610351562
2019-07-25,139.82000732421875
2019-07-26,139.77000427246094
2019-07-27,139.77000427246094
2019-07-28,139.77000427246094
2019-07-29,141.0
2019-07-30,136.16000366210938
2019-07-31,137.99000549316406
2019-08-01,135.41000366210938
2019-08-02,133.72999572753906
2019-08-03,133.72999572753906
2019-08-04,133.72999572753906
2019-08-05,121.4800033569336
2019-08-06,124.81999969482422
2019-08-07,122.0
2019-08-08,124.70999908447266
2019-08-09,127.05999755859375
2019-08-10,127.05999755859375
2019-08-11,127.05999755859375
2019-08-12,128.77999877929688
2019-08-13,129.47999572753906
2019-08-14,129.2899932861328
2019-08-15,125.3499984741211
2019-08-16,124.76000213623047
2019-08-17,124.76000213623047
2019-08-18,124.76000213623047
2019-08-19,128.41000366210938
2019-08-20,125.20999908447266
2019-08-21,128.39999389648438
2019-08-22,122.79000091552734
2019-08-23,116.6500015258789
2019-08-24,116.6500015258789
2019-08-25,116.6500015258789
2019-08-26,119.5
2019-08-27,113.1500015258789
2019-08-28,112.87000274658203
2019-08-29,112.0
2019-08-30,113.26000213623047
2019-08-31,113.26000213623047
2019-09-01,113.26000213623047
2019-09-02,113.26000213623047
2019-09-03,110.54000091552734
2019-09-04,109.16999816894531
2019-09-05,111.0
2019-09-06,111.04000091552734
2019-09-07,111.04000091552734
2019-09-08,111.04000091552734
2019-09-09,111.7300033569336
2019-09-10,109.43000030517578
2019-09-11,112.70999908447266
2019-09-12,116.12999725341797
2019-09-13,114.11000061035156
2019-09-14,114.11000061035156
2019-09-15,114.11000061035156
2019-09-16,112.80000305175781
2019-09-17,117.5
2019-09-18,118.0
2019-09-19,119.30999755859375
2019-09-20,121.97000122070312
2019-09-21,121.97000122070312
