,price
2019-02-19,104.37999725341797
2019-02-20,104.0
2019-02-21,103.30000305175781
2019-02-22,102.97000122070312
2019-02-23,102.97000122070312
2019-02-24,102.97000122070312
2019-02-25,105.97000122070312
2019-02-26,106.0199966430664
2019-02-27,105.30000305175781
2019-02-28,105.62999725341797
2019-03-01,108.22000122070312
2019-03-02,108.22000122070312
2019-03-03,108.22000122070312
2019-03-04,111.58000183105469
2019-03-05,105.33000183105469
2019-03-06,104.25
2019-03-07,102.97000122070312
2019-03-08,102.05999755859375
2019-03-09,102.05999755859375
2019-03-10,102.05999755859375
2019-03-11,104.76000213623047
2019-03-12,110.05999755859375
2019-03-13,111.22000122070312
2019-03-14,109.45999908447266
2019-03-15,110.83000183105469
2019-03-16,110.83000183105469
2019-03-17,110.83000183105469
2019-03-18,110.12000274658203
2019-03-19,112.20999908447266
2019-03-20,112.63999938964844
2019-03-21,112.33999633789062
2019-03-22,114.69000244140625
2019-03-23,114.69000244140625
2019-03-24,114.69000244140625
2019-03-25,109.33000183105469
2019-03-26,111.62999725341797
2019-03-27,111.4000015258789
2019-03-28,107.08000183105469
2019-03-29,110.19999694824219
2019-03-30,110.19999694824219
2019-03-31,110.19999694824219
2019-04-01,114.02999877929688
2019-04-02,114.44000244140625
2019-04-03,116.30000305175781
2019-04-04,115.5999984741211
2019-04-05,111.52999877929688
2019-04-06,111.52999877929688
2019-04-07,111.52999877929688
2019-04-08,111.27999877929688
2019-04-09,111.0
2019-04-10,112.1500015258789
2019-04-11,113.63999938964844
2019-04-12,115.27999877929688
2019-04-13,115.27999877929688
2019-04-14,115.27999877929688
2019-04-15,114.01000213623047
2019-04-16,115.08999633789062
2019-04-17,113.38999938964844
2019-04-18,101.4000015258789
2019-04-19,101.4000015258789
2019-04-20,101.4000015258789
2019-04-21,101.4000015258789
2019-04-22,100.72000122070312
2019-04-23,104.25
2019-04-24,107.5199966430664
2019-04-25,104.0
2019-04-26,105.83999633789062
2019-04-27,105.83999633789062
2019-04-28,105.83999633789062
2019-04-29,107.93000030517578
2019-04-30,109.25
2019-05-01,110.2300033569336
2019-05-02,107.81999969482422
2019-05-03,110.33000183105469
2019-05-04,110.33000183105469
2019-05-05,110.33000183105469
2019-05-06,107.0
2019-05-07,109.6500015258789
2019-05-08,110.98999786376953
2019-05-09,116.16000366210938
2019-05-10,123.11000061035156
2019-05-11,123.11000061035156
2019-05-12,123.11000061035156
2019-05-13,124.70999908447266
2019-05-14,121.5999984741211
2019-05-15,122.91000366210938
2019-05-16,126.08999633789062
2019-05-17,128.94000244140625
2019-05-18,128.94000244140625
2019-05-19,128.94000244140625
2019-05-20,125.8499984741211
2019-05-21,126.11000061035156
2019-05-22,124.11000061035156
2019-05-23,124.88999938964844
2019-05-24,126.80000305175781
2019-05-25,126.80000305175781
2019-05-26,126.80000305175781
2019-05-27,126.80000305175781
2019-05-28,129.55999755859375
2019-05-29,124.18000030517578
2019-05-30,124.01000213623047
2019-05-31,123.81999969482422
2019-06-01,123.81999969482422
2019-06-02,123.81999969482422
2019-06-03,126.23999786376953
2019-06-04,119.5199966430664
2019-06-05,124.58999633789062
2019-06-06,126.31999969482422
2019-06-07,127.91000366210938
2019-06-08,127.91000366210938
2019-06-09,127.91000366210938
2019-06-10,133.4499969482422
2019-06-11,133.91000366210938
2019-06-12,129.24000549316406
2019-06-13,131.25
2019-06-14,129.8699951171875
2019-06-15,129.8699951171875
2019-06-16,129.8699951171875
2019-06-17,130.11000061035156
2019-06-18,132.88999938964844
2019-06-19,130.47999572753906
2019-06-20,134.88999938964844
2019-06-21,134.0500030517578
2019-06-22,134.0500030517578
2019-06-23,134.0500030517578
2019-06-24,134.0
2019-06-25,130.5399932861328
2019-06-26,126.37999725341797
2019-06-27,129.00999450683594
2019-06-28,131.14999389648438
2019-06-29,131.14999389648438
2019-06-30,131.14999389648438
2019-07-01,133.1999969482422
2019-07-02,131.8800048828125
2019-07-03,134.49000549316406
2019-07-04,134.49000549316406
2019-07-05,132.7100067138672
2019-07-06,132.7100067138672
2019-07-07,132.7100067138672
2019-07-08,134.4499969482422
2019-07-09,137.0800018310547
2019-07-10,141.13999938964844
2019-07-11,141.55999755859375
2019-07-12,140.58999633789062
2019-07-13,140.58999633789062
2019-07-14,140.58999633789062
2019-07-15,139.4600067138672
2019-07-16,140.0
2019-07-17,137.8699951171875
2019-07-18,136.14999389648438
2019-07-19,137.0
2019-07-20,137.0
2019-07-21,137.0
2019-07-22,134.3000030517578
2019-07-23,136.72000122070312
2019-07-24,134.05999755859375
2019-07-25,134.82000732421875
2019-07-26,136.75
2019-07-27,136.75
2019-07-28,136.75
2019-07-29,144.0
2019-07-30,137.91000366210938
2019-07-31,136.80999755859375
2019-08-01,140.0
2019-08-02,142.97999572753906
2019-08-03,142.97999572753906
2019-08-04,142.97999572753906
2019-08-05,135.41000366210938
2019-08-06,135.0
2019-08-07,133.02999877929688
2019-08-08,142.6999969482422
2019-08-09,144.47999572753906
2019-08-10,144.47999572753906
2019-08-11,144.47999572753906
2019-08-12,144.55999755859375
2019-08-13,142.75999450683594
2019-08-14,143.2899932861328
2019-08-15,139.44000244140625
2019-08-16,140.99000549316406
2019-08-17,140.99000549316406
2019-08-18,140.99000549316406
2019-08-19,143.0
2019-08-20,140.6999969482422
2019-08-21,142.1999969482422
2019-08-22,143.50999450683594
2019-08-23,141.80999755859375
2019-08-24,141.80999755859375
2019-08-25,141.80999755859375
2019-08-26,141.7899932861328
2019-08-27,144.32000732421875
2019-08-28,141.75
2019-08-29,140.0
2019-08-30,138.42999267578125
2019-08-31,138.42999267578125
2019-09-01,138.42999267578125
2019-09-02,138.42999267578125
2019-09-03,132.9199981689453
2019-09-04,133.36000061035156
2019-09-05,130.77000427246094
2019-09-06,134.64999389648438
2019-09-07,134.64999389648438
2019-09-08,134.64999389648438
2019-09-09,132.30999755859375
2019-09-10,124.0
2019-09-11,121.93000030517578
2019-09-12,123.91000366210938
2019-09-13,125.58000183105469
2019-09-14,125.58000183105469
2019-09-15,125.58000183105469
2019-09-16,125.80999755859375
2019-09-17,130.5
2019-09-18,132.8699951171875
2019-09-19,134.7100067138672
2019-09-20,136.0800018310547
2019-09-21,136.0800018310547
2019-09-22,136.0800018310547
2019-09-23,136.6999969482422
2019-09-24,136.9600067138672
2019-09-25,130.0
2019-09-26,128.1300048828125
2019-09-27,128.25999450683594
2019-09-28,128.25999450683594
2019-09-29,128.25999450683594
2019-09-30,122.66000366210938
2019-10-01,125.27999877929688
2019-10-02,123.16000366210938
2019-10-03,123.12000274658203
2019-10-04,129.8300018310547
2019-10-05,129.8300018310547
2019-10-06,129.8300018310547
2019-10-07,131.00999450683594
2019-10-08,132.69000244140625
2019-10-09,126.12000274658203
2019-10-10,127.0
2019-10-11,127.62999725341797
2019-10-12,127.62999725341797
2019-10-13,127.62999725341797
2019-10-14,127.02999877929688
2019-10-15,128.0
2019-10-16,126.87999725341797
2019-10-17,125.5199966430664
2019-10-18,121.12000274658203
2019-10-19,121.12000274658203
2019-10-20,121.12000274658203
2019-10-21,117.05000305175781
2019-10-22,117.05000305175781
2019-10-23,109.0
2019-10-24,109.48999786376953
2019-10-25,113.16999816894531
2019-10-26,113.16999816894531
2019-10-27,113.16999816894531
2019-10-28,116.83000183105469
2019-10-29,117.8499984741211
2019-10-30,120.0
2019-10-31,124.83000183105469
2019-11-01,121.19000244140625
2019-11-02,121.19000244140625
2019-11-03,121.19000244140625
2019-11-04,123.0199966430664
2019-11-05,118.37000274658203
2019-11-06,114.66999816894531
2019-11-07,115.37000274658203
2019-11-08,114.81999969482422
2019-11-09,114.81999969482422
2019-11-10,114.81999969482422
2019-11-11,119.18000030517578
2019-11-12,119.5
2019-11-13,120.51000213623047
2019-11-14,121.47000122070312
2019-11-15,121.38999938964844
2019-11-16,121.38999938964844
2019-11-17,121.38999938964844
2019-11-18,122.0
2019-11-19,124.02999877929688
2019-11-20,125.87999725341797
2019-11-21,127.11000061035156
2019-11-22,125.9000015258789
2019-11-23,125.9000015258789
2019-11-24,125.9000015258789
2019-11-25,125.58999633789062
2019-11-26,125.94999694824219
2019-11-27,129.57000732421875
2019-11-28,129.57000732421875
2019-11-29,126.18000030517578
2019-11-30,126.18000030517578
2019-12-01,126.18000030517578
2019-12-02,126.75
2019-12-03,117.80000305175781
2019-12-04,123.5199966430664
2019-12-05,124.0
2019-12-06,123.23999786376953
2019-12-07,123.23999786376953
2019-12-08,123.23999786376953
2019-12-09,122.88999938964844
2019-12-10,122.69999694824219
2019-12-11,120.3499984741211
2019-12-12,118.11000061035156
2019-12-13,116.37999725341797
2019-12-14,116.37999725341797
2019-12-15,116.37999725341797
2019-12-16,120.0
2019-12-17,122.27999877929688
2019-12-18,119.61000061035156
2019-12-19,118.66000366210938
2019-12-20,120.94000244140625
2019-12-21,120.94000244140625
2019-12-22,120.94000244140625
2019-12-23,121.31999969482422
2019-12-24,121.33999633789062
2019-12-25,121.33999633789062
2019-12-26,120.19999694824219
2019-12-27,122.41000366210938
2019-12-28,122.41000366210938
2019-12-29,122.41000366210938
2019-12-30,121.12000274658203
2019-12-31,118.75
2020-01-01,118.75
2020-01-02,121.1500015258789
2020-01-03,121.0199966430664
2020-01-04,121.0199966430664
2020-01-05,121.0199966430664
2020-01-06,122.55999755859375
2020-01-07,128.22999572753906
2020-01-08,128.32000732421875
2020-01-09,131.82000732421875
2020-01-10,135.6699981689453
2020-01-11,135.6699981689453
2020-01-12,135.6699981689453
2020-01-13,138.58999633789062
2020-01-14,135.4600067138672
2020-01-15,134.30999755859375
2020-01-16,135.72000122070312
2020-01-17,135.11000061035156
2020-01-18,135.11000061035156
2020-01-19,135.11000061035156
2020-01-20,135.11000061035156
2020-01-21,132.1999969482422
2020-01-22,132.60000610351562
2020-01-23,131.55999755859375
2020-01-24,145.0
2020-01-25,145.0
2020-01-26,145.0
2020-01-27,143.5
2020-01-28,145.02000427246094
2020-01-29,149.16000366210938
2020-01-30,146.94000244140625
2020-01-31,149.52000427246094
2020-02-01,149.52000427246094
2020-02-02,149.52000427246094
2020-02-03,146.89999389648438
2020-02-04,149.7100067138672
2020-02-05,153.00999450683594
2020-02-06,146.5800018310547
2020-02-07,148.08999633789062
2020-02-08,148.08999633789062
