,price
2019-02-19,93.08000183105469
2019-02-20,93.4800033569336
2019-02-21,88.76000213623047
2019-02-22,88.0
2019-02-23,88.0
2019-02-24,88.0
2019-02-25,87.5199966430664
2019-02-26,87.30000305175781
2019-02-27,87.12000274658203
2019-02-28,84.70999908447266
2019-03-01,87.70999908447266
2019-03-02,87.70999908447266
2019-03-03,87.70999908447266
2019-03-04,88.80000305175781
2019-03-05,87.72000122070312
2019-03-06,87.33000183105469
2019-03-07,86.94999694824219
2019-03-08,87.36000061035156
2019-03-09,87.36000061035156
2019-03-10,87.36000061035156
2019-03-11,87.55999755859375
2019-03-12,89.87999725341797
2019-03-13,90.16999816894531
2019-03-14,93.5999984741211
2019-03-15,92.31999969482422
2019-03-16,92.31999969482422
2019-03-17,92.31999969482422
2019-03-18,93.83000183105469
2019-03-19,94.63999938964844
2019-03-20,96.44999694824219
2019-03-21,95.6500015258789
2019-03-22,98.88999938964844
2019-03-23,98.88999938964844
2019-03-24,98.88999938964844
2019-03-25,95.87000274658203
2019-03-26,96.8499984741211
2019-03-27,96.41999816894531
2019-03-28,94.66000366210938
2019-03-29,96.94999694824219
2019-03-30,96.94999694824219
2019-03-31,96.94999694824219
2019-04-01,95.38999938964844
2019-04-02,96.08999633789062
2019-04-03,98.05000305175781
2019-04-04,97.56999969482422
2019-04-05,94.3499984741211
2019-04-06,94.3499984741211
2019-04-07,94.3499984741211
2019-04-08,94.4800033569336
2019-04-09,93.80000305175781
2019-04-10,93.37999725341797
2019-04-11,95.6500015258789
2019-04-12,95.77999877929688
2019-04-13,95.77999877929688
2019-04-14,95.77999877929688
2019-04-15,94.56999969482422
2019-04-16,93.0
2019-04-17,90.94000244140625
2019-04-18,90.44000244140625
2019-04-19,90.44000244140625
2019-04-20,90.44000244140625
2019-04-21,90.44000244140625
2019-04-22,90.75
2019-04-23,92.25
2019-04-24,93.44000244140625
2019-04-25,93.44000244140625
2019-04-26,93.41000366210938
2019-04-27,93.41000366210938
2019-04-28,93.41000366210938
2019-04-29,96.94999694824219
2019-04-30,97.12000274658203
2019-05-01,98.94000244140625
2019-05-02,99.11000061035156
2019-05-03,100.0
2019-05-04,100.0
2019-05-05,100.0
2019-05-06,99.44999694824219
2019-05-07,100.70999908447266
2019-05-08,102.0999984741211
