,price
2019-02-19,93.21736962818403
2019-02-20,93.7482464232428
2019-02-21,93.09554883558984
2019-02-22,93.90492699771195
2019-02-23,93.90492699771195
2019-02-24,93.90492699771195
2019-02-25,94.8622326291828
2019-02-26,94.1224929786258
2019-02-27,92.616879265119
2019-02-28,91.53772216932697
2019-03-01,92.99979374001053
2019-03-02,92.99979374001053
2019-03-03,92.99979374001053
2019-03-04,93.52198032963305
2019-03-05,93.70474529732115
2019-03-06,92.77354677478091
2019-03-07,91.25052666686021
2019-03-08,90.24097183635504
2019-03-09,90.24097183635504
2019-03-10,90.24097183635504
2019-03-11,91.52033692529918
2019-03-12,92.991102398068
2019-03-13,93.26091164247063
2019-03-14,93.34793735564841
2019-03-15,93.99195517052014
2019-03-16,93.99195517052014
2019-03-17,93.99195517052014
2019-03-18,95.77605258528656
2019-03-19,96.2373014493689
2019-03-20,95.85439049063814
2019-03-21,95.7412286619722
2019-03-22,97.22946801268881
2019-03-23,97.22946801268881
2019-03-24,97.22946801268881
2019-03-25,94.10509084127476
2019-03-26,94.23562684178685
2019-03-27,94.3313645609322
2019-03-28,92.24264107254233
2019-03-29,92.29486812446642
2019-03-30,92.29486812446642
2019-03-31,92.29486812446642
2019-04-01,93.98324892376631
2019-04-02,94.8361413496997
2019-04-03,97.3686795913255
2019-04-04,97.80383697115289
2019-04-05,99.04836188204895
2019-04-06,99.04836188204895
2019-04-07,99.04836188204895
2019-04-08,99.0396712825008
2019-04-09,99.6923952980195
2019-04-10,99.10928063378016
2019-04-11,100.13622961572806
2019-04-12,100.76285268789987
2019-04-13,100.76285268789987
2019-04-14,100.76285268789987
2019-04-15,101.48519156237509
2019-04-16,100.81505147971826
2019-04-17,101.79851662307111
2019-04-18,101.11098212063315
2019-04-19,101.11098212063315
2019-04-20,101.11098212063315
2019-04-21,101.11098212063315
2019-04-22,99.67496659217947
2019-04-23,100.43213278798287
2019-04-24,100.08401513973878
2019-04-25,102.55566900506919
2019-04-26,100.95431287313393
2019-04-27,100.95431287313393
2019-04-28,100.95431287313393
2019-04-29,101.58964442300092
2019-04-30,101.72016633563207
2019-05-01,102.7471161429404
2019-05-02,101.30244119484597
2019-05-03,102.89949427324606
2019-05-04,102.89949427324606
2019-05-05,102.89949427324606
2019-05-06,99.97351292191416
2019-05-07,99.86839793362809
2019-05-08,98.83468263153138
2019-05-09,97.13516126259611
2019-05-10,97.9936781935813
2019-05-11,97.9936781935813
2019-05-12,97.9936781935813
2019-05-13,95.63713405227199
2019-05-14,94.79613314575246
2019-05-15,94.61217212506065
2019-05-16,95.4268980329692
2019-05-17,94.76986300897394
2019-05-18,94.76986300897394
2019-05-19,94.76986300897394
2019-05-20,90.3108411129413
2019-05-21,93.64852723788152
2019-05-22,93.37697699486414
2019-05-23,92.66736940429101
2019-05-24,93.32439901590108
2019-05-25,93.32439901590108
2019-05-26,93.32439901590108
2019-05-27,93.32439901590108
2019-05-28,92.7637386034374
2019-05-29,89.93412243723373
2019-05-30,91.52852574997219
2019-05-31,91.38835515375935
2019-06-01,91.38835515375935
2019-06-02,91.38835515375935
2019-06-03,92.01909011187482
2019-06-04,93.87629560217006
2019-06-05,96.36424378576845
2019-06-06,95.93498655377883
2019-06-07,97.36294109965006
2019-06-08,97.36294109965006
2019-06-09,97.36294109965006
2019-06-10,97.90607882148333
2019-06-11,100.1399610242231
2019-06-12,98.53683061162417
2019-06-13,97.03002989733325
2019-06-14,93.59596645229813
