,price
2019-02-19,120.92281288855457
2019-02-20,117.99946169879655
2019-02-21,119.0255252387312
2019-02-22,120.96153702593374
2019-02-23,120.96153702593374
2019-02-24,120.96153702593374
2019-02-25,121.65851367414442
2019-02-26,121.14546807981273
2019-02-27,120.95185172221014
2019-02-28,121.5036207665817
2019-03-01,122.70395115595193
2019-03-02,122.70395115595193
2019-03-03,122.70395115595193
2019-03-04,123.22667163492022
2019-03-05,121.97794532803218
2019-03-06,122.31675163624142
2019-03-07,122.55875537516557
2019-03-08,121.9198658997445
2019-03-09,121.9198658997445
2019-03-10,121.9198658997445
2019-03-11,121.87146428089336
2019-03-12,123.41056370118457
2019-03-13,124.64964308809024
2019-03-14,124.34898541256163
2019-03-15,124.28108721967406
2019-03-16,124.28108721967406
2019-03-17,124.28108721967406
2019-03-18,124.29079071794982
2019-03-19,124.94064568169048
2019-03-20,124.99881826346001
2019-03-21,124.29079426834372
2019-03-22,125.40615561759381
2019-03-23,125.40615561759381
2019-03-24,125.40615561759381
2019-03-25,125.28007693811637
2019-03-26,126.43424786775422
2019-03-27,127.75324430353685
2019-03-28,128.04428283654886
2019-03-29,128.99473571777344
2019-03-30,128.99473571777344
2019-03-31,128.99473571777344
2019-04-01,129.64453086287918
2019-04-02,130.1780209616667
2019-04-03,131.35154390622066
2019-04-04,132.21472306092852
2019-04-05,131.75890665640298
2019-04-06,131.75890665640298
2019-04-07,131.75890665640298
2019-04-08,130.8181122402329
2019-04-09,130.88599724449918
2019-04-10,131.1382119801847
2019-04-11,130.89572236175303
2019-04-12,132.18565048570198
2019-04-13,132.18565048570198
2019-04-14,132.18565048570198
2019-04-15,132.77726673209244
2019-04-16,134.4648961340497
2019-04-17,133.06825064758848
2019-04-18,133.20408391700204
2019-04-19,133.20408391700204
2019-04-20,133.20408391700204
2019-04-21,133.20408391700204
2019-04-22,133.4562214761586
2019-04-23,133.8150846756764
2019-04-24,135.26991585285592
2019-04-25,134.9013659385755
2019-04-26,134.94985522681293
2019-04-27,134.94985522681293
2019-04-28,134.94985522681293
2019-04-29,135.9197070440983
2019-04-30,136.3755494645838
2019-05-01,136.32705631191038
2019-05-02,135.34745634036886
2019-05-03,136.59863964877545
2019-05-04,136.59863964877545
2019-05-05,136.59863964877545
2019-05-06,136.95751077119144
2019-05-07,137.91767705693093
2019-05-08,136.26886614255287
2019-05-09,135.24079914383748
2019-05-10,135.7839208712218
2019-05-11,135.7839208712218
2019-05-12,135.7839208712218
2019-05-13,134.49400348995593
2019-05-14,134.43576476461638
2019-05-15,134.35820912960344
2019-05-16,136.71502853724212
2019-05-17,137.03509611353525
2019-05-18,137.03509611353525
2019-05-19,137.03509611353525
2019-05-20,136.3949632244111
2019-05-21,137.84982296660604
2019-05-22,138.84876279250932
2019-05-23,138.2765627991972
2019-05-24,138.75174627896013
2019-05-25,138.75174627896013
2019-05-26,138.75174627896013
2019-05-27,138.75174627896013
2019-05-28,138.3929396793182
2019-05-29,136.65680647365733
2019-05-30,136.1718880041279
2019-05-31,135.06618477497582
2019-06-01,135.06618477497582
2019-06-02,135.06618477497582
2019-06-03,136.2204102875115
2019-06-04,137.0350417486534
2019-06-05,137.94677810594573
2019-06-06,140.1484020493626
2019-06-07,140.63336475308307
2019-06-08,140.63336475308307
2019-06-09,140.63336475308307
2019-06-10,142.7574071155107
2019-06-11,143.12593512997188
2019-06-12,141.36076653018046
2019-06-13,141.81708276453907
2019-06-14,141.33128716819706
2019-06-15,141.33128716819706
2019-06-16,141.33128716819706
2019-06-17,141.93358710672825
2019-06-18,141.9433493818749
2019-06-19,140.3305864071118
2019-06-20,142.68171876133405
2019-06-21,141.97249730855995
2019-06-22,141.97249730855995
2019-06-23,141.97249730855995
2019-06-24,141.03977211267704
2019-06-25,141.80729288051236
2019-06-26,140.23344314863064
2019-06-27,139.0869786838343
2019-06-28,140.72891123317518
2019-06-29,140.72891123317518
2019-06-30,140.72891123317518
2019-07-01,143.32293856798566
2019-07-02,143.96413385816558
2019-07-03,144.47908791173734
2019-07-04,144.47908791173734
2019-07-05,145.56721521874817
2019-07-06,145.56721521874817
2019-07-07,145.56721521874817
2019-07-08,144.58595588517278
2019-07-09,144.29447930239215
2019-07-10,145.60607964684658
2019-07-11,145.9849708630842
2019-07-12,147.3354436195005
2019-07-13,147.3354436195005
2019-07-14,147.3354436195005
2019-07-15,147.96694590337574
2019-07-16,147.91836583269986
2019-07-17,147.8892194362054
2019-07-18,146.91763846992848
2019-07-19,149.44369017234413
2019-07-20,149.44369017234413
2019-07-21,149.44369017234413
2019-07-22,147.43260118313154
2019-07-23,146.95651175770058
2019-07-24,146.54848474720112
2019-07-25,147.4132013994645
2019-07-26,146.31529674582652
2019-07-27,146.31529674582652
2019-07-28,146.31529674582652
2019-07-29,148.3458597324291
2019-07-30,147.61716368306574
2019-07-31,147.71433041075886
2019-08-01,146.22788325260515
2019-08-02,147.97669022593203
2019-08-03,147.97669022593203
2019-08-04,147.97669022593203
2019-08-05,147.60748868521003
2019-08-06,145.88782824590746
2019-08-07,146.44161400259188
2019-08-08,150.09464161402772
2019-08-09,151.61996213279218
2019-08-10,151.61996213279218
2019-08-11,151.61996213279218
2019-08-12,151.83372633109127
2019-08-13,151.07592930890272
2019-08-14,150.4638384148088
2019-08-15,149.3465664735209
2019-08-16,151.66855939417962
2019-08-17,151.66855939417962
2019-08-18,151.66855939417962
2019-08-19,153.5047715408582
2019-08-20,153.66994625570803
2019-08-21,154.6123549918189
2019-08-22,154.82608711480822
2019-08-23,153.09669871943456
2019-08-24,153.09669871943456
2019-08-25,153.09669871943456
2019-08-26,151.3188157711647
2019-08-27,153.85453047806985
2019-08-28,153.81564708251992
2019-08-29,155.88510589748276
2019-08-30,157.24523871519918
2019-08-31,157.24523871519918
2019-09-01,157.24523871519918
2019-09-02,157.24523871519918
2019-09-03,157.2549631248021
2019-09-04,157.78927230732944
2019-09-05,159.39235571939693
2019-09-06,159.30489174463204
2019-09-07,159.30489174463204
2019-09-08,159.30489174463204
2019-09-09,159.65468440137985
2019-09-10,154.6414568214421
2019-09-11,150.60953985028397
2019-09-12,152.89628808074173
2019-09-13,152.90596556596788
2019-09-14,152.90596556596788
2019-09-15,152.90596556596788
2019-09-16,150.71643538825742
2019-09-17,153.3243915439458
2019-09-18,153.87910621545836
2019-09-19,154.65758977007178
2019-09-20,153.98614660458887
2019-09-21,153.98614660458887
2019-09-22,153.98614660458887
2019-09-23,154.5115940518981
2019-09-24,153.79151629704816
2019-09-25,153.7136552530507
2019-09-26,153.810988640898
2019-09-27,155.59177254329032
2019-09-28,155.59177254329032
2019-09-29,155.59177254329032
2019-09-30,151.40738650025366
2019-10-01,154.07374418303772
2019-10-02,151.07651397428606
2019-10-03,149.5097926311737
2019-10-04,150.570503685792
2019-10-05,150.570503685792
2019-10-06,150.570503685792
2019-10-07,153.31468997425415
2019-10-08,152.22480034496814
2019-10-09,151.75771177668753
2019-10-10,152.5945717946886
2019-10-11,154.60892741850074
2019-10-12,154.60892741850074
2019-10-13,154.60892741850074
2019-10-14,153.20765353971737
2019-10-15,151.91339339073576
2019-10-16,151.01812279085684
2019-10-17,151.62145333451323
2019-10-18,151.3100570190552
2019-10-19,151.3100570190552
2019-10-20,151.3100570190552
2019-10-21,150.7261855718318
2019-10-22,153.5579403638245
2019-10-23,146.4250085539516
2019-10-24,145.34488039034946
2019-10-25,146.11363301744188
2019-10-26,146.11363301744188
2019-10-27,146.11363301744188
2019-10-28,144.93615594277307
2019-10-29,143.79760915478988
2019-10-30,142.24058681214112
2019-10-31,143.3986005773458
2019-11-01,140.8976627527321
2019-11-02,140.8976627527321
2019-11-03,140.8976627527321
2019-11-04,141.5886049475671
2019-11-05,136.4991904753608
2019-11-06,135.56505985272668
2019-11-07,136.8787213058687
2019-11-08,135.3314773325742
2019-11-09,135.3314773325742
2019-11-10,135.3314773325742
2019-11-11,132.06180024518002
2019-11-12,133.68693278783445
2019-11-13,134.37782850494477
2019-11-14,135.84723363935095
2019-11-15,138.0075446236568
2019-11-16,138.0075446236568
2019-11-17,138.0075446236568
2019-11-18,137.73508611785073
2019-11-19,138.9417284136023
2019-11-20,139.58397801245488
2019-11-21,140.82960997872527
2019-11-22,141.25776109023
2019-11-23,141.25776109023
2019-11-24,141.25776109023
2019-11-25,142.1530246254167
2019-11-26,141.66648640998017
2019-11-27,144.0019642211169
2019-11-28,144.0019642211169
2019-11-29,144.41064727808333
2019-11-30,144.41064727808333
2019-12-01,144.41064727808333
2019-12-02,143.5932380819986
2019-12-03,141.37455538309578
2019-12-04,141.569148110224
2019-12-05,141.43293770107678
2019-12-06,142.60065182897802
2019-12-07,142.60065182897802
2019-12-08,142.60065182897802
2019-12-09,143.1261609396816
