,price
2019-02-19,187.89999389648438
2019-02-20,186.05999755859375
2019-02-21,187.6999969482422
2019-02-22,184.3300018310547
2019-02-23,184.3300018310547
2019-02-24,184.3300018310547
2019-02-25,186.74000549316406
2019-02-26,186.25999450683594
2019-02-27,187.97000122070312
2019-02-28,189.74000549316406
2019-03-01,189.9499969482422
2019-03-02,189.9499969482422
2019-03-03,189.9499969482422
2019-03-04,193.02999877929688
2019-03-05,190.16000366210938
2019-03-06,188.17999267578125
2019-03-07,181.36000061035156
2019-03-08,177.25999450683594
2019-03-09,177.25999450683594
2019-03-10,177.25999450683594
2019-03-11,177.94000244140625
2019-03-12,181.14999389648438
2019-03-13,183.3699951171875
2019-03-14,185.6199951171875
2019-03-15,186.8800048828125
2019-03-16,186.8800048828125
2019-03-17,186.8800048828125
2019-03-18,188.0
2019-03-19,184.63999938964844
2019-03-20,181.52999877929688
2019-03-21,178.22000122070312
2019-03-22,182.07000732421875
2019-03-23,182.07000732421875
2019-03-24,182.07000732421875
2019-03-25,181.6699981689453
2019-03-26,185.24000549316406
2019-03-27,190.0
2019-03-28,186.00999450683594
2019-03-29,184.2899932861328
2019-03-30,184.2899932861328
2019-03-31,184.2899932861328
2019-04-01,185.1999969482422
2019-04-02,185.9600067138672
2019-04-03,187.89999389648438
2019-04-04,188.22000122070312
2019-04-05,184.49000549316406
2019-04-06,184.49000549316406
2019-04-07,184.49000549316406
2019-04-08,189.27000427246094
2019-04-09,188.00999450683594
2019-04-10,188.32000732421875
2019-04-11,191.0800018310547
2019-04-12,185.4199981689453
2019-04-13,185.4199981689453
2019-04-14,185.4199981689453
2019-04-15,182.27000427246094
2019-04-16,183.6300048828125
2019-04-17,180.4499969482422
2019-04-18,169.9600067138672
2019-04-19,169.9600067138672
2019-04-20,169.9600067138672
2019-04-21,169.9600067138672
2019-04-22,167.7899932861328
2019-04-23,169.22000122070312
2019-04-24,175.5800018310547
2019-04-25,172.39999389648438
2019-04-26,173.97999572753906
2019-04-27,173.97999572753906
2019-04-28,173.97999572753906
2019-04-29,172.5800018310547
2019-04-30,173.92999267578125
2019-05-01,168.75999450683594
2019-05-02,172.10000610351562
2019-05-03,170.0500030517578
2019-05-04,170.0500030517578
2019-05-05,170.0500030517578
2019-05-06,170.3000030517578
2019-05-07,172.3300018310547
2019-05-08,170.05999755859375
2019-05-09,167.39999389648438
2019-05-10,169.36000061035156
2019-05-11,169.36000061035156
2019-05-12,169.36000061035156
2019-05-13,165.6999969482422
2019-05-14,165.60000610351562
2019-05-15,165.41000366210938
2019-05-16,167.6300048828125
2019-05-17,168.89999389648438
2019-05-18,168.89999389648438
2019-05-19,168.89999389648438
2019-05-20,167.77000427246094
2019-05-21,167.88999938964844
2019-05-22,168.47000122070312
2019-05-23,171.61000061035156
2019-05-24,174.30999755859375
2019-05-25,174.30999755859375
2019-05-26,174.30999755859375
2019-05-27,174.30999755859375
2019-05-28,172.24000549316406
2019-05-29,171.14999389648438
2019-05-30,167.25999450683594
2019-05-31,168.49000549316406
2019-06-01,168.49000549316406
2019-06-02,168.49000549316406
2019-06-03,166.8699951171875
2019-06-04,168.16000366210938
2019-06-05,171.89999389648438
2019-06-06,173.22000122070312
2019-06-07,169.42999267578125
2019-06-08,169.42999267578125
2019-06-09,169.42999267578125
2019-06-10,173.2899932861328
2019-06-11,174.0800018310547
2019-06-12,172.60000610351562
2019-06-13,171.1699981689453
2019-06-14,168.89999389648438
2019-06-15,168.89999389648438
2019-06-16,168.89999389648438
2019-06-17,171.1699981689453
2019-06-18,175.97000122070312
2019-06-19,178.52000427246094
2019-06-20,183.52000427246094
2019-06-21,183.33999633789062
