,price
2019-02-19,190.19000244140625
2019-02-20,192.49000549316406
2019-02-21,188.4199981689453
2019-02-22,190.44000244140625
2019-02-23,190.44000244140625
2019-02-24,190.44000244140625
2019-02-25,196.13999938964844
2019-02-26,195.38999938964844
2019-02-27,196.00999450683594
2019-02-28,197.50999450683594
2019-03-01,199.85000610351562
2019-03-02,199.85000610351562
2019-03-03,199.85000610351562
2019-03-04,189.35000610351562
2019-03-05,180.3300018310547
2019-03-06,182.85000610351562
2019-03-07,181.25999450683594
2019-03-08,178.4199981689453
2019-03-09,178.4199981689453
2019-03-10,178.4199981689453
2019-03-11,182.24000549316406
2019-03-12,186.5399932861328
2019-03-13,188.5
2019-03-14,185.9600067138672
2019-03-15,185.27000427246094
2019-03-16,185.27000427246094
2019-03-17,185.27000427246094
2019-03-18,186.36000061035156
2019-03-19,188.61000061035156
2019-03-20,192.0
2019-03-21,191.61000061035156
2019-03-22,196.25
2019-03-23,196.25
2019-03-24,196.25
2019-03-25,190.6199951171875
2019-03-26,192.19000244140625
2019-03-27,192.0
2019-03-28,190.07000732421875
2019-03-29,191.88999938964844
2019-03-30,191.88999938964844
2019-03-31,191.88999938964844
2019-04-01,193.50999450683594
2019-04-02,192.94000244140625
2019-04-03,194.50999450683594
2019-04-04,193.10000610351562
2019-04-05,186.63999938964844
2019-04-06,186.63999938964844
2019-04-07,186.63999938964844
2019-04-08,185.88999938964844
2019-04-09,185.5500030517578
2019-04-10,191.91000366210938
2019-04-11,195.02999877929688
2019-04-12,196.5
2019-04-13,196.5
2019-04-14,196.5
2019-04-15,195.02000427246094
2019-04-16,192.3800048828125
2019-04-17,195.69000244140625
2019-04-18,191.00999450683594
2019-04-19,191.00999450683594
2019-04-20,191.00999450683594
2019-04-21,191.00999450683594
2019-04-22,187.7100067138672
2019-04-23,190.82000732421875
2019-04-24,195.7899932861328
2019-04-25,197.00999450683594
2019-04-26,199.9499969482422
2019-04-27,199.9499969482422
2019-04-28,199.9499969482422
2019-04-29,205.0
2019-04-30,204.47999572753906
2019-05-01,206.5
2019-05-02,200.1699981689453
2019-05-03,200.77999877929688
2019-05-04,200.77999877929688
2019-05-05,200.77999877929688
2019-05-06,196.69000244140625
2019-05-07,200.66000366210938
2019-05-08,198.0
2019-05-09,194.5500030517578
2019-05-10,198.77999877929688
2019-05-11,198.77999877929688
2019-05-12,198.77999877929688
2019-05-13,198.49000549316406
2019-05-14,196.25
2019-05-15,200.02999877929688
2019-05-16,205.0
2019-05-17,210.52999877929688
2019-05-18,210.52999877929688
2019-05-19,210.52999877929688
2019-05-20,208.13999938964844
2019-05-21,205.80999755859375
2019-05-22,205.1300048828125
2019-05-23,209.17999267578125
2019-05-24,207.02000427246094
2019-05-25,207.02000427246094
2019-05-26,207.02000427246094
2019-05-27,207.02000427246094
2019-05-28,212.5
2019-05-29,209.85000610351562
2019-05-30,203.3300018310547
2019-05-31,203.89999389648438
2019-06-01,203.89999389648438
2019-06-02,203.89999389648438
2019-06-03,203.85000610351562
2019-06-04,193.52000427246094
2019-06-05,198.97999572753906
2019-06-06,199.1300048828125
2019-06-07,204.85000610351562
2019-06-08,204.85000610351562
2019-06-09,204.85000610351562
2019-06-10,213.67999267578125
2019-06-11,216.02000427246094
2019-06-12,205.1699981689453
2019-06-13,207.80999755859375
2019-06-14,207.99000549316406
2019-06-15,207.99000549316406
2019-06-16,207.99000549316406
2019-06-17,209.0
2019-06-18,212.0
2019-06-19,213.5
2019-06-20,219.3300018310547
2019-06-21,218.27000427246094
2019-06-22,218.27000427246094
2019-06-23,218.27000427246094
2019-06-24,217.5
2019-06-25,209.66000366210938
2019-06-26,207.38999938964844
2019-06-27,205.0800018310547
2019-06-28,206.8699951171875
2019-06-29,206.8699951171875
2019-06-30,206.8699951171875
2019-07-01,210.35000610351562
2019-07-02,213.39999389648438
2019-07-03,214.9600067138672
2019-07-04,214.9600067138672
2019-07-05,214.2100067138672
2019-07-06,214.2100067138672
2019-07-07,214.2100067138672
2019-07-08,213.88999938964844
2019-07-09,214.0
2019-07-10,219.32000732421875
2019-07-11,219.5
2019-07-12,223.75999450683594
2019-07-13,223.75999450683594
2019-07-14,223.75999450683594
2019-07-15,221.66000366210938
2019-07-16,216.25
2019-07-17,213.97000122070312
2019-07-18,217.17999267578125
2019-07-19,220.0
2019-07-20,220.0
2019-07-21,220.0
2019-07-22,214.9499969482422
2019-07-23,216.47000122070312
2019-07-24,212.0800018310547
2019-07-25,213.0399932861328
2019-07-26,216.27000427246094
2019-07-27,216.27000427246094
2019-07-28,216.27000427246094
2019-07-29,216.5800018310547
2019-07-30,210.5
2019-07-31,206.4499969482422
2019-08-01,201.0
2019-08-02,202.41000366210938
2019-08-03,202.41000366210938
2019-08-04,202.41000366210938
2019-08-05,190.6999969482422
2019-08-06,189.55999755859375
2019-08-07,185.0
2019-08-08,188.22000122070312
2019-08-09,191.66000366210938
2019-08-10,191.66000366210938
2019-08-11,191.66000366210938
2019-08-12,190.00999450683594
2019-08-13,192.5500030517578
2019-08-14,188.1699981689453
2019-08-15,185.27999877929688
2019-08-16,187.8800048828125
2019-08-17,187.8800048828125
2019-08-18,187.8800048828125
2019-08-19,194.5399932861328
2019-08-20,187.32000732421875
2019-08-21,188.17999267578125
2019-08-22,191.6999969482422
2019-08-23,196.5500030517578
2019-08-24,196.5500030517578
2019-08-25,196.5500030517578
2019-08-26,193.5
2019-08-27,194.25
2019-08-28,186.66000366210938
2019-08-29,187.36000061035156
2019-08-30,184.0
2019-08-31,184.0
2019-09-01,184.0
2019-09-02,184.0
2019-09-03,174.4600067138672
2019-09-04,176.4199981689453
2019-09-05,176.0
2019-09-06,176.0800018310547
2019-09-07,176.0800018310547
2019-09-08,176.0800018310547
2019-09-09,172.8699951171875
2019-09-10,168.5
2019-09-11,173.8800048828125
2019-09-12,173.80999755859375
2019-09-13,170.22000122070312
2019-09-14,170.22000122070312
2019-09-15,170.22000122070312
2019-09-16,166.24000549316406
2019-09-17,173.00999450683594
2019-09-18,173.92999267578125
2019-09-19,175.5
2019-09-20,172.94000244140625
2019-09-21,172.94000244140625
2019-09-22,172.94000244140625
2019-09-23,174.92999267578125
2019-09-24,175.00999450683594
2019-09-25,167.52000427246094
2019-09-26,170.0
2019-09-27,174.7899932861328
2019-09-28,174.7899932861328
2019-09-29,174.7899932861328
2019-09-30,169.0
2019-10-01,170.07000732421875
2019-10-02,166.9199981689453
2019-10-03,165.99000549316406
2019-10-04,173.14999389648438
2019-10-05,173.14999389648438
2019-10-06,173.14999389648438
2019-10-07,171.4600067138672
2019-10-08,176.39999389648438
2019-10-09,171.8800048828125
2019-10-10,171.8699951171875
2019-10-11,180.16000366210938
2019-10-12,180.16000366210938
2019-10-13,180.16000366210938
2019-10-14,179.10000610351562
2019-10-15,180.4499969482422
2019-10-16,168.0
2019-10-17,159.10000610351562
2019-10-18,157.94000244140625
2019-10-19,157.94000244140625
2019-10-20,157.94000244140625
2019-10-21,154.88999938964844
2019-10-22,157.83999633789062
2019-10-23,152.52999877929688
2019-10-24,154.99000549316406
2019-10-25,157.77999877929688
2019-10-26,157.77999877929688
2019-10-27,157.77999877929688
2019-10-28,161.30999755859375
2019-10-29,159.77000427246094
2019-10-30,159.7100067138672
2019-10-31,163.67999267578125
2019-11-01,163.6300048828125
2019-11-02,163.6300048828125
2019-11-03,163.6300048828125
2019-11-04,166.88999938964844
2019-11-05,165.44000244140625
2019-11-06,160.6300048828125
2019-11-07,161.49000549316406
2019-11-08,159.47999572753906
2019-11-09,159.47999572753906
2019-11-10,159.47999572753906
2019-11-11,162.10000610351562
2019-11-12,163.92999267578125
2019-11-13,164.0
2019-11-14,165.83999633789062
2019-11-15,165.89999389648438
2019-11-16,165.89999389648438
2019-11-17,165.89999389648438
2019-11-18,162.5399932861328
2019-11-19,165.0
2019-11-20,167.6999969482422
2019-11-21,172.60000610351562
2019-11-22,172.3000030517578
2019-11-23,172.3000030517578
2019-11-24,172.3000030517578
2019-11-25,174.97999572753906
2019-11-26,176.4499969482422
2019-11-27,179.0
2019-11-28,179.0
2019-11-29,179.0
2019-11-30,179.0
2019-12-01,179.0
2019-12-02,178.55999755859375
2019-12-03,169.0
2019-12-04,164.55999755859375
2019-12-05,164.3800048828125
2019-12-06,162.05999755859375
2019-12-07,162.05999755859375
2019-12-08,162.05999755859375
2019-12-09,165.30999755859375
2019-12-10,164.60000610351562
2019-12-11,163.1300048828125
2019-12-12,164.4199981689453
2019-12-13,160.0
2019-12-14,160.0
2019-12-15,160.0
2019-12-16,160.39999389648438
2019-12-17,161.24000549316406
2019-12-18,160.07000732421875
2019-12-19,161.38999938964844
2019-12-20,162.25
2019-12-21,162.25
2019-12-22,162.25
2019-12-23,167.3300018310547
2019-12-24,164.8699951171875
2019-12-25,164.8699951171875
2019-12-26,166.6699981689453
2019-12-27,166.4199981689453
2019-12-28,166.4199981689453
2019-12-29,166.4199981689453
2019-12-30,165.5
2019-12-31,162.88999938964844
2020-01-01,162.88999938964844
2020-01-02,166.10000610351562
2020-01-03,165.0
2020-01-04,165.0
2020-01-05,165.0
2020-01-06,166.99000549316406
2020-01-07,169.50999450683594
2020-01-08,172.9600067138672
2020-01-09,179.25999450683594
2020-01-10,180.97999572753906
2020-01-11,180.97999572753906
2020-01-12,180.97999572753906
2020-01-13,180.9199981689453
2020-01-14,181.63999938964844
2020-01-15,180.72999572753906
2020-01-16,178.8699951171875
2020-01-17,183.0
2020-01-18,183.0
2020-01-19,183.0
2020-01-20,183.0
2020-01-21,180.3000030517578
2020-01-22,183.05999755859375
2020-01-23,183.0500030517578
2020-01-24,185.0
2020-01-25,185.0
2020-01-26,185.0
2020-01-27,182.0
2020-01-28,184.6199951171875
2020-01-29,187.5399932861328
2020-01-30,183.5
2020-01-31,187.8699951171875
2020-02-01,187.8699951171875
2020-02-02,187.8699951171875
2020-02-03,185.60000610351562
2020-02-04,190.0
2020-02-05,197.0
2020-02-06,187.08999633789062
2020-02-07,190.07000732421875
2020-02-08,190.07000732421875
2020-02-09,190.07000732421875
2020-02-10,191.9199981689453
2020-02-11,196.0
2020-02-12,194.25999450683594
2020-02-13,194.5
2020-02-14,196.8699951171875
2020-02-15,196.8699951171875
2020-02-16,196.8699951171875
2020-02-17,196.8699951171875
2020-02-18,196.8800048828125
2020-02-19,200.39999389648438
2020-02-20,196.0
2020-02-21,190.0
2020-02-22,190.0
2020-02-23,190.0
2020-02-24,175.0
2020-02-25,179.49000549316406
2020-02-26,177.1999969482422
2020-02-27,168.97999572753906
2020-02-28,170.4499969482422
2020-02-29,170.4499969482422
2020-03-01,170.4499969482422
2020-03-02,174.85000610351562
2020-03-03,172.49000549316406
2020-03-04,169.6999969482422
2020-03-05,166.63999938964844
2020-03-06,161.36000061035156
2020-03-07,161.36000061035156
2020-03-08,161.36000061035156
2020-03-09,148.75
2020-03-10,148.6199951171875
2020-03-11,145.67999267578125
2020-03-12,131.7899932861328
2020-03-13,137.1699981689453
2020-03-14,137.1699981689453
2020-03-15,137.1699981689453
2020-03-16,124.19999694824219
2020-03-17,121.33999633789062
2020-03-18,116.91000366210938
2020-03-19,114.0
2020-03-20,129.8300018310547
2020-03-21,129.8300018310547
2020-03-22,129.8300018310547
2020-03-23,125.66000366210938
2020-03-24,132.2100067138672
2020-03-25,134.83999633789062
2020-03-26,136.97999572753906
2020-03-27,140.3000030517578
2020-03-28,140.3000030517578
2020-03-29,140.3000030517578
2020-03-30,136.8000030517578
2020-03-31,136.0
2020-04-01,125.01000213623047
2020-04-02,124.36000061035156
2020-04-03,120.7300033569336
2020-04-04,120.7300033569336
2020-04-05,120.7300033569336
2020-04-06,121.16999816894531
2020-04-07,136.9600067138672
2020-04-08,134.0
2020-04-09,145.4499969482422
2020-04-10,145.4499969482422
2020-04-11,145.4499969482422
2020-04-12,145.4499969482422
2020-04-13,144.16000366210938
2020-04-14,149.7100067138672
2020-04-15,145.2100067138672
2020-04-16,145.7100067138672
2020-04-17,146.2100067138672
