,price
2018-08-06,49.8593
2018-08-07,49.5726
2018-08-08,49.4962
2018-08-09,50.0576
2018-08-10,49.8371
2018-08-13,50.1511
2018-08-14,50.1631
2018-08-15,50.1391
2018-08-16,51.1076
2018-08-17,51.8556
2018-08-20,51.8364
2018-08-21,51.9898
2018-08-22,51.6158
2018-08-23,51.7932
2018-08-24,51.7956
2018-08-27,52.3182
2018-08-28,52.685
2018-08-29,53.1597
2018-08-30,54.2576
2018-08-31,54.7539
2018-09-04,54.6748
2018-09-05,54.6532
2018-09-06,53.3826
2018-09-07,53.759
2018-09-10,52.033
2018-09-11,53.6367
2018-09-12,53.0206
2018-09-13,54.4254
2018-09-14,53.5456
2018-09-17,52.6946
2018-09-18,52.4477
2018-09-19,52.2247
2018-09-20,53.0182
2018-09-21,52.5795
2018-09-24,52.709
2018-09-25,53.2412
2018-09-26,53.3083
2018-09-27,54.1306
2018-09-28,53.9316
2018-10-01,54.5501
2018-10-02,54.9457
2018-10-03,55.7847
2018-10-04,54.61
2018-10-05,53.4018
2018-10-08,52.9919
2018-10-09,53.9795
2018-10-10,53.3515
2018-10-11,51.9203
2018-10-12,52.3278
2018-10-15,52.4357
2018-10-16,52.7857
2018-10-17,53.1597
2018-10-18,52.0665
2018-10-19,52.4956
2018-10-22,53.0997
2018-10-23,52.3302
2018-10-24,53.0254
2018-10-25,52.6131
2018-10-26,52.5004
2018-10-29,51.6494
2018-10-30,50.935
2018-10-31,52.6802
2018-11-01,52.522
2018-11-02,49.4319
2018-11-05,47.9911
2018-11-06,48.6888
2018-11-07,49.7843
2018-11-08,49.972
2018-11-09,48.9375
2018-11-12,47.1284
2018-11-13,46.6496
2018-11-14,44.8477
2018-11-15,45.5262
2018-11-16,46.6208
2018-11-19,44.7732
2018-11-20,43.0386
2018-11-21,42.875
2018-11-23,41.446
2018-11-26,41.2283
2018-11-27,41.5856
2018-11-28,42.9713
2018-11-29,43.195
2018-11-30,42.762
2018-12-03,43.8421
2018-12-04,42.7475
2018-12-06,41.7588
2018-12-07,41.167
2018-12-10,40.5054
2018-12-11,40.503
2018-12-12,41.2367
2018-12-13,41.0154
2018-12-14,40.106
2018-12-17,39.9617
2018-12-18,40.2359
2018-12-19,40.0772
2018-12-20,38.0972
2018-12-21,37.0147
2018-12-24,35.3451
2018-12-26,36.6418
2018-12-27,36.584
2018-12-28,37.5752
2018-12-31,38.1189
2019-01-02,38.0563
2019-01-03,34.8904
2019-01-04,35.4966
2019-01-07,35.5111
2019-01-08,36.0836
2019-01-09,37.0195
2019-01-10,36.8944
2019-01-11,36.6634
2019-01-14,36.1702
2019-01-15,36.7332
2019-01-16,37.2985
2019-01-17,37.1157
2019-01-18,37.8807
2019-01-22,37.2071
2019-01-23,36.7019
2019-01-24,36.6249
2019-01-25,37.734
2019-01-28,37.2408
2019-01-29,37.6835
2019-01-30,39.1726
2019-01-31,40.3514
2019-02-01,40.2432
2019-02-04,41.1044
2019-02-05,41.6433
2019-02-06,41.8309
2019-02-07,41.0779
2019-02-08,41.032
2019-02-11,41.177
2019-02-12,41.0731
2019-02-13,41.2205
2019-02-14,41.3413
2019-02-15,41.0779
2019-02-19,41.2205
2019-02-20,41.5285
2019-02-21,41.4645
2019-02-22,41.6119
2019-02-25,42.1289
2019-02-26,42.1024
2019-02-27,42.1265
2019-02-28,42.1096
2019-03-01,42.0854
2019-03-04,42.2014
2019-03-05,42.3512
2019-03-06,42.228
2019-03-07,42.0275
2019-03-08,41.4041
2019-03-11,43.1461
2019-03-12,43.6728
2019-03-13,44.0062
2019-03-14,44.4242
2019-03-15,45.0572
2019-03-18,45.2771
2019-03-19,45.3471
2019-03-20,45.1587
2019-03-21,47.0384
2019-03-22,46.5528
2019-03-25,45.8497
2019-03-26,46.0454
2019-03-27,45.4148
2019-03-28,45.4921
2019-03-29,45.7337
2019-04-01,46.043
2019-04-02,46.5769
2019-04-03,47.2534
2019-04-04,47.2595
2019-04-05,47.4878
2019-04-08,48.128
2019-04-09,48.7127
2019-04-10,48.215
2019-04-11,48.3696
2019-04-12,47.7874
2019-04-15,48.0121
2019-04-16,48.3092
2019-04-17,48.9181
2019-04-18,49.1138
2019-04-22,49.411
2019-04-23,50.1044
2019-04-24,50.0778
2019-04-25,49.7975
2019-04-26,49.324
2019-04-29,49.4859
2019-04-30,48.5194
2019-05-01,51.7545
2019-05-02,50.4257
2019-05-03,50.9645
2019-05-06,49.9473
2019-05-07,49.324
2019-05-08,49.353
2019-05-09,48.4035
2019-05-10,47.4139
2019-05-13,45.0637
2019-05-14,45.7574
2019-05-15,46.1018
2019-05-16,46.4874
2019-05-17,46.0581
2019-05-20,44.2657
2019-05-21,45.3984
2019-05-22,44.4477
2019-05-23,43.4023
2019-05-24,43.7637
2019-05-28,43.3562
2019-05-29,43.0797
2019-05-30,43.104
2019-05-31,42.8833
2019-06-03,42.6068
2019-06-04,43.3296
2019-06-05,44.1663
2019-06-06,44.4865
2019-06-07,46.1551
2019-06-10,46.9676
2019-06-11,47.0064
2019-06-12,47.2635
2019-06-13,47.4576
2019-06-14,46.6766
2019-06-17,47.0962
2019-06-18,48.1779
2019-06-19,48.0397
2019-06-20,48.2943
2019-06-21,48.5975
2019-06-24,48.3113
2019-06-25,47.8577
2019-06-26,48.6339
2019-06-27,48.4908
2019-06-28,48.2507
2019-07-01,48.7673
2019-07-02,49.0025
2019-07-03,49.5749
2019-07-05,49.5313
2019-07-08,48.515
2019-07-09,48.7382
2019-07-10,49.2948
2019-07-11,49.4173
2019-07-12,49.4294
2019-07-15,49.5822
2019-07-16,49.4876
2019-07-17,49.7204
2019-07-18,49.6477
2019-07-19,49.7156
2019-07-22,50.0066
2019-07-23,50.385
2019-07-24,50.482
2019-07-25,50.3025
2019-07-26,50.4165
2019-07-29,50.9792
2019-07-30,50.4238
2019-07-31,52.6527
2019-08-01,52.5848
2019-08-02,49.3857
2019-08-05,46.8488
2019-08-06,47.312
2019-08-07,47.7074
2019-08-08,49.0389
