,price
2018-08-06,92.1485
2018-08-07,93.316
2018-08-08,94.207
2018-08-09,95.2
2018-08-10,94.648
2018-08-13,95.331
2018-08-14,95.7975
2018-08-15,94.526
2018-08-16,94.993
2018-08-17,93.55
2018-08-20,93.9455
2018-08-21,94.807
2018-08-22,94.9865
2018-08-23,95.434
2018-08-24,95.369
2018-08-27,95.984
2018-08-28,96.7275
2018-08-29,99.4
2018-08-30,101.219
2018-08-31,100.6245
2018-09-04,101.901
2018-09-05,100.16
2018-09-06,97.092
2018-09-07,98.1185
2018-09-10,96.796
2018-09-11,98.542
2018-09-12,99.068
2018-09-13,99.574
2018-09-14,98.212
2018-09-17,96.2155
2018-09-18,97.158
2018-09-19,95.6285
2018-09-20,97.328
2018-09-21,96.544
2018-09-24,95.83
2018-09-25,97.8515
2018-09-26,99.1845
2018-09-27,100.6805
2018-09-28,100.426
2018-10-01,100.933
2018-10-02,99.979
2018-10-03,97.9545
2018-10-04,95.253
2018-10-05,93.724
2018-10-08,91.7545
2018-10-09,93.615
2018-10-10,90.0605
2018-10-11,86.2235
2018-10-12,88.3615
2018-10-15,88.1985
2018-10-16,90.002
2018-10-17,91.4285
2018-10-18,89.4573
2018-10-19,88.5205
2018-10-22,89.369
2018-10-23,86.8455
2018-10-24,86.985
2018-10-25,87.451
2018-10-26,83.2085
2018-10-29,78.4455
2018-10-30,75.8
2018-10-31,80.216
2018-11-01,81.6985
2018-11-02,83.0755
2018-11-05,80.3245
2018-11-06,82.418
2018-11-07,86.7185
2018-11-08,87.838
2018-11-09,85.5795
2018-11-12,82.0915
2018-11-13,82.0975
2018-11-14,81.2255
2018-11-15,78.6765
2018-11-16,79.833
2018-11-19,76.27
2018-11-20,75.5065
2018-11-21,76.674
2018-11-23,75.1
2018-11-26,77.5965
2018-11-27,78.7855
2018-11-28,82.12
2018-11-29,84.2465
2018-11-30,83.8963
2018-12-03,88.3575
2018-12-04,85.385
2018-12-06,84.2
2018-12-07,83.25
2018-12-10,81.52
2018-12-11,82.118
2018-12-12,85.0865
2018-12-13,82.4575
2018-12-14,81.025
2018-12-17,77.101
2018-12-18,78.145
2018-12-19,78.5215
2018-12-20,72.8
2018-12-21,69.5705
2018-12-24,67.2455
2018-12-26,71.941
2018-12-27,70.645
2018-12-28,74.196
2018-12-31,75.8435
2019-01-02,76.65
2019-01-03,76.1
2019-01-04,79.098
2019-01-07,81.161
2019-01-08,82.4975
2019-01-09,83.0385
2019-01-10,82.935
2019-01-11,82.1915
2019-01-14,81.6685
2019-01-15,83.21
2019-01-16,84.763
2019-01-17,84.3485
2019-01-18,85.6735
2019-01-22,82.735
2019-01-23,81.317
2019-01-24,82.1285
2019-01-25,83.474
2019-01-28,80.9985
2019-01-29,80.0655
2019-01-30,82.65
2019-01-31,86.361
2019-02-01,82.3345
2019-02-04,82.1445
2019-02-05,82.4665
2019-02-06,82.0585
2019-02-07,79.9945
2019-02-08,78.85
2019-02-11,79.804
2019-02-12,81.3745
2019-02-13,82.4045
2019-02-14,81.6395
2019-02-15,80.505
2019-02-19,81.434
2019-02-20,80.7475
2019-02-21,81.0485
2019-02-22,81.5515
2019-02-25,81.6755
2019-02-26,81.1505
2019-02-27,81.3605
2019-02-28,82.286
2019-03-01,83.145
2019-03-04,84.3255
2019-03-05,84.843
2019-03-06,83.647
2019-03-07,82.4785
2019-03-08,80.2405
2019-03-11,82.671
2019-03-12,84.113
2019-03-13,84.692
2019-03-14,84.7995
2019-03-15,85.189
2019-03-18,86.9495
2019-03-19,88.8495
2019-03-20,88.764
2019-03-21,90.195
2019-03-22,89.191
2019-03-25,88.5145
2019-03-26,89.6395
2019-03-27,87.887
2019-03-28,88.4055
2019-03-29,89.1555
2019-04-01,90.5425
2019-04-02,90.5815
2019-04-03,91.375
2019-04-04,90.532
2019-04-05,91.4875
2019-04-08,91.783
2019-04-09,92.2615
2019-04-10,92.1
2019-04-11,92.249
2019-04-12,92.363
2019-04-15,91.615
2019-04-16,93.2885
2019-04-17,93.5
2019-04-18,93.1715
2019-04-22,94.1425
2019-04-23,96.381
2019-04-24,95.6195
2019-04-25,95.6735
2019-04-26,96.475
2019-04-29,96.9775
2019-04-30,96.234
2019-05-01,96.6745
2019-05-02,94.389
2019-05-03,97.9665
2019-05-06,97.079
2019-05-07,96.03
2019-05-08,96.5535
2019-05-09,95.1075
2019-05-10,93.766
2019-05-13,91.2555
2019-05-14,92.2745
2019-05-15,92.9395
2019-05-16,95.3055
2019-05-17,95.0055
2019-05-20,92.9245
2019-05-21,92.6355
2019-05-22,92.935
2019-05-23,90.3025
2019-05-24,91.471
2019-05-28,92.318
2019-05-29,90.4835
2019-05-30,91.071
2019-05-31,89.2585
2019-06-03,84.7105
2019-06-04,86.16
2019-06-05,86.534
2019-06-06,86.9635
2019-06-07,90.1175
2019-06-10,93.531
2019-06-11,93.013
2019-06-12,93.017
2019-06-13,93.674
2019-06-14,93.7765
2019-06-17,94.134
2019-06-18,95.411
2019-06-19,95.0328
2019-06-20,95.529
2019-06-21,95.755
2019-06-24,95.44
2019-06-25,94.5175
2019-06-26,94.8145
2019-06-27,95.4655
2019-06-28,95.035
2019-07-01,95.7895
2019-07-02,95.5915
2019-07-03,96.95
2019-07-05,97.171
2019-07-08,97.3735
2019-07-09,99.114
2019-07-10,100.9205
2019-07-11,101.4075
2019-07-12,100.7285
2019-07-15,100.2245
2019-07-16,100.645
2019-07-17,100.097
2019-07-18,97.9415
2019-07-19,99.227
2019-07-22,98.521
2019-07-23,99.1585
2019-07-24,99.528
2019-07-25,99.1625
2019-07-26,97.115
2019-07-29,94.972
2019-07-30,94.6585
2019-07-31,94.4425
2019-08-01,94.4405
2019-08-02,90.6805
2019-08-05,88.3275
2019-08-06,87.7845
