,price
2018-08-06,61.8105
2018-08-07,63.265
2018-08-08,63.25
2018-08-09,63.2713
2018-08-10,62.6715
2018-08-13,62.6505
2018-08-14,62.8375
2018-08-15,61.699
2018-08-16,61.9765
2018-08-17,60.431
2018-08-20,61.005
2018-08-21,61.55
2018-08-22,60.983
2018-08-23,61.1645
2018-08-24,61.5775
2018-08-27,62.671
2018-08-28,62.5905
2018-08-29,63.2355
2018-08-30,63.283
2018-08-31,61.797
2018-09-04,60.743
2018-09-05,59.743
2018-09-06,58.321
2018-09-07,59.0565
2018-09-10,58.8165
2018-09-11,59.305
2018-09-12,58.574
2018-09-13,58.8
2018-09-14,58.8555
2018-09-17,58.4995
2018-09-18,58.653
2018-09-19,58.3875
2018-09-20,59.601
2018-09-21,59.2235
2018-09-24,59.033
2018-09-25,59.542
2018-09-26,59.7025
2018-09-27,60.727
2018-09-28,60.073
2018-10-01,60.4245
2018-10-02,60.6885
2018-10-03,60.3925
2018-10-04,58.578
2018-10-05,57.966
2018-10-08,56.877
2018-10-09,57.435
2018-10-10,56.0065
2018-10-11,55.166
2018-10-12,55.0845
2018-10-15,55.5445
2018-10-16,56.4695
2018-10-17,56.2715
2018-10-18,54.9245
2018-10-19,55.3865
2018-10-22,55.7765
2018-10-23,54.975
2018-10-24,55.039
2018-10-25,54.865
2018-10-26,54.85
2018-10-29,52.8145
2018-10-30,51.6515
2018-10-31,54.8005
2018-11-01,54.4523
2018-11-02,53.592
2018-11-05,52.0275
2018-11-06,53.5215
2018-11-07,55.04
2018-11-08,54.628
2018-11-09,53.446
2018-11-12,52.7515
2018-11-13,52.6575
2018-11-14,52.495
2018-11-15,52.738
2018-11-16,53.282
2018-11-19,51.627
2018-11-20,51.404
2018-11-21,52.5515
2018-11-23,51.5005
2018-11-26,52.3365
2018-11-27,52.8335
2018-11-28,53.718
2018-11-29,54.4153
2018-11-30,54.312
2018-12-03,56.0785
2018-12-04,54.1145
2018-12-06,53.58
2018-12-07,52.8215
2018-12-10,52.5595
2018-12-11,52.8795
2018-12-12,54.498
2018-12-13,53.6335
2018-12-14,52.91
2018-12-17,52.377
2018-12-18,52.83
2018-12-19,53.2755
2018-12-20,51.3545
2018-12-21,49.589
2018-12-24,49.304
2018-12-26,51.1685
2018-12-27,50.8623
2018-12-28,52.613
2018-12-31,52.06
2019-01-02,52.553
2019-01-03,51.847
2019-01-04,53.681
2019-01-07,53.8465
2019-01-08,53.7775
2019-01-09,54.3705
2019-01-10,53.7825
2019-01-11,53.18
2019-01-14,52.74
2019-01-15,54.0525
2019-01-16,54.622
2019-01-17,54.434
2019-01-18,55.64
2019-01-22,54.267
2019-01-23,53.8205
2019-01-24,53.7885
2019-01-25,54.937
2019-01-28,54.0455
2019-01-29,53.7245
2019-01-30,54.2125
2019-01-31,56.009
2019-02-01,56.153
2019-02-04,56.5755
2019-02-05,56.565
2019-02-06,56.3505
2019-02-07,54.856
2019-02-08,54.9815
2019-02-11,55.274
2019-02-12,56.2845
2019-02-13,56.726
2019-02-14,56.756
2019-02-15,56.0365
2019-02-19,56.263
2019-02-20,56.0455
2019-02-21,55.5765
2019-02-22,55.6615
2019-02-25,55.8095
2019-02-26,55.681
2019-02-27,55.943
2019-02-28,56.653
2019-03-01,57.0975
2019-03-04,57.108
2019-03-05,58.125
2019-03-06,58.2855
2019-03-07,57.715
2019-03-08,57.049
2019-03-11,58.5173
2019-03-12,60.128
2019-03-13,60.2355
2019-03-14,59.855
2019-03-15,59.9445
2019-03-18,59.247
2019-03-19,59.6835
2019-03-20,60.5295
2019-03-21,61.3
2019-03-22,60.775
2019-03-25,59.813
2019-03-26,59.633
2019-03-27,58.62
2019-03-28,58.5955
2019-03-29,58.789
2019-04-01,59.861
2019-04-02,60.002
2019-04-03,60.8295
