,price
2018-08-06,102.231
2018-08-07,102.9688
2018-08-08,103.2431
2018-08-09,104.0566
2018-08-10,103.4512
2018-08-13,102.4959
2018-08-14,103.4134
2018-08-15,102.141
2018-08-16,102.7677
2018-08-17,101.5618
2018-08-20,101.7327
2018-08-21,101.4668
2018-08-22,101.2199
2018-08-23,102.217
2018-08-24,102.7487
2018-08-27,103.6982
2018-08-28,104.6003
2018-08-29,106.0341
2018-08-30,106.8032
2018-08-31,106.2809
2018-09-04,105.5783
2018-09-05,103.3564
2018-09-06,102.5018
2018-09-07,103.1095
2018-09-10,103.7552
2018-09-11,105.5783
2018-09-12,105.6922
2018-09-13,107.0121
2018-09-14,107.107
2018-09-17,107.0311
2018-09-18,107.6957
2018-09-19,105.6448
2018-09-20,107.6815
2018-09-21,108.5218
2018-09-24,108.4459
2018-09-25,108.256
2018-09-26,108.8922
2018-09-27,108.8922
2018-09-28,108.4649
2018-10-01,109.5663
2018-10-02,109.5853
2018-10-03,109.6803
2018-10-04,106.5658
2018-10-05,105.4738
2018-10-08,104.0401
2018-10-09,106.186
2018-10-10,102.9956
2018-10-11,101.9321
2018-10-12,102.2549
2018-10-15,103.3232
2018-10-16,105.0466
2018-10-17,104.9326
2018-10-18,103.4703
2018-10-19,103.5178
2018-10-22,104.3059
2018-10-23,101.3814
2018-10-24,100.5743
2018-10-25,102.3499
2018-10-26,102.7962
2018-10-29,99.9666
2018-10-30,96.045
2018-10-31,102.0745
2018-11-01,101.1155
2018-11-02,99.9666
2018-11-05,101.4858
2018-11-06,102.3309
2018-11-07,106.1955
2018-11-08,105.7207
2018-11-09,103.5748
2018-11-12,101.5808
2018-11-13,102.2834
2018-11-14,100.2236
2018-11-15,100.5193
2018-11-16,103.2656
2018-11-19,99.4417
2018-11-20,97.1721
2018-11-21,99.5561
2018-11-23,98.2306
2018-11-26,100.2904
2018-11-27,101.2154
2018-11-28,105.354
2018-11-29,105.0012
2018-11-30,104.6388
2018-12-03,106.6795
2018-12-04,104.8963
2018-12-06,102.8842
2018-12-07,101.6922
2018-12-10,100.9865
2018-12-11,103.4468
2018-12-12,105.5257
2018-12-13,104.0285
2018-12-14,102.4646
2018-12-17,99.4608
2018-12-18,99.2605
2018-12-19,101.2726
2018-12-20,96.4855
2018-12-21,94.8263
2018-12-24,89.8484
2018-12-26,93.4817
2018-12-27,93.4149
2018-12-28,96.0564
2018-12-31,97.1912
2019-01-02,96.6476
2019-01-03,94.5402
2019-01-04,97.4391
2019-01-07,98.2688
2019-01-08,97.6108
2019-01-09,99.8231
2019-01-10,98.4309
2019-01-11,97.277
2019-01-14,97.1626
2019-01-15,99.8994
2019-01-16,100.4907
2019-01-17,100.4334
2019-01-18,102.8842
2019-01-22,101.0723
2019-01-23,101.0914
2019-01-24,100.9579
2019-01-25,102.3788
2019-01-28,99.8708
2019-01-29,97.9064
2019-01-30,100.6432
2019-01-31,100.1092
2019-02-01,98.4118
2019-02-04,100.4716
2019-02-05,101.778
2019-02-06,101.1486
2019-02-07,99.5943
2019-02-08,99.9185
2019-02-11,100.5669
2019-02-12,101.902
2019-02-13,102.0355
2019-02-14,102.0641
2019-02-15,102.6363
2019-02-19,103.4373
2019-02-20,102.0678
2019-02-21,104.7972
2019-02-22,106.2145
2019-02-25,106.8274
2019-02-26,107.9383
2019-02-27,107.402
2019-02-28,107.8425
2019-03-01,107.6223
2019-03-04,106.3103
2019-03-05,106.9232
2019-03-06,107.0477
2019-03-07,106.4443
2019-03-08,104.7876
2019-03-11,107.8042
2019-03-12,109.1258
2019-03-13,109.7196
2019-03-14,110.0643
2019-03-15,112.0467
2019-03-18,111.8647
2019-03-19,112.7649
2019-03-20,112.3053
2019-03-21,113.5311
2019-03-22,113.0043
2019-03-25,112.4202
2019-03-26,112.401
2019-03-27,111.1177
2019-03-28,111.8551
2019-03-29,112.5064
2019-04-01,113.8854
2019-04-02,114.1535
2019-04-03,115.0729
2019-04-04,113.5789
2019-04-05,114.6898
2019-04-08,114.642
2019-04-09,114.1344
2019-04-10,114.9436
2019-04-11,115.207
2019-04-12,115.523
2019-04-15,115.7145
2019-04-16,116.0306
2019-04-17,116.2891
2019-04-18,117.673
2019-04-22,118.3673
2019-04-23,119.7655
2019-04-24,119.7176
2019-04-25,123.7781
2019-04-26,124.142
2019-04-29,124.3622
2019-04-30,124.8506
2019-05-01,124.2186
2019-05-02,120.4741
2019-05-03,123.1843
2019-05-06,122.0064
2019-05-07,120.0911
2019-05-08,120.8763
2019-05-09,119.775
2019-05-10,120.4071
2019-05-13,118.1087
2019-05-14,120.0049
2019-05-15,120.793
2019-05-16,123.9938
2019-05-17,124.0803
2019-05-20,121.6197
2019-05-21,122.1003
2019-05-22,122.5809
2019-05-23,119.9376
2019-05-24,121.9945
2019-05-28,122.4655
2019-05-29,119.7357
2019-05-30,120.6296
2019-05-31,118.7073
2019-06-03,116.4004
2019-06-04,117.7461
2019-06-05,120.0818
2019-06-06,121.6293
2019-06-07,126.7909
2019-06-10,128.175
2019-06-11,126.3776
2019-06-12,126.2046
2019-06-13,126.8582
2019-06-14,127.6271
2019-06-17,127.9059
2019-06-18,129.2996
2019-06-19,129.117
2019-06-20,130.751
2019-06-21,131.8756
2019-06-24,132.9137
2019-06-25,128.7229
2019-06-26,129.7417
2019-06-27,128.7902
2019-06-28,128.7133
2019-07-01,130.0878
2019-07-02,130.6453
2019-07-03,132.1255
2019-07-05,131.7506
2019-07-08,131.1355
2019-07-09,131.5776
2019-07-10,132.1832
2019-07-11,133.5673
2019-07-12,133.3943
2019-07-15,133.3751
2019-07-16,131.9621
2019-07-17,131.6641
2019-07-18,129.7994
2019-07-19,133.2885
2019-07-22,133.0194
2019-07-23,133.1924
2019-07-24,134.7015
2019-07-25,134.3362
2019-07-26,135.6915
2019-07-29,135.4608
2019-07-30,135.1244
2019-07-31,133.5769
2019-08-01,135.1917
2019-08-02,130.5491
2019-08-05,127.2234
2019-08-06,128.2423
2019-08-07,128.7806
2019-08-08,132.9617
2019-08-09,132.1255
2019-08-12,131.5392
2019-08-13,132.8176
2019-08-14,129.0467
2019-08-15,128.7864
2019-08-16,131.1395
2019-08-19,133.1647
2019-08-20,133.4926
2019-08-21,133.8302
2019-08-22,132.2196
2019-08-23,129.3843
2019-08-26,130.3873
2019-08-27,129.934
2019-08-28,130.3583
2019-08-29,133.2323
2019-08-30,132.345
2019-09-03,131.5446
2019-09-04,132.4704
2019-09-05,134.4185
2019-09-06,133.8495
2019-09-09,132.2293
2019-09-10,131.1588
2019-09-11,130.773
2019-09-12,133.1647
2019-09-13,132.4029
2019-09-16,131.3131
2019-09-17,132.0846
2019-09-18,132.8272
2019-09-19,135.6626
2019-09-20,134.5246
2019-09-23,134.2979
2019-09-24,132.345
2019-09-25,133.1165
2019-09-26,134.1677
2019-09-27,132.7211
2019-09-30,134.1436
2019-10-01,132.9622
2019-10-02,128.9214
2019-10-03,131.4192
2019-10-04,132.5861
2019-10-07,132.6729
2019-10-08,132.4318
2019-10-09,133.2226
2019-10-10,134.2449
2019-10-11,135.4407
2019-10-14,134.6692
2019-10-15,136.4534
2019-10-16,134.9682
2019-10-17,134.5342
2019-10-18,132.2968
2019-10-21,132.9526
2019-10-22,133.0008
2019-10-23,131.342
2019-10-24,135.3829
2019-10-25,135.6626
2019-10-28,138.469
2019-10-29,138.4545
2019-10-30,138.5943
2019-10-31,138.469
2019-11-01,137.9096
2019-11-04,139.6166
2019-11-05,139.5395
2019-11-06,138.6811
2019-11-07,139.5877
2019-11-08,139.9011
2019-11-11,140.8896
2019-11-12,142.2108
2019-11-13,141.9312
2019-11-14,142.4616
2019-11-15,144.3036
2019-11-18,144.3808
2019-11-19,145.6055
2019-11-20,144.483
2019-11-21,144.7346
2019-11-22,144.483
2019-11-25,145.9152
2019-11-26,147.1345
2019-11-27,147.2506
2019-11-29,146.7764
2019-12-02,144.7056
2019-12-03,143.4912
2019-12-04,144.6959
2019-12-05,144.9766
2019-12-06,146.2829
2019-12-09,146.9022
2019-12-10,146.5732
2019-12-11,146.2539
2019-12-12,146.8538
2019-12-13,149.8439
2019-12-16,150.2504
2019-12-17,149.8536
2019-12-18,149.9988
2019-12-19,149.9697
2019-12-20,152.0986
2019-12-23,152.4083
2019-12-24,152.2922
2019-12-26,153.0373
2019-12-27,153.5211
2019-12-30,152.9211
2019-12-31,151.8374
2020-01-02,154.5275
2020-01-03,154.5468
2020-01-06,153.1631
2020-01-07,153.2792
2020-01-08,154.7113
2020-01-09,156.4531
2020-01-10,156.9273
2020-01-13,157.3047
2020-01-14,157.9434
2020-01-15,158.1659
2020-01-16,159.6852
2020-01-17,160.6674
2020-01-21,162.0753
2020-01-22,161.1851
2020-01-23,160.5851
2020-01-24,160.9528
2020-01-27,157.7014
2020-01-28,159.9464
2020-01-29,162.443
2020-01-30,165.8879
2020-01-31,164.9493
2020-02-03,168.2491
2020-02-04,174.0212
2020-02-05,173.5325
2020-02-06,177.7032
2020-02-07,179.1644
2020-02-10,180.4127
2020-02-11,180.9159
2020-02-12,178.9225
2020-02-13,178.4096
2020-02-14,178.1774
2020-02-18,180.5772
2020-02-19,181.7416
2020-02-20,177.8797
2020-02-21,174.144
2020-02-24,166.459
2020-02-25,166.0515
2020-02-26,165.6488
2020-02-27,160.7244
2020-02-28,157.008
2020-03-02,163.713
2020-03-03,163.024
2020-03-04,163.0823
2020-03-05,161.8403
2020-03-06,154.9704
2020-03-09,150.4098
2020-03-10,151.0308
2020-03-11,149.3328
2020-03-12,143.9378
2020-03-13,140.367
2020-03-16,138.242
2020-03-17,139.0279
2020-03-18,135.3116
2020-03-19,142.6861
2020-03-20,138.601
2020-03-23,135.1369
2020-03-24,141.9292
2020-03-25,145.3642
2020-03-26,149.3037
2020-03-27,147.7512
2020-03-30,155.1547
2020-03-31,154.4561
2020-04-01,148.3236
2020-04-02,149.7597
2020-04-03,148.9835
2020-04-06,160.3654
2020-04-07,162.3254
2020-04-08,160.3071
2020-04-09,160.3362
2020-04-13,157.8231
2020-04-14,167.6234
2020-04-15,167.3905
2020-04-16,168.9236
2020-04-17,171.7473
2020-04-20,172.6302
2020-04-21,162.3545
2020-04-22,167.1285
2020-04-23,167.7398
2020-04-24,168.3026
2020-04-27,168.9139
2020-04-28,166.2067
2020-04-29,170.6605
2020-04-30,173.0378
2020-05-01,169.9619
2020-05-04,171.6696
2020-05-05,177.0064
2020-05-06,178.2969
2020-05-07,178.3843
2020-05-08,179.4322
2020-05-11,180.2764
2020-05-12,181.2467
2020-05-13,174.3235
2020-05-14,172.2421
2020-05-15,174.9105
2020-05-18,179.7815
2020-05-19,180.1114
2020-05-20,179.5471
2020-05-21,179.5958
2020-05-22,178.2433
2020-05-26,178.2822
2020-05-27,174.9254
2020-05-28,178.4963
2020-05-29,177.1243
2020-06-01,177.7568
2020-06-02,177.5427
2020-06-03,179.2357
2020-06-04,178.0
2020-06-05,181.3471
2020-06-08,181.8531
2020-06-09,184.3342
2020-06-10,189.7538
2020-06-11,183.5072
2020-06-12,183.8964
2020-06-15,182.7093
2020-06-16,188.7517
2020-06-17,190.5517
2020-06-18,190.2014
2020-06-19,191.5928
2020-06-22,194.1323
2020-06-23,197.9367
2020-06-24,193.3247
2020-06-25,192.7993
2020-06-26,192.1571
2020-06-29,192.2155
2020-06-30,195.9324
2020-07-01,199.2892
2020-07-02,202.2666
2020-07-06,205.2537
2020-07-07,207.2191
2020-07-08,205.9834
2020-07-09,207.8029
2020-07-10,207.2678
2020-07-13,208.3867
2020-07-14,200.3498
2020-07-15,201.566
2020-07-16,198.2286
2020-07-17,197.207
2020-07-20,202.8601
2020-07-21,204.3877
2020-07-22,205.2245
2020-07-23,199.98
2020-07-24,195.5529
2020-07-27,196.7497
2020-07-28,198.3454
2020-07-29,198.2676
2020-07-30,197.9465
2020-07-31,194.6383
2020-08-03,207.9489
2020-08-04,206.4018
2020-08-05,207.3456
2020-08-06,208.1435
2020-08-07,206.6548
2020-08-10,202.179
2020-08-11,201.7412
2020-08-12,203.152
2020-08-13,205.2245
2020-08-14,203.259
2020-08-17,204.3293
2020-08-18,204.9034
2020-08-19,206.7663
2020-08-20,206.5323
2020-08-21,208.8243
2020-08-24,208.2976
2020-08-25,210.0826
2020-08-26,214.696
2020-08-27,219.485
2020-08-28,222.8695
2020-08-31,219.9142
2020-09-01,219.4558
2020-09-02,225.1811
2020-09-03,212.9404
2020-09-04,205.7032
2020-09-08,201.5969
2020-09-09,208.0441
2020-09-10,204.1231
2020-09-11,198.0661
2020-09-14,201.8603
2020-09-15,203.4501
2020-09-16,202.6113
2020-09-17,196.3397
2020-09-18,193.4527
2020-09-21,194.7109
2020-09-22,199.1878
2020-09-23,199.8413
2020-09-24,199.851
2020-09-25,201.4311
2020-09-28,204.1231
2020-09-29,202.9137
2020-09-30,205.7032
2020-10-01,207.0882
2020-10-02,202.2894
2020-10-05,204.1231
2020-10-06,203.1087
2020-10-07,203.6452
2020-10-08,205.5862
2020-10-09,209.6144
2020-10-12,217.2905
2020-10-13,218.0317
2020-10-14,214.3059
2020-10-15,212.3551
2020-10-16,215.0764
2020-10-19,212.7745
2020-10-20,210.0338
2020-10-21,208.8048
2020-10-22,208.4537
2020-10-23,209.5168
2020-10-26,204.445
2020-10-27,208.1026
2020-10-28,199.5974
2020-10-29,199.7242
2020-10-30,196.5251
2020-11-02,196.3397
2020-11-03,201.8895
2020-11-04,212.3259
2020-11-05,217.2807
2020-11-06,217.505
2020-11-09,219.2217
2020-11-10,207.2833
2020-11-11,211.6431
2020-11-12,210.3849
2020-11-13,210.7312
2020-11-16,210.6093
2020-11-17,210.658
2020-11-18,208.2817
2020-11-19,206.6487
2020-11-20,207.3332
2020-11-23,205.0547
2020-11-24,209.0641
2020-11-25,208.8489
2020-11-27,210.4429
2020-11-30,207.7146
2020-12-01,210.7265
2020-12-02,209.2401
2020-12-03,209.7975
2020-12-04,209.4161
2020-12-07,208.9467
2020-12-08,211.4208
2020-12-09,208.6044
2020-12-10,206.2673
2020-12-11,206.8638
2020-12-14,209.8659
2020-12-15,208.6827
2020-12-16,214.0611
2020-12-17,214.1002
2020-12-18,213.2152
2020-12-21,217.8162
2020-12-22,219.2635
2020-12-23,217.9042
2020-12-24,217.7575
2020-12-28,220.2512
2020-12-29,219.3808
2020-12-30,217.7771
2020-12-31,215.2248
2021-01-04,210.8536
2021-01-05,211.6652
2021-01-06,210.9758
2021-01-07,213.357
2021-01-08,213.3179
2021-01-11,213.4255
2021-01-12,209.6899
2021-01-13,211.0394
2021-01-14,210.0224
2021-01-15,208.4578
2021-01-19,210.2571
2021-01-20,219.8698
2021-01-21,221.2095
2021-01-22,222.4123
2021-01-25,222.6079
2021-01-26,226.9204
2021-01-27,232.3379
2021-01-28,237.1394
2021-01-29,227.0671
2021-02-01,234.2839
2021-02-02,234.9196
2021-02-03,238.1075
2021-02-04,235.2618
2021-02-05,237.159
2021-02-08,236.2006
2021-02-09,237.6137
2021-02-10,236.3864
2021-02-11,237.5012
2021-02-12,238.44
2021-02-16,238.8752
2021-02-17,237.9293
2021-02-18,237.0766
2021-02-19,236.2239
2021-02-22,229.5393
2021-02-23,225.5697
2021-02-24,228.3729
2021-02-25,224.9327
2021-02-26,229.3237
2021-03-01,231.5584
2021-03-02,230.1764
2021-03-03,224.7562
2021-03-04,222.1294
2021-03-05,227.5692
2021-03-08,225.756
2021-03-09,229.3237
2021-03-10,230.3528
2021-03-11,233.5187
2021-03-12,230.0686
2021-03-15,228.4416
2021-03-16,233.2541
2021-03-17,230.147
2021-03-18,227.2948
2021-03-19,227.3242
2021-03-22,232.0191
2021-03-23,235.2633
2021-03-24,231.382
2021-03-25,227.53
2021-03-26,230.1372
2021-03-29,230.3626
2021-03-30,227.1968
2021-03-31,231.5388
2021-04-01,236.8218
2021-04-05,244.1826
2021-04-06,243.8494
2021-04-07,244.8589
2021-04-08,247.3779
2021-04-09,249.3774
2021-04-12,252.2982
2021-04-13,252.259
2021-04-14,251.7297
2021-04-15,254.5133
2021-04-16,255.0034
2021-04-19,253.0333
2021-04-20,252.7001
2021-04-21,254.0625
2021-04-22,255.6601
2021-04-23,255.9345
2021-04-26,255.9835
2021-04-27,255.9443
2021-04-28,249.74
2021-04-29,246.1331
2021-04-30,246.4272
2021-05-03,247.0936
2021-05-04,241.105
2021-05-05,242.6732
2021-05-06,242.8692
2021-05-07,247.9464
2021-05-10,245.0059
2021-05-11,240.1444
2021-05-12,235.0967
2021-05-13,237.9293
2021-05-14,243.3397
2021-05-17,239.4976
2021-05-18,240.9286
2021-05-19,237.7064
2021-05-20,242.5495
2021-05-21,240.9286
2021-05-24,245.8405
2021-05-25,246.8523
2021-05-26,246.9309
2021-05-27,246.1745
2021-05-28,247.1372
2021-06-01,243.6399
2021-06-02,242.9424
2021-06-03,241.3215
2021-06-04,246.4201
2021-06-07,247.8543
2021-06-08,248.8662
2021-06-09,250.6246
2021-06-10,252.9234
2021-06-11,252.3929
2021-06-14,253.3851
2021-06-15,254.0826
2021-06-16,254.3675
2021-06-17,255.6643
2021-06-18,256.2733
2021-06-21,257.3146
2021-06-22,259.8787
2021-06-23,260.2814
2021-06-24,261.7157
2021-06-25,260.4484
2021-06-28,263.2973
2021-06-29,266.1168
2021-06-30,265.5077
2021-07-01,265.5961
2021-07-02,271.9423
