Local time,Open,High,Low,Close,Volume
11.10.2023 15:30:00.000 GMT+0200,12.316,12.477,12.286,12.467,2.628
11.10.2023 15:35:00.000 GMT+0200,12.477,12.577,12.466,12.557,1.824
11.10.2023 15:40:00.000 GMT+0200,12.567,12.667,12.566,12.586,1.584
11.10.2023 15:45:00.000 GMT+0200,12.596,12.636,12.557,12.606,0.612
11.10.2023 15:50:00.000 GMT+0200,12.596,12.637,12.586,12.597,0.8039999999999999
11.10.2023 15:55:00.000 GMT+0200,12.586,12.587,12.496,12.517,0.5279999999999999
11.10.2023 16:00:00.000 GMT+0200,12.507,12.576,12.497,12.576,0.25199999999999995
11.10.2023 16:05:00.000 GMT+0200,12.586,12.586,12.516,12.527,0.252
11.10.2023 16:10:00.000 GMT+0200,12.516,12.517,12.496,12.497,0.276
11.10.2023 16:15:00.000 GMT+0200,12.497,12.536,12.497,12.506,0.156
11.10.2023 16:20:00.000 GMT+0200,12.497,12.516,12.446,12.456,0.204
11.10.2023 16:25:00.000 GMT+0200,12.447,12.496,12.437,12.496,0.18
11.10.2023 16:30:00.000 GMT+0200,12.486,12.507,12.456,12.476,0.312
11.10.2023 16:35:00.000 GMT+0200,12.466,12.527,12.466,12.527,0.324
11.10.2023 16:40:00.000 GMT+0200,12.537,12.557,12.526,12.526,0.288
11.10.2023 16:45:00.000 GMT+0200,12.516,12.527,12.486,12.497,0.348
11.10.2023 16:50:00.000 GMT+0200,12.506,12.527,12.506,12.506,0.21600000000000003
11.10.2023 16:55:00.000 GMT+0200,12.516,12.517,12.497,12.507,0.10799999999999998
11.10.2023 17:00:00.000 GMT+0200,12.516,12.537,12.506,12.527,0.12
11.10.2023 17:05:00.000 GMT+0200,12.536,12.537,12.516,12.526,0.13199999999999998
11.10.2023 17:10:00.000 GMT+0200,12.537,12.537,12.477,12.477,0.16799999999999998
11.10.2023 17:15:00.000 GMT+0200,12.466,12.466,12.417,12.426,0.24
11.10.2023 17:20:00.000 GMT+0200,12.416,12.416,12.396,12.406,0.108
11.10.2023 17:25:00.000 GMT+0200,12.397,12.397,12.386,12.386,0.060000000000000005
11.10.2023 17:30:00.000 GMT+0200,12.396,12.417,12.396,12.407,0.10799999999999998
11.10.2023 17:35:00.000 GMT+0200,12.397,12.406,12.356,12.357,0.192
11.10.2023 17:40:00.000 GMT+0200,12.366,12.366,12.327,12.337,0.12
11.10.2023 17:45:00.000 GMT+0200,12.346,12.377,12.346,12.356,0.18
11.10.2023 17:50:00.000 GMT+0200,12.357,12.406,12.357,12.376,0.132
11.10.2023 17:55:00.000 GMT+0200,12.377,12.387,12.377,12.377,0.048
11.10.2023 18:00:00.000 GMT+0200,12.387,12.396,12.387,12.387,0.048
11.10.2023 18:05:00.000 GMT+0200,12.377,12.377,12.346,12.357,0.108
11.10.2023 18:10:00.000 GMT+0200,12.357,12.366,12.326,12.326,0.144
11.10.2023 18:15:00.000 GMT+0200,12.317,12.336,12.316,12.326,0.15599999999999997
