Local time,Open,High,Low,Close,Volume
27.04.2023 15:30:00.000 GMT+0200,204.596,205.777,204.036,205.366,39.089999999999996
27.04.2023 15:35:00.000 GMT+0200,205.647,205.806,204.416,205.556,46.260000000000005
27.04.2023 15:40:00.000 GMT+0200,205.557,206.966,205.557,206.727,30.449999999999996
27.04.2023 15:45:00.000 GMT+0200,206.717,208.377,206.426,208.167,52.28999999999999
27.04.2023 15:50:00.000 GMT+0200,208.257,209.006,207.316,207.316,44.489999999999995
27.04.2023 15:55:00.000 GMT+0200,207.486,208.037,206.626,206.697,28.709999999999997
27.04.2023 16:00:00.000 GMT+0200,206.696,207.517,206.007,206.727,30.450000000000003
27.04.2023 16:05:00.000 GMT+0200,206.677,207.217,206.146,207.037,32.55
27.04.2023 16:10:00.000 GMT+0200,207.036,207.567,206.836,207.447,21.299999999999997
27.04.2023 16:15:00.000 GMT+0200,207.447,207.526,206.626,206.967,25.950000000000003
27.04.2023 16:20:00.000 GMT+0200,206.967,207.277,206.676,207.176,19.56
27.04.2023 16:25:00.000 GMT+0200,207.177,207.297,206.806,207.147,18.33
27.04.2023 16:30:00.000 GMT+0200,207.136,207.340,206.546,206.826,24.33
27.04.2023 16:35:00.000 GMT+0200,206.837,206.977,206.446,206.446,17.490000000000002
27.04.2023 16:40:00.000 GMT+0200,206.446,206.597,205.836,206.027,23.880000000000003
27.04.2023 16:45:00.000 GMT+0200,206.107,206.206,205.506,205.846,19.89
27.04.2023 16:50:00.000 GMT+0200,205.846,205.846,205.026,205.026,20.849999999999998
27.04.2023 16:55:00.000 GMT+0200,205.027,205.297,204.686,204.926,21.87
27.04.2023 17:00:00.000 GMT+0200,204.997,205.027,204.256,204.436,20.01
27.04.2023 17:05:00.000 GMT+0200,204.437,204.517,203.996,204.007,27.21
27.04.2023 17:10:00.000 GMT+0200,204.027,204.347,203.686,203.717,23.549999999999997
27.04.2023 17:15:00.000 GMT+0200,203.717,204.027,203.486,203.926,21.51
27.04.2023 17:20:00.000 GMT+0200,203.927,204.526,203.806,204.316,28.56
27.04.2023 17:25:00.000 GMT+0200,204.316,204.637,204.187,204.436,28.11
27.04.2023 17:30:00.000 GMT+0200,204.437,204.866,204.216,204.736,26.130000000000003
27.04.2023 17:35:00.000 GMT+0200,204.777,205.016,204.656,204.986,14.94
27.04.2023 17:40:00.000 GMT+0200,204.986,205.182,204.916,204.916,16.23
27.04.2023 17:45:00.000 GMT+0200,204.917,205.086,204.507,204.737,12.09
27.04.2023 17:50:00.000 GMT+0200,204.736,205.086,204.726,205.057,13.2
27.04.2023 17:55:00.000 GMT+0200,205.126,205.227,204.646,205.117,12.9
27.04.2023 18:00:00.000 GMT+0200,205.117,205.636,205.106,205.527,15.540000000000001
27.04.2023 18:05:00.000 GMT+0200,205.527,205.787,205.446,205.777,12.93
27.04.2023 18:10:00.000 GMT+0200,205.777,205.986,205.687,205.926,12.329999999999998
27.04.2023 18:15:00.000 GMT+0200,205.926,206.147,205.786,205.997,18.09
27.04.2023 18:20:00.000 GMT+0200,205.996,206.187,205.916,206.006,10.98
27.04.2023 18:25:00.000 GMT+0200,206.007,206.087,205.946,205.967,8.309999999999999
27.04.2023 18:30:00.000 GMT+0200,205.967,206.026,205.826,205.866,15.9
27.04.2023 18:35:00.000 GMT+0200,205.887,206.177,205.556,205.596,13.86
27.04.2023 18:40:00.000 GMT+0200,205.556,206.136,205.506,205.806,11.97
27.04.2023 18:45:00.000 GMT+0200,205.806,206.056,205.706,205.876,14.25
27.04.2023 18:50:00.000 GMT+0200,205.897,205.957,205.596,205.597,8.88
27.04.2023 18:55:00.000 GMT+0200,205.596,206.097,205.596,205.846,12.63
27.04.2023 19:00:00.000 GMT+0200,205.816,206.016,205.816,205.906,7.74
27.04.2023 19:05:00.000 GMT+0200,205.926,205.926,205.506,205.686,12.659999999999998
27.04.2023 19:10:00.000 GMT+0200,205.747,205.747,205.506,205.707,10.830000000000002
27.04.2023 19:15:00.000 GMT+0200,205.706,205.956,205.636,205.746,11.73
27.04.2023 19:20:00.000 GMT+0200,205.746,205.957,205.746,205.807,10.650000000000002
27.04.2023 19:25:00.000 GMT+0200,205.807,205.917,205.696,205.916,13.65
27.04.2023 19:30:00.000 GMT+0200,205.926,206.057,205.776,206.006,13.98
27.04.2023 19:35:00.000 GMT+0200,206.007,206.237,206.006,206.047,9.84
27.04.2023 19:40:00.000 GMT+0200,206.066,206.287,206.026,206.127,9.36
27.04.2023 19:45:00.000 GMT+0200,206.127,206.467,206.096,206.266,10.5
27.04.2023 19:50:00.000 GMT+0200,206.266,206.447,206.266,206.336,7.35
27.04.2023 19:55:00.000 GMT+0200,206.336,206.347,206.086,206.227,10.110000000000001
27.04.2023 20:00:00.000 GMT+0200,206.216,206.477,206.046,206.446,9.659999999999998
27.04.2023 20:05:00.000 GMT+0200,206.446,206.607,206.286,206.556,15.36
27.04.2023 20:10:00.000 GMT+0200,206.557,206.756,206.556,206.716,8.85
27.04.2023 20:15:00.000 GMT+0200,206.716,207.007,206.696,206.986,17.7
27.04.2023 20:20:00.000 GMT+0200,206.986,207.076,206.746,206.746,13.530000000000001
27.04.2023 20:25:00.000 GMT+0200,206.746,207.037,206.746,206.886,11.34
27.04.2023 20:30:00.000 GMT+0200,206.887,206.987,206.676,206.736,16.979999999999997
27.04.2023 20:35:00.000 GMT+0200,206.787,206.827,206.296,206.447,16.439999999999998
27.04.2023 20:40:00.000 GMT+0200,206.537,206.567,206.256,206.407,11.58
27.04.2023 20:45:00.000 GMT+0200,206.407,206.497,206.266,206.386,11.55
27.04.2023 20:50:00.000 GMT+0200,206.386,206.647,206.386,206.597,10.559999999999999
27.04.2023 20:55:00.000 GMT+0200,206.546,206.647,206.366,206.626,12.78
27.04.2023 21:00:00.000 GMT+0200,206.606,206.676,206.407,206.676,11.28
27.04.2023 21:05:00.000 GMT+0200,206.677,206.677,206.516,206.606,12.059999999999999
27.04.2023 21:10:00.000 GMT+0200,206.627,206.727,206.207,206.297,17.31
27.04.2023 21:15:00.000 GMT+0200,206.297,206.677,206.296,206.676,12.840000000000002
27.04.2023 21:20:00.000 GMT+0200,206.677,206.677,206.346,206.526,12.93
27.04.2023 21:25:00.000 GMT+0200,206.497,206.527,206.146,206.267,13.080000000000002
27.04.2023 21:30:00.000 GMT+0200,206.247,206.427,205.976,206.047,16.89
27.04.2023 21:35:00.000 GMT+0200,206.046,206.117,205.846,205.956,20.19
27.04.2023 21:40:00.000 GMT+0200,205.957,206.077,205.776,205.876,23.79
27.04.2023 21:45:00.000 GMT+0200,205.966,206.027,205.666,205.936,29.820000000000004
27.04.2023 21:50:00.000 GMT+0200,205.937,206.007,205.746,205.896,33.69
27.04.2023 21:55:00.000 GMT+0200,205.886,206.097,205.776,205.967,57.06
28.04.2023 15:30:00.000 GMT+0200,204.496,204.947,203.936,204.327,25.529999999999998
28.04.2023 15:35:00.000 GMT+0200,204.326,204.576,203.276,203.617,44.43000000000001
28.04.2023 15:40:00.000 GMT+0200,203.636,203.636,202.656,203.067,29.25
28.04.2023 15:45:00.000 GMT+0200,203.356,204.226,203.056,203.076,32.97
28.04.2023 15:50:00.000 GMT+0200,203.077,203.877,203.076,203.827,23.76
28.04.2023 15:55:00.000 GMT+0200,203.827,204.157,203.536,203.647,25.439999999999998
28.04.2023 16:00:00.000 GMT+0200,203.876,204.777,203.647,204.507,22.740000000000002
28.04.2023 16:05:00.000 GMT+0200,204.517,205.177,204.496,205.077,30.599999999999998
28.04.2023 16:10:00.000 GMT+0200,205.076,205.316,204.886,204.996,22.769999999999996
28.04.2023 16:15:00.000 GMT+0200,204.996,205.157,204.776,204.907,17.85
28.04.2023 16:20:00.000 GMT+0200,204.906,205.087,204.736,204.957,14.79
28.04.2023 16:25:00.000 GMT+0200,205.067,205.177,204.686,204.747,22.26
28.04.2023 16:30:00.000 GMT+0200,204.747,204.887,204.356,204.677,20.7
28.04.2023 16:35:00.000 GMT+0200,204.677,205.097,204.046,204.447,36.48
28.04.2023 16:40:00.000 GMT+0200,204.446,205.027,204.316,204.997,28.080000000000002
28.04.2023 16:45:00.000 GMT+0200,205.056,205.427,204.656,204.866,25.380000000000003
28.04.2023 16:50:00.000 GMT+0200,205.257,205.767,204.746,205.737,32.64
28.04.2023 16:55:00.000 GMT+0200,205.767,205.767,204.266,204.656,31.23
28.04.2023 17:00:00.000 GMT+0200,204.656,204.776,204.046,204.307,25.740000000000002
28.04.2023 17:05:00.000 GMT+0200,204.316,205.007,204.306,204.956,25.740000000000002
28.04.2023 17:10:00.000 GMT+0200,205.007,205.217,204.846,204.956,16.5
28.04.2023 17:15:00.000 GMT+0200,205.066,205.356,204.887,205.356,18.9
28.04.2023 17:20:00.000 GMT+0200,205.347,205.386,204.996,205.026,17.76
28.04.2023 17:25:00.000 GMT+0200,205.027,205.206,204.996,205.017,27.72
28.04.2023 17:30:00.000 GMT+0200,205.017,205.217,204.496,204.837,32.76
28.04.2023 17:35:00.000 GMT+0200,204.957,205.107,204.836,205.016,26.520000000000003
28.04.2023 17:40:00.000 GMT+0200,205.036,205.216,204.606,205.126,25.680000000000003
28.04.2023 17:45:00.000 GMT+0200,205.127,205.316,204.696,205.136,22.919999999999998
28.04.2023 17:50:00.000 GMT+0200,205.217,205.217,204.796,205.086,24.57
28.04.2023 17:55:00.000 GMT+0200,205.087,205.457,204.936,205.327,26.16
28.04.2023 18:00:00.000 GMT+0200,205.327,205.497,204.976,205.486,33.06
28.04.2023 18:05:00.000 GMT+0200,205.447,205.776,204.976,205.597,18.57
28.04.2023 18:10:00.000 GMT+0200,205.657,205.677,205.496,205.497,12.9
28.04.2023 18:15:00.000 GMT+0200,205.497,205.576,204.816,204.897,15.15
28.04.2023 18:20:00.000 GMT+0200,205.006,205.137,204.526,204.927,24.150000000000002
28.04.2023 18:25:00.000 GMT+0200,204.926,205.107,204.756,205.066,12.540000000000001
28.04.2023 18:30:00.000 GMT+0200,204.766,205.257,204.756,204.786,15
28.04.2023 18:35:00.000 GMT+0200,205.096,205.306,204.786,205.257,22.5
28.04.2023 18:40:00.000 GMT+0200,205.256,205.547,205.126,205.376,17.67
28.04.2023 18:45:00.000 GMT+0200,205.387,205.707,205.376,205.606,20.73
28.04.2023 18:50:00.000 GMT+0200,205.606,205.837,205.556,205.596,20.520000000000003
28.04.2023 18:55:00.000 GMT+0200,205.597,206.026,205.596,205.926,20.400000000000002
28.04.2023 19:00:00.000 GMT+0200,205.927,205.987,205.696,205.767,12.629999999999999
28.04.2023 19:05:00.000 GMT+0200,205.806,205.837,205.496,205.497,11.52
28.04.2023 19:10:00.000 GMT+0200,205.447,205.637,205.256,205.256,10.290000000000001
28.04.2023 19:15:00.000 GMT+0200,205.257,205.356,205.086,205.217,9.51
28.04.2023 19:20:00.000 GMT+0200,205.236,205.437,205.126,205.356,6.899999999999999
28.04.2023 19:25:00.000 GMT+0200,205.387,205.517,205.337,205.487,10.26
28.04.2023 19:30:00.000 GMT+0200,205.487,205.767,205.396,205.487,11.850000000000001
28.04.2023 19:35:00.000 GMT+0200,205.517,205.607,205.396,205.587,16.05
28.04.2023 19:40:00.000 GMT+0200,205.656,205.667,205.406,205.556,11.490000000000002
28.04.2023 19:45:00.000 GMT+0200,205.557,205.676,205.436,205.537,19.86
28.04.2023 19:50:00.000 GMT+0200,205.547,205.596,205.406,205.577,12.51
28.04.2023 19:55:00.000 GMT+0200,205.507,205.677,205.406,205.616,15.12
28.04.2023 20:00:00.000 GMT+0200,205.616,206.057,205.616,206.037,31.86
28.04.2023 20:05:00.000 GMT+0200,205.987,206.166,205.796,206.146,25.71
28.04.2023 20:10:00.000 GMT+0200,206.147,206.177,205.717,205.976,21.45
28.04.2023 20:15:00.000 GMT+0200,205.976,206.216,205.966,206.177,20.759999999999998
28.04.2023 20:20:00.000 GMT+0200,206.177,206.316,206.106,206.197,20.700000000000003
28.04.2023 20:25:00.000 GMT+0200,206.196,206.227,206.067,206.197,15.24
28.04.2023 20:30:00.000 GMT+0200,206.197,206.267,206.066,206.147,12.54
28.04.2023 20:35:00.000 GMT+0200,206.067,206.067,205.766,205.826,11.34
28.04.2023 20:40:00.000 GMT+0200,205.826,206.137,205.546,205.796,22.14
28.04.2023 20:45:00.000 GMT+0200,205.797,205.847,205.336,205.667,13.68
28.04.2023 20:50:00.000 GMT+0200,205.726,205.897,205.507,205.697,11.579999999999998
28.04.2023 20:55:00.000 GMT+0200,205.706,205.886,205.696,205.736,9.9
28.04.2023 21:00:00.000 GMT+0200,205.517,205.847,205.506,205.647,15.27
28.04.2023 21:05:00.000 GMT+0200,205.646,205.826,205.546,205.806,15.09
28.04.2023 21:10:00.000 GMT+0200,205.806,206.047,205.737,205.936,23.55
28.04.2023 21:15:00.000 GMT+0200,205.997,206.247,205.616,206.187,18.57
28.04.2023 21:20:00.000 GMT+0200,206.187,206.296,205.996,206.106,18.9
28.04.2023 21:25:00.000 GMT+0200,206.107,206.137,205.996,205.997,15.299999999999999
28.04.2023 21:30:00.000 GMT+0200,206.026,206.107,205.506,206.056,29.94
28.04.2023 21:35:00.000 GMT+0200,206.057,206.287,206.056,206.196,27.869999999999997
28.04.2023 21:40:00.000 GMT+0200,206.197,206.557,206.156,206.366,35.43
28.04.2023 21:45:00.000 GMT+0200,206.366,206.527,206.167,206.516,35.58
28.04.2023 21:50:00.000 GMT+0200,206.527,206.817,205.936,206.816,37.95
28.04.2023 21:55:00.000 GMT+0200,206.836,206.927,206.366,206.366,60.21000000000001
01.05.2023 15:30:00.000 GMT+0200,206.267,207.576,206.237,207.146,13.540000000000001
01.05.2023 15:35:00.000 GMT+0200,207.146,207.546,206.607,207.316,23.51
01.05.2023 15:40:00.000 GMT+0200,207.317,208.376,207.317,208.027,30.22
01.05.2023 15:45:00.000 GMT+0200,208.026,208.197,207.356,207.747,18.35
01.05.2023 15:50:00.000 GMT+0200,207.747,207.786,207.197,207.306,16.88
01.05.2023 15:55:00.000 GMT+0200,207.446,207.446,207.046,207.186,17.54
01.05.2023 16:00:00.000 GMT+0200,207.186,207.186,206.776,206.876,21.92
01.05.2023 16:05:00.000 GMT+0200,206.986,207.226,206.556,206.986,16.620000000000005
01.05.2023 16:10:00.000 GMT+0200,206.967,207.267,206.796,207.206,19.97
01.05.2023 16:15:00.000 GMT+0200,207.206,207.786,207.156,207.616,20.32
01.05.2023 16:20:00.000 GMT+0200,207.616,207.616,207.036,207.077,19.25
01.05.2023 16:25:00.000 GMT+0200,207.157,207.157,206.866,206.887,17.2
01.05.2023 16:30:00.000 GMT+0200,206.897,207.427,206.896,207.426,15.900000000000002
01.05.2023 16:35:00.000 GMT+0200,207.427,207.627,207.216,207.507,23.409999999999997
01.05.2023 16:40:00.000 GMT+0200,207.506,207.656,207.096,207.497,24.639999999999997
01.05.2023 16:45:00.000 GMT+0200,207.406,207.747,207.406,207.556,25.45
01.05.2023 16:50:00.000 GMT+0200,207.557,207.557,206.796,206.806,28.630000000000003
01.05.2023 16:55:00.000 GMT+0200,206.806,207.107,206.686,207.087,25.16
01.05.2023 17:00:00.000 GMT+0200,207.086,207.296,206.696,206.697,28.799999999999997
01.05.2023 17:05:00.000 GMT+0200,206.696,206.846,206.596,206.826,21.25
