,price
2019-02-19,168.21734414312155
2019-02-20,168.4311748532078
2019-02-21,169.37945065199503
2019-02-22,164.03376080694028
2019-02-23,164.03376080694028
2019-02-24,164.03376080694028
2019-02-25,169.48170617336189
2019-02-26,166.3114824465654
2019-02-27,165.1493899619027
2019-02-28,163.77345884061015
2019-03-01,165.17725432023295
2019-03-02,165.17725432023295
2019-03-03,165.17725432023295
2019-03-04,164.87976685718422
2019-03-05,164.51719954947893
2019-03-06,161.3004922603065
2019-03-07,156.6613324442181
2019-03-08,153.11922546921105
2019-03-09,153.11922546921105
2019-03-10,153.11922546921105
2019-03-11,157.70259503414496
2019-03-12,160.70549773827156
2019-03-13,160.9378827825875
2019-03-14,158.97624078685666
2019-03-15,168.58922620431653
2019-03-16,168.58922620431653
2019-03-17,168.58922620431653
2019-03-18,169.03547376500967
2019-03-19,168.6331252073947
2019-03-20,167.59486002172426
2019-03-21,164.43322124676507
2019-03-22,170.53198268116103
2019-03-23,170.53198268116103
2019-03-24,170.53198268116103
2019-03-25,167.46389807057113
2019-03-26,168.12801365066028
2019-03-27,168.53024633533144
2019-03-28,166.2852639543471
2019-03-29,166.28532397115325
2019-03-30,166.28532397115325
2019-03-31,166.28532397115325
2019-04-01,170.24202769565267
2019-04-02,173.1137159492523
2019-04-03,175.50829371799898
2019-04-04,177.34165713619205
2019-04-05,180.72777932644516
2019-04-06,180.72777932644516
2019-04-07,180.72777932644516
2019-04-08,181.09261022556092
2019-04-09,179.42762589599187
2019-04-10,177.53808962117512
2019-04-11,178.95054626464844
2019-04-12,181.5696867098657
2019-04-13,181.5696867098657
2019-04-14,181.5696867098657
2019-04-15,180.8868353846558
2019-04-16,181.9344642363204
2019-04-17,184.5909787363326
2019-04-18,184.02036375705435
2019-04-19,184.02036375705435
2019-04-20,184.02036375705435
2019-04-21,184.02036375705435
2019-04-22,183.60880660141592
2019-04-23,182.40218409535623
2019-04-24,182.54249369118827
2019-04-25,189.88532314771226
2019-04-26,189.88537432606523
2019-04-27,189.88537432606523
2019-04-28,189.88537432606523
2019-04-29,193.37433335664883
2019-04-30,192.90667217971986
2019-05-01,194.59974289400105
2019-05-02,190.78333419817483
2019-05-03,193.9917178464779
2019-05-04,193.9917178464779
2019-05-05,193.9917178464779
2019-05-06,187.3878281543616
2019-05-07,187.91164860621635
2019-05-08,185.67608703873987
2019-05-09,183.33757298683548
2019-05-10,184.3571388800007
2019-05-11,184.3571388800007
2019-05-12,184.3571388800007
2019-05-13,178.94121231336487
2019-05-14,178.15547358727144
2019-05-15,178.8102782859015
2019-05-16,179.63343913565166
2019-05-17,180.61555952916345
2019-05-18,180.61555952916345
2019-05-19,180.61555952916345
2019-05-20,176.45304059873365
2019-05-21,174.55421726221144
2019-05-22,173.40364064938544
2019-05-23,171.92570401221988
2019-05-24,174.71321915901012
2019-05-25,174.71321915901012
2019-05-26,174.71321915901012
2019-05-27,174.71321915901012
2019-05-28,171.682547187682
2019-05-29,165.6866446182107
2019-05-30,166.45365466322738
2019-05-31,164.91965325009608
2019-06-01,164.91965325009608
2019-06-02,164.91965325009608
2019-06-03,164.14321205343762
2019-06-04,163.26396755615346
2019-06-05,169.45633436313435
2019-06-06,170.56942155971606
2019-06-07,173.63750537411264
2019-06-08,173.63750537411264
2019-06-09,173.63750537411264
2019-06-10,175.93858986369204
2019-06-11,183.37310948549487
2019-06-12,172.51618792871975
2019-06-13,170.13594962136602
2019-06-14,165.88346813979788
2019-06-15,165.88346813979788
2019-06-16,165.88346813979788
2019-06-17,166.32565834927527
2019-06-18,164.62277373114702
2019-06-19,170.90737893444157
2019-06-20,174.12497555687014
2019-06-21,171.87644787354947
2019-06-22,171.87644787354947
2019-06-23,171.87644787354947
2019-06-24,171.3119529465221
2019-06-25,170.50282151195347
2019-06-26,168.7529471637518
2019-06-27,172.06456648049914
2019-06-28,178.4621370400338
2019-06-29,178.4621370400338
2019-06-30,178.4621370400338
2019-07-01,183.05328999937186
2019-07-02,179.66636567495613
2019-07-03,176.29823006411323
2019-07-04,176.29823006411323
2019-07-05,172.33742408393485
2019-07-06,172.33742408393485
2019-07-07,172.33742408393485
2019-07-08,168.59300342165687
2019-07-09,169.43033754874682
2019-07-10,174.3789758311404
2019-07-11,174.74593699030783
2019-07-12,175.43270028166435
2019-07-13,175.43270028166435
2019-07-14,175.43270028166435
2019-07-15,180.97407311533883
2019-07-16,179.76047184122086
2019-07-17,179.17711649046026
2019-07-18,181.65145068108743
2019-07-19,188.43469287004174
2019-07-20,188.43469287004174
2019-07-21,188.43469287004174
2019-07-22,190.87140787729612
2019-07-23,195.3119643165498
2019-07-24,197.56993547328162
2019-07-25,201.0320918672317
2019-07-26,198.93409148662343
2019-07-27,198.93409148662343
2019-07-28,198.93409148662343
2019-07-29,197.8616239380564
2019-07-30,196.28103422914668
2019-07-31,198.22851021800193
2019-08-01,195.5848303543689
2019-08-02,192.2261468229644
2019-08-03,192.2261468229644
2019-08-04,192.2261468229644
2019-08-05,186.0544485613359
2019-08-06,185.5558107014577
2019-08-07,181.05874467300745
2019-08-08,189.11204827288404
2019-08-09,187.54090811805298
2019-08-10,187.54090811805298
2019-08-11,187.54090811805298
2019-08-12,182.88386447219648
2019-08-13,184.69026490660977
2019-08-14,187.5503344941997
2019-08-15,187.90781685452728
2019-08-16,187.15516728870784
2019-08-17,187.15516728870784
2019-08-18,187.15516728870784
2019-08-19,197.56995738467072
2019-08-20,195.88589813906043
2019-08-21,196.73262634551807
2019-08-22,195.85764272805213
2019-08-23,195.35903272408294
2019-08-24,195.35903272408294
2019-08-25,195.35903272408294
2019-08-26,192.22616851624016
2019-08-27,191.38878490456068
2019-08-28,187.84200113521055
2019-08-29,194.74748600322457
2019-08-30,198.8682421133683
2019-08-31,198.8682421133683
2019-09-01,198.8682421133683
2019-09-02,198.8682421133683
2019-09-03,198.51075001526308
2019-09-04,202.53738635138095
2019-09-05,213.72361759080528
2019-09-06,213.66717658621874
2019-09-07,213.66717658621874
2019-09-08,213.66717658621874
2019-09-09,216.12271174378807
2019-09-10,216.05682734197376
2019-09-11,218.43708504786596
2019-09-12,221.0901595198682
2019-09-13,222.6236617626918
2019-09-14,222.6236617626918
2019-09-15,222.6236617626918
2019-09-16,219.0109583547662
2019-09-17,220.32810864494814
2019-09-18,221.09958060889343
2019-09-19,224.66524481724042
2019-09-20,223.16935147182335
2019-09-21,223.16935147182335
2019-09-22,223.16935147182335
2019-09-23,221.09015507743175
2019-09-24,225.0415453247138
2019-09-25,219.1991467594732
2019-09-26,227.5347217743782
2019-09-27,224.6746243704494
