Date,Open,High,Low,Close,Volume
2022-06-23 15:30:00+02:00,16.51,16.59,16.01,16.02,359485.9
2022-06-23 15:45:00+02:00,16.03,16.23,15.95,16.19,281411.3
2022-06-23 16:00:00+02:00,16.19,16.27,16.05,16.16,256575.0
2022-06-23 16:15:00+02:00,16.16,16.34,16.12,16.28,190091.6
2022-06-23 16:30:00+02:00,16.28,16.42,16.23,16.38,160107.9
2022-06-23 16:45:00+02:00,16.39,16.41,16.31,16.35,122319.0
2022-06-23 17:00:00+02:00,16.35,16.37,16.21,16.34,121903.1
2022-06-23 17:15:00+02:00,16.34,16.36,16.26,16.32,118574.8
2022-06-23 17:30:00+02:00,16.32,16.35,16.18,16.22,114966.1
2022-06-23 17:45:00+02:00,16.21,16.26,16.16,16.16,80919.9
2022-06-23 18:00:00+02:00,16.17,16.17,16.01,16.07,141436.2
2022-06-23 18:15:00+02:00,16.06,16.15,16.04,16.13,99038.7
2022-06-23 18:30:00+02:00,16.12,16.15,16.0,16.03,85973.3
2022-06-23 18:45:00+02:00,16.03,16.03,15.95,15.98,110837.8
2022-06-23 19:00:00+02:00,15.98,15.99,15.88,15.94,129662.4
2022-06-23 19:15:00+02:00,15.94,16.0,15.88,15.91,80369.3
2022-06-23 19:30:00+02:00,15.91,15.96,15.85,15.9,80740.8
2022-06-23 19:45:00+02:00,15.9,15.99,15.88,15.99,78759.0
2022-06-23 20:00:00+02:00,15.99,16.01,15.96,15.97,72849.0
2022-06-23 20:15:00+02:00,15.97,16.02,15.94,16.01,83996.9
2022-06-23 20:30:00+02:00,16.01,16.07,16.0,16.03,104438.4
2022-06-23 20:45:00+02:00,16.02,16.06,16.0,16.04,86890.0
2022-06-23 21:00:00+02:00,16.04,16.11,16.01,16.09,121002.6
2022-06-23 21:15:00+02:00,16.09,16.14,16.04,16.12,84334.4
2022-06-23 21:30:00+02:00,16.12,16.26,16.12,16.22,169241.8
2022-06-23 21:45:00+02:00,16.22,16.31,16.2,16.23,218241.7
2022-06-24 15:30:00+02:00,16.5,16.58,16.31,16.55,391466.0
2022-06-24 15:45:00+02:00,16.55,16.7,16.51,16.6,295320.8
2022-06-24 16:00:00+02:00,16.6,16.98,16.6,16.94,335802.4
2022-06-24 16:15:00+02:00,16.94,17.0,16.87,16.98,203038.8
2022-06-24 16:30:00+02:00,16.99,17.07,16.93,16.95,219925.1
2022-06-24 16:45:00+02:00,16.95,16.99,16.88,16.97,143558.8
2022-06-24 17:00:00+02:00,16.96,17.03,16.86,16.86,161744.6
2022-06-24 17:15:00+02:00,16.87,16.87,16.8,16.87,132515.6
2022-06-24 17:30:00+02:00,16.87,16.87,16.78,16.81,111828.4
2022-06-24 17:45:00+02:00,16.81,16.84,16.77,16.84,87352.2
2022-06-24 18:00:00+02:00,16.84,16.88,16.83,16.85,69236.6
2022-06-24 18:15:00+02:00,16.86,16.9,16.84,16.88,77514.8
2022-06-24 18:30:00+02:00,16.88,16.91,16.82,16.9,62214.0
2022-06-24 18:45:00+02:00,16.9,16.92,16.86,16.91,47427.7
2022-06-24 19:00:00+02:00,16.91,16.93,16.88,16.9,49842.0
2022-06-24 19:15:00+02:00,16.9,16.92,16.85,16.86,55773.1
2022-06-24 19:30:00+02:00,16.86,16.89,16.82,16.82,62710.8
