Date,Open,High,Low,Close,Volume
2023-12-29 15:30:00+01:00,476.5,476.85,476.41,476.82,11621.74
2023-12-29 15:35:00+01:00,476.81,476.93,476.64,476.88,7453.64
2023-12-29 15:40:00+01:00,476.88,476.9,476.62,476.87,7669.41
2023-12-29 15:45:00+01:00,476.88,476.88,476.71,476.75,4502.99
2023-12-29 15:50:00+01:00,476.75,476.88,476.66,476.76,3989.31
2023-12-29 15:55:00+01:00,476.76,476.83,476.66,476.76,3712.37
2023-12-29 16:00:00+01:00,476.76,476.86,476.74,476.83,4558.24
2023-12-29 16:05:00+01:00,476.83,477.03,476.7,476.75,5547.72
2023-12-29 16:10:00+01:00,476.75,476.84,476.58,476.6,4827.93
2023-12-29 16:15:00+01:00,476.61,476.69,476.53,476.67,5958.54
2023-12-29 16:20:00+01:00,476.66,476.72,476.47,476.51,5761.9
2023-12-29 16:25:00+01:00,476.5,476.72,476.5,476.71,5764.35
2023-12-29 16:30:00+01:00,476.71,476.76,476.15,476.34,11569.26
2023-12-29 16:35:00+01:00,476.35,476.42,476.2,476.22,7700.96
2023-12-29 16:40:00+01:00,476.22,476.27,475.81,475.9,11851.31
2023-12-29 16:45:00+01:00,475.9,476.01,475.04,475.45,16349.85
2023-12-29 16:50:00+01:00,475.45,475.71,475.25,475.3,9813.02
2023-12-29 16:55:00+01:00,475.3,475.63,475.19,475.44,9880.71
2023-12-29 17:00:00+01:00,475.45,475.69,475.41,475.62,5787.53
2023-12-29 17:05:00+01:00,475.62,475.65,475.07,475.26,8396.95
2023-12-29 17:10:00+01:00,475.26,475.3,474.73,474.74,9212.92
2023-12-29 17:15:00+01:00,474.75,474.76,474.14,474.61,16387.06
2023-12-29 17:20:00+01:00,474.61,474.63,474.17,474.28,10831.01
2023-12-29 17:25:00+01:00,474.28,474.38,473.9,473.95,10707.79
2023-12-29 17:30:00+01:00,473.94,474.29,473.87,473.97,12621.87
2023-12-29 17:35:00+01:00,473.98,474.16,473.77,474.14,6738.42
2023-12-29 17:40:00+01:00,474.14,474.27,473.98,474.12,8111.62
2023-12-29 17:45:00+01:00,474.12,474.44,474.06,474.44,7071.93
2023-12-29 17:50:00+01:00,474.44,474.49,473.96,474.32,7414.67
2023-12-29 17:55:00+01:00,474.31,474.44,474.15,474.2,4680.68
2023-12-29 18:00:00+01:00,474.2,474.56,474.12,474.18,6075.96
2023-12-29 18:05:00+01:00,474.18,474.19,473.78,473.92,6986.29
2023-12-29 18:10:00+01:00,473.92,474.06,473.58,473.67,6738.54
2023-12-29 18:15:00+01:00,473.67,473.93,473.59,473.83,7966.9
2023-12-29 18:20:00+01:00,473.84,474.0,473.3,473.58,8459.4
2023-12-29 18:25:00+01:00,473.57,473.69,473.47,473.59,3944.36
2023-12-29 18:30:00+01:00,473.58,473.9,473.51,473.84,4333.93
2023-12-29 18:35:00+01:00,473.83,474.01,473.73,473.96,3732.81
2023-12-29 18:40:00+01:00,473.96,474.12,473.91,474.08,4606.91
2023-12-29 18:45:00+01:00,474.06,474.27,473.94,474.0,6577.26
2023-12-29 18:50:00+01:00,473.99,474.3,473.95,474.19,3932.15
2023-12-29 18:55:00+01:00,474.19,474.58,474.18,474.48,5212.08
2023-12-29 19:00:00+01:00,474.48,474.84,474.3,474.73,7110.51
2023-12-29 19:05:00+01:00,474.73,475.0,474.73,474.85,5987.52
2023-12-29 19:10:00+01:00,474.85,475.11,474.8,474.88,6160.37
2023-12-29 19:15:00+01:00,474.88,474.91,474.53,474.59,9195.16
2023-12-29 19:20:00+01:00,474.59,474.69,474.36,474.54,5532.11
2023-12-29 19:25:00+01:00,474.54,474.65,474.43,474.5,3464.13
2023-12-29 19:30:00+01:00,474.49,474.83,474.47,474.65,5089.75
2023-12-29 19:35:00+01:00,474.65,474.99,474.64,474.98,3578.64
2023-12-29 19:40:00+01:00,474.98,475.21,474.87,475.04,4983.21
